"artista","fecha","visitas"
"The Cranberries","2019-02-28",474
"The Cranberries","2019-03-01",539
"The Cranberries","2019-03-02",502
"The Cranberries","2019-03-03",553
"The Cranberries","2019-03-04",498
"The Cranberries","2019-03-05",477
"The Cranberries","2019-03-06",444
"The Cranberries","2019-03-07",496
"The Cranberries","2019-03-08",553
"The Cranberries","2019-03-09",536
"The Cranberries","2019-03-10",633
"The Cranberries","2019-03-11",520
"The Cranberries","2019-03-12",456
"The Cranberries","2019-03-13",481
"The Cranberries","2019-03-14",582
"The Cranberries","2019-03-15",568
"The Cranberries","2019-03-16",653
"The Cranberries","2019-03-17",694
"The Cranberries","2019-03-18",597
"The Cranberries","2019-03-19",637
"The Cranberries","2019-03-20",584
"The Cranberries","2019-03-21",522
"The Cranberries","2019-03-22",603
"The Cranberries","2019-03-23",577
"The Cranberries","2019-03-24",757
"The Cranberries","2019-03-25",558
"The Cranberries","2019-03-26",535
"The Cranberries","2019-03-27",526
"The Cranberries","2019-03-28",690
"The Cranberries","2019-03-29",569
"The Cranberries","2019-03-30",559
"The Cranberries","2019-03-31",640
"The Cranberries","2019-04-01",536
"The Cranberries","2019-04-02",524
"The Cranberries","2019-04-03",497
"The Cranberries","2019-04-04",531
"The Cranberries","2019-04-05",520
"The Cranberries","2019-04-06",625
"The Cranberries","2019-04-07",569
"The Cranberries","2019-04-08",431
"The Cranberries","2019-04-09",496
"The Cranberries","2019-04-10",477
"The Cranberries","2019-04-11",537
"The Cranberries","2019-04-12",519
"The Cranberries","2019-04-13",580
"The Cranberries","2019-04-14",647
"The Cranberries","2019-04-15",457
"The Cranberries","2019-04-16",551
"The Cranberries","2019-04-17",543
"The Cranberries","2019-04-18",546
"The Cranberries","2019-04-19",696
"The Cranberries","2019-04-20",650
"The Cranberries","2019-04-21",566
"The Cranberries","2019-04-22",584
"The Cranberries","2019-04-23",511
"The Cranberries","2019-04-24",560
"The Cranberries","2019-04-25",695
"The Cranberries","2019-04-26",1114
"The Cranberries","2019-04-27",995
"The Cranberries","2019-04-28",704
"The Cranberries","2019-04-29",787
"The Cranberries","2019-04-30",558
"The Cranberries","2019-05-01",600
"The Cranberries","2019-05-02",566
"The Cranberries","2019-05-03",522
"The Cranberries","2019-05-04",599
"The Cranberries","2019-05-05",579
"The Cranberries","2019-05-06",421
"The Cranberries","2019-05-07",444
"The Cranberries","2019-05-08",437
"The Cranberries","2019-05-09",494
"The Cranberries","2019-05-10",508
"The Cranberries","2019-05-11",544
"The Cranberries","2019-05-12",546
"The Cranberries","2019-05-13",436
"The Cranberries","2019-05-14",497
"The Cranberries","2019-05-15",443
"The Cranberries","2019-05-16",456
"The Cranberries","2019-05-17",510
"The Cranberries","2019-05-18",518
"The Cranberries","2019-05-19",558
"The Cranberries","2019-05-20",463
"The Cranberries","2019-05-21",422
"The Cranberries","2019-05-22",474
"The Cranberries","2019-05-23",433
"The Cranberries","2019-05-24",460
"The Cranberries","2019-05-25",490
"The Cranberries","2019-05-26",511
"The Cranberries","2019-05-27",480
"The Cranberries","2019-05-28",686
"The Cranberries","2019-05-29",475
"The Cranberries","2019-05-30",460
"The Cranberries","2019-05-31",469
"The Cranberries","2019-06-01",561
"The Cranberries","2019-06-02",654
"The Cranberries","2019-06-03",474
"The Cranberries","2019-06-04",516
