"artista","fecha","visitas"
"The Pretenders","2019-02-28",89
"The Pretenders","2019-03-01",93
"The Pretenders","2019-03-02",99
"The Pretenders","2019-03-03",106
"The Pretenders","2019-03-04",122
"The Pretenders","2019-03-05",93
"The Pretenders","2019-03-06",100
"The Pretenders","2019-03-07",115
"The Pretenders","2019-03-08",138
"The Pretenders","2019-03-09",175
"The Pretenders","2019-03-10",122
"The Pretenders","2019-03-11",98
"The Pretenders","2019-03-12",106
"The Pretenders","2019-03-13",118
"The Pretenders","2019-03-14",87
"The Pretenders","2019-03-15",132
"The Pretenders","2019-03-16",99
"The Pretenders","2019-03-17",105
"The Pretenders","2019-03-18",91
"The Pretenders","2019-03-19",127
"The Pretenders","2019-03-20",82
"The Pretenders","2019-03-21",102
"The Pretenders","2019-03-22",89
"The Pretenders","2019-03-23",100
"The Pretenders","2019-03-24",132
"The Pretenders","2019-03-25",134
"The Pretenders","2019-03-26",86
"The Pretenders","2019-03-27",103
"The Pretenders","2019-03-28",120
"The Pretenders","2019-03-29",121
"The Pretenders","2019-03-30",106
"The Pretenders","2019-03-31",191
"The Pretenders","2019-04-01",137
"The Pretenders","2019-04-02",108
"The Pretenders","2019-04-03",75
"The Pretenders","2019-04-04",100
"The Pretenders","2019-04-05",102
"The Pretenders","2019-04-06",106
"The Pretenders","2019-04-07",82
"The Pretenders","2019-04-08",107
"The Pretenders","2019-04-09",80
"The Pretenders","2019-04-10",94
"The Pretenders","2019-04-11",91
"The Pretenders","2019-04-12",99
"The Pretenders","2019-04-13",110
"The Pretenders","2019-04-14",124
"The Pretenders","2019-04-15",101
"The Pretenders","2019-04-16",183
"The Pretenders","2019-04-17",78
"The Pretenders","2019-04-18",87
"The Pretenders","2019-04-19",120
"The Pretenders","2019-04-20",93
"The Pretenders","2019-04-21",117
"The Pretenders","2019-04-22",79
"The Pretenders","2019-04-23",95
"The Pretenders","2019-04-24",80
"The Pretenders","2019-04-25",92
"The Pretenders","2019-04-26",84
"The Pretenders","2019-04-27",108
"The Pretenders","2019-04-28",84
"The Pretenders","2019-04-29",109
"The Pretenders","2019-04-30",89
"The Pretenders","2019-05-01",108
"The Pretenders","2019-05-02",103
"The Pretenders","2019-05-03",94
"The Pretenders","2019-05-04",108
"The Pretenders","2019-05-05",142
"The Pretenders","2019-05-06",100
"The Pretenders","2019-05-07",88
"The Pretenders","2019-05-08",84
"The Pretenders","2019-05-09",106
"The Pretenders","2019-05-10",112
"The Pretenders","2019-05-11",106
"The Pretenders","2019-05-12",116
"The Pretenders","2019-05-13",87
"The Pretenders","2019-05-14",65
"The Pretenders","2019-05-15",107
"The Pretenders","2019-05-16",89
"The Pretenders","2019-05-17",101
"The Pretenders","2019-05-18",108
"The Pretenders","2019-05-19",120
"The Pretenders","2019-05-20",72
"The Pretenders","2019-05-21",78
"The Pretenders","2019-05-22",90
"The Pretenders","2019-05-23",78
"The Pretenders","2019-05-24",86
"The Pretenders","2019-05-25",107
"The Pretenders","2019-05-26",98
"The Pretenders","2019-05-27",75
"The Pretenders","2019-05-28",206
"The Pretenders","2019-05-29",98
"The Pretenders","2019-05-30",106
"The Pretenders","2019-05-31",85
"The Pretenders","2019-06-01",91
"The Pretenders","2019-06-02",110
"The Pretenders","2019-06-03",131
"The Pretenders","2019-06-04",86
