"artista","fecha","visitas"
"Vainica Doble","2019-02-28",34
"Vainica Doble","2019-03-01",33
"Vainica Doble","2019-03-02",42
"Vainica Doble","2019-03-03",32
"Vainica Doble","2019-03-04",21
"Vainica Doble","2019-03-05",39
"Vainica Doble","2019-03-06",32
"Vainica Doble","2019-03-07",33
"Vainica Doble","2019-03-08",40
"Vainica Doble","2019-03-09",69
"Vainica Doble","2019-03-10",35
"Vainica Doble","2019-03-11",46
"Vainica Doble","2019-03-12",30
"Vainica Doble","2019-03-13",28
"Vainica Doble","2019-03-14",29
"Vainica Doble","2019-03-15",43
"Vainica Doble","2019-03-16",31
"Vainica Doble","2019-03-17",34
"Vainica Doble","2019-03-18",35
"Vainica Doble","2019-03-19",16
"Vainica Doble","2019-03-20",26
"Vainica Doble","2019-03-21",118
"Vainica Doble","2019-03-22",56
"Vainica Doble","2019-03-23",32
"Vainica Doble","2019-03-24",40
"Vainica Doble","2019-03-25",33
"Vainica Doble","2019-03-26",40
"Vainica Doble","2019-03-27",23
"Vainica Doble","2019-03-28",27
"Vainica Doble","2019-03-29",28
"Vainica Doble","2019-03-30",20
"Vainica Doble","2019-03-31",36
"Vainica Doble","2019-04-01",28
"Vainica Doble","2019-04-02",41
"Vainica Doble","2019-04-03",48
"Vainica Doble","2019-04-04",36
"Vainica Doble","2019-04-05",28
"Vainica Doble","2019-04-06",25
"Vainica Doble","2019-04-07",25
"Vainica Doble","2019-04-08",42
"Vainica Doble","2019-04-09",33
"Vainica Doble","2019-04-10",26
"Vainica Doble","2019-04-11",25
"Vainica Doble","2019-04-12",31
"Vainica Doble","2019-04-13",33
"Vainica Doble","2019-04-14",25
"Vainica Doble","2019-04-15",29
"Vainica Doble","2019-04-16",39
"Vainica Doble","2019-04-17",23
"Vainica Doble","2019-04-18",39
"Vainica Doble","2019-04-19",37
"Vainica Doble","2019-04-20",42
"Vainica Doble","2019-04-21",22
"Vainica Doble","2019-04-22",21
"Vainica Doble","2019-04-23",21
"Vainica Doble","2019-04-24",37
"Vainica Doble","2019-04-25",24
"Vainica Doble","2019-04-26",18
"Vainica Doble","2019-04-27",30
"Vainica Doble","2019-04-28",34
"Vainica Doble","2019-04-29",18
"Vainica Doble","2019-04-30",31
"Vainica Doble","2019-05-01",32
"Vainica Doble","2019-05-02",15
"Vainica Doble","2019-05-03",32
"Vainica Doble","2019-05-04",45
"Vainica Doble","2019-05-05",28
"Vainica Doble","2019-05-06",30
"Vainica Doble","2019-05-07",21
"Vainica Doble","2019-05-08",31
"Vainica Doble","2019-05-09",32
"Vainica Doble","2019-05-10",25
"Vainica Doble","2019-05-11",18
"Vainica Doble","2019-05-12",23
"Vainica Doble","2019-05-13",26
"Vainica Doble","2019-05-14",20
"Vainica Doble","2019-05-15",27
"Vainica Doble","2019-05-16",37
"Vainica Doble","2019-05-17",40
"Vainica Doble","2019-05-18",28
"Vainica Doble","2019-05-19",32
"Vainica Doble","2019-05-20",23
"Vainica Doble","2019-05-21",16
"Vainica Doble","2019-05-22",33
"Vainica Doble","2019-05-23",38
"Vainica Doble","2019-05-24",28
"Vainica Doble","2019-05-25",14
"Vainica Doble","2019-05-26",22
"Vainica Doble","2019-05-27",23
"Vainica Doble","2019-05-28",84
"Vainica Doble","2019-05-29",29
"Vainica Doble","2019-05-30",37
"Vainica Doble","2019-05-31",40
"Vainica Doble","2019-06-01",28
"Vainica Doble","2019-06-02",25
"Vainica Doble","2019-06-03",20
"Vainica Doble","2019-06-04",25
