"artista","fecha","visitas"
"Vulpes","2019-02-28",40
"Vulpes","2019-03-01",48
"Vulpes","2019-03-02",46
"Vulpes","2019-03-03",37
"Vulpes","2019-03-04",46
"Vulpes","2019-03-05",44
"Vulpes","2019-03-06",51
"Vulpes","2019-03-07",59
"Vulpes","2019-03-08",58
"Vulpes","2019-03-09",73
"Vulpes","2019-03-10",39
"Vulpes","2019-03-11",48
"Vulpes","2019-03-12",41
"Vulpes","2019-03-13",78
"Vulpes","2019-03-14",59
"Vulpes","2019-03-15",58
"Vulpes","2019-03-16",34
"Vulpes","2019-03-17",58
"Vulpes","2019-03-18",40
"Vulpes","2019-03-19",84
"Vulpes","2019-03-20",48
"Vulpes","2019-03-21",44
"Vulpes","2019-03-22",62
"Vulpes","2019-03-23",54
"Vulpes","2019-03-24",50
"Vulpes","2019-03-25",36
"Vulpes","2019-03-26",63
"Vulpes","2019-03-27",46
"Vulpes","2019-03-28",40
"Vulpes","2019-03-29",75
"Vulpes","2019-03-30",30
"Vulpes","2019-03-31",53
"Vulpes","2019-04-01",44
"Vulpes","2019-04-02",43
"Vulpes","2019-04-03",51
"Vulpes","2019-04-04",53
"Vulpes","2019-04-05",33
"Vulpes","2019-04-06",42
"Vulpes","2019-04-07",58
"Vulpes","2019-04-08",37
"Vulpes","2019-04-09",60
"Vulpes","2019-04-10",64
"Vulpes","2019-04-11",54
"Vulpes","2019-04-12",52
"Vulpes","2019-04-13",127
"Vulpes","2019-04-14",55
"Vulpes","2019-04-15",39
"Vulpes","2019-04-16",48
"Vulpes","2019-04-17",53
"Vulpes","2019-04-18",64
"Vulpes","2019-04-19",50
"Vulpes","2019-04-20",26
"Vulpes","2019-04-21",45
"Vulpes","2019-04-22",70
"Vulpes","2019-04-23",176
"Vulpes","2019-04-24",79
"Vulpes","2019-04-25",50
"Vulpes","2019-04-26",47
"Vulpes","2019-04-27",65
"Vulpes","2019-04-28",28
"Vulpes","2019-04-29",43
"Vulpes","2019-04-30",41
"Vulpes","2019-05-01",38
"Vulpes","2019-05-02",36
"Vulpes","2019-05-03",42
"Vulpes","2019-05-04",40
"Vulpes","2019-05-05",45
"Vulpes","2019-05-06",27
"Vulpes","2019-05-07",38
"Vulpes","2019-05-08",57
"Vulpes","2019-05-09",54
"Vulpes","2019-05-10",35
"Vulpes","2019-05-11",23
"Vulpes","2019-05-12",35
"Vulpes","2019-05-13",42
"Vulpes","2019-05-14",40
"Vulpes","2019-05-15",35
"Vulpes","2019-05-16",47
"Vulpes","2019-05-17",31
"Vulpes","2019-05-18",31
"Vulpes","2019-05-19",39
"Vulpes","2019-05-20",31
"Vulpes","2019-05-21",39
"Vulpes","2019-05-22",28
"Vulpes","2019-05-23",28
"Vulpes","2019-05-24",29
"Vulpes","2019-05-25",34
"Vulpes","2019-05-26",34
"Vulpes","2019-05-27",34
"Vulpes","2019-05-28",312
"Vulpes","2019-05-29",72
"Vulpes","2019-05-30",25
"Vulpes","2019-05-31",37
"Vulpes","2019-06-01",48
"Vulpes","2019-06-02",39
"Vulpes","2019-06-03",37
"Vulpes","2019-06-04",35
