"artista","fecha","visitas"
"Zahara","2019-02-28",198
"Zahara","2019-03-01",247
"Zahara","2019-03-02",174
"Zahara","2019-03-03",166
"Zahara","2019-03-04",318
"Zahara","2019-03-05",305
"Zahara","2019-03-06",193
"Zahara","2019-03-07",226
"Zahara","2019-03-08",326
"Zahara","2019-03-09",257
"Zahara","2019-03-10",264
"Zahara","2019-03-11",189
"Zahara","2019-03-12",334
"Zahara","2019-03-13",226
"Zahara","2019-03-14",331
"Zahara","2019-03-15",271
"Zahara","2019-03-16",228
"Zahara","2019-03-17",208
"Zahara","2019-03-18",186
"Zahara","2019-03-19",395
"Zahara","2019-03-20",229
"Zahara","2019-03-21",224
"Zahara","2019-03-22",190
"Zahara","2019-03-23",240
"Zahara","2019-03-24",226
"Zahara","2019-03-25",173
"Zahara","2019-03-26",151
"Zahara","2019-03-27",172
"Zahara","2019-03-28",133
"Zahara","2019-03-29",180
"Zahara","2019-03-30",160
"Zahara","2019-03-31",213
"Zahara","2019-04-01",129
"Zahara","2019-04-02",186
"Zahara","2019-04-03",167
"Zahara","2019-04-04",324
"Zahara","2019-04-05",200
"Zahara","2019-04-06",152
"Zahara","2019-04-07",125
"Zahara","2019-04-08",133
"Zahara","2019-04-09",245
"Zahara","2019-04-10",197
"Zahara","2019-04-11",180
"Zahara","2019-04-12",149
"Zahara","2019-04-13",178
"Zahara","2019-04-14",188
"Zahara","2019-04-15",209
"Zahara","2019-04-16",310
"Zahara","2019-04-17",213
"Zahara","2019-04-18",209
"Zahara","2019-04-19",182
"Zahara","2019-04-20",155
"Zahara","2019-04-21",168
"Zahara","2019-04-22",174
"Zahara","2019-04-23",175
"Zahara","2019-04-24",137
"Zahara","2019-04-25",308
"Zahara","2019-04-26",257
"Zahara","2019-04-27",136
"Zahara","2019-04-28",118
"Zahara","2019-04-29",130
"Zahara","2019-04-30",359
"Zahara","2019-05-01",240
"Zahara","2019-05-02",189
"Zahara","2019-05-03",325
"Zahara","2019-05-04",269
"Zahara","2019-05-05",210
"Zahara","2019-05-06",185
"Zahara","2019-05-07",151
"Zahara","2019-05-08",508
"Zahara","2019-05-09",342
"Zahara","2019-05-10",324
"Zahara","2019-05-11",243
"Zahara","2019-05-12",358
"Zahara","2019-05-13",218
"Zahara","2019-05-14",204
"Zahara","2019-05-15",210
"Zahara","2019-05-16",254
"Zahara","2019-05-17",308
"Zahara","2019-05-18",232
"Zahara","2019-05-19",184
"Zahara","2019-05-20",162
"Zahara","2019-05-21",168
"Zahara","2019-05-22",164
"Zahara","2019-05-23",403
"Zahara","2019-05-24",418
"Zahara","2019-05-25",268
"Zahara","2019-05-26",255
"Zahara","2019-05-27",491
"Zahara","2019-05-28",401
"Zahara","2019-05-29",269
"Zahara","2019-05-30",453
"Zahara","2019-05-31",560
"Zahara","2019-06-01",425
"Zahara","2019-06-02",468
"Zahara","2019-06-03",452
"Zahara","2019-06-04",310
