"artista","fecha","visitas"
"Alejandro Sanz","2019-03-04",1305
"Alejandro Sanz","2019-03-05",1224
"Alejandro Sanz","2019-03-06",1173
"Alejandro Sanz","2019-03-07",990
"Alejandro Sanz","2019-03-08",1178
"Alejandro Sanz","2019-03-09",1315
"Alejandro Sanz","2019-03-10",1444
"Alejandro Sanz","2019-03-11",2187
"Alejandro Sanz","2019-03-12",1383
"Alejandro Sanz","2019-03-13",1134
"Alejandro Sanz","2019-03-14",1095
"Alejandro Sanz","2019-03-15",2017
"Alejandro Sanz","2019-03-16",1448
"Alejandro Sanz","2019-03-17",1717
"Alejandro Sanz","2019-03-18",1117
"Alejandro Sanz","2019-03-19",1532
"Alejandro Sanz","2019-03-20",1289
"Alejandro Sanz","2019-03-21",1263
"Alejandro Sanz","2019-03-22",1180
"Alejandro Sanz","2019-03-23",1396
"Alejandro Sanz","2019-03-24",1425
"Alejandro Sanz","2019-03-25",1308
"Alejandro Sanz","2019-03-26",1206
"Alejandro Sanz","2019-03-27",1130
"Alejandro Sanz","2019-03-28",1411
"Alejandro Sanz","2019-03-29",2044
"Alejandro Sanz","2019-03-30",1891
"Alejandro Sanz","2019-03-31",2318
"Alejandro Sanz","2019-04-01",1939
"Alejandro Sanz","2019-04-02",1607
"Alejandro Sanz","2019-04-03",1813
"Alejandro Sanz","2019-04-04",2456
"Alejandro Sanz","2019-04-05",11917
"Alejandro Sanz","2019-04-06",7970
"Alejandro Sanz","2019-04-07",3005
"Alejandro Sanz","2019-04-08",2137
"Alejandro Sanz","2019-04-09",1850
"Alejandro Sanz","2019-04-10",9880
"Alejandro Sanz","2019-04-11",25196
"Alejandro Sanz","2019-04-12",6685
"Alejandro Sanz","2019-04-13",8396
"Alejandro Sanz","2019-04-14",5294
"Alejandro Sanz","2019-04-15",3233
"Alejandro Sanz","2019-04-16",2181
"Alejandro Sanz","2019-04-17",2183
"Alejandro Sanz","2019-04-18",2288
"Alejandro Sanz","2019-04-19",2064
"Alejandro Sanz","2019-04-20",2040
"Alejandro Sanz","2019-04-21",1835
"Alejandro Sanz","2019-04-22",1613
"Alejandro Sanz","2019-04-23",1154
"Alejandro Sanz","2019-04-24",1443
"Alejandro Sanz","2019-04-25",1203
"Alejandro Sanz","2019-04-26",1398
"Alejandro Sanz","2019-04-27",1511
"Alejandro Sanz","2019-04-28",1549
"Alejandro Sanz","2019-04-29",1491
"Alejandro Sanz","2019-04-30",1316
"Alejandro Sanz","2019-05-01",1434
"Alejandro Sanz","2019-05-02",1307
"Alejandro Sanz","2019-05-03",1255
"Alejandro Sanz","2019-05-04",2599
"Alejandro Sanz","2019-05-05",1656
"Alejandro Sanz","2019-05-06",1100
"Alejandro Sanz","2019-05-07",1172
"Alejandro Sanz","2019-05-08",1049
"Alejandro Sanz","2019-05-09",1238
"Alejandro Sanz","2019-05-10",1333
"Alejandro Sanz","2019-05-11",1576
"Alejandro Sanz","2019-05-12",1519
"Alejandro Sanz","2019-05-13",1202
"Alejandro Sanz","2019-05-14",1161
"Alejandro Sanz","2019-05-15",1026
"Alejandro Sanz","2019-05-16",1171
"Alejandro Sanz","2019-05-17",1143
"Alejandro Sanz","2019-05-18",1576
"Alejandro Sanz","2019-05-19",4293
"Alejandro Sanz","2019-05-20",1855
"Alejandro Sanz","2019-05-21",1831
"Alejandro Sanz","2019-05-22",1404
"Alejandro Sanz","2019-05-23",1189
"Alejandro Sanz","2019-05-24",1224
"Alejandro Sanz","2019-05-25",1308
"Alejandro Sanz","2019-05-26",1555
"Alejandro Sanz","2019-05-27",1152
"Alejandro Sanz","2019-05-28",1289
"Alejandro Sanz","2019-05-29",1418
"Alejandro Sanz","2019-05-30",2606
"Alejandro Sanz","2019-05-31",2383
"Alejandro Sanz","2019-06-01",2755
"Alejandro Sanz","2019-06-02",4576
"Alejandro Sanz","2019-06-03",2021
"Alejandro Sanz","2019-06-04",2106
"Alejandro Sanz","2019-06-05",2356
"Alejandro Sanz","2019-06-06",2541
"Alejandro Sanz","2019-06-07",53074
"Alejandro Sanz","2019-06-08",10461
"Alejandro Sanz","2019-06-09",14247
"Alejandro Sanz","2019-06-10",3252
"Alejandro Sanz","2019-06-11",2221
