"artista","fecha","visitas"
"Amparanoia","2019-03-04",39
"Amparanoia","2019-03-05",109
"Amparanoia","2019-03-06",60
"Amparanoia","2019-03-07",37
"Amparanoia","2019-03-08",48
"Amparanoia","2019-03-09",31
"Amparanoia","2019-03-10",39
"Amparanoia","2019-03-11",41
"Amparanoia","2019-03-12",37
"Amparanoia","2019-03-13",40
"Amparanoia","2019-03-14",36
"Amparanoia","2019-03-15",50
"Amparanoia","2019-03-16",40
"Amparanoia","2019-03-17",42
"Amparanoia","2019-03-18",34
"Amparanoia","2019-03-19",30
"Amparanoia","2019-03-20",65
"Amparanoia","2019-03-21",51
"Amparanoia","2019-03-22",32
"Amparanoia","2019-03-23",43
"Amparanoia","2019-03-24",46
"Amparanoia","2019-03-25",34
"Amparanoia","2019-03-26",40
"Amparanoia","2019-03-27",32
"Amparanoia","2019-03-28",29
"Amparanoia","2019-03-29",36
"Amparanoia","2019-03-30",41
"Amparanoia","2019-03-31",32
"Amparanoia","2019-04-01",19
"Amparanoia","2019-04-02",40
"Amparanoia","2019-04-03",28
"Amparanoia","2019-04-04",31
"Amparanoia","2019-04-05",22
"Amparanoia","2019-04-06",42
"Amparanoia","2019-04-07",51
"Amparanoia","2019-04-08",44
"Amparanoia","2019-04-09",27
"Amparanoia","2019-04-10",39
"Amparanoia","2019-04-11",40
"Amparanoia","2019-04-12",41
"Amparanoia","2019-04-13",55
"Amparanoia","2019-04-14",39
"Amparanoia","2019-04-15",44
"Amparanoia","2019-04-16",35
"Amparanoia","2019-04-17",39
"Amparanoia","2019-04-18",32
"Amparanoia","2019-04-19",31
"Amparanoia","2019-04-20",21
"Amparanoia","2019-04-21",43
"Amparanoia","2019-04-22",94
"Amparanoia","2019-04-23",59
"Amparanoia","2019-04-24",91
"Amparanoia","2019-04-25",57
"Amparanoia","2019-04-26",37
"Amparanoia","2019-04-27",38
"Amparanoia","2019-04-28",34
"Amparanoia","2019-04-29",47
"Amparanoia","2019-04-30",18
"Amparanoia","2019-05-01",41
"Amparanoia","2019-05-02",97
"Amparanoia","2019-05-03",32
"Amparanoia","2019-05-04",40
"Amparanoia","2019-05-05",36
"Amparanoia","2019-05-06",68
"Amparanoia","2019-05-07",51
"Amparanoia","2019-05-08",41
"Amparanoia","2019-05-09",44
"Amparanoia","2019-05-10",49
"Amparanoia","2019-05-11",68
"Amparanoia","2019-05-12",58
"Amparanoia","2019-05-13",29
"Amparanoia","2019-05-14",35
"Amparanoia","2019-05-15",52
"Amparanoia","2019-05-16",55
"Amparanoia","2019-05-17",56
"Amparanoia","2019-05-18",30
"Amparanoia","2019-05-19",29
"Amparanoia","2019-05-20",40
"Amparanoia","2019-05-21",42
"Amparanoia","2019-05-22",25
"Amparanoia","2019-05-23",55
"Amparanoia","2019-05-24",50
"Amparanoia","2019-05-25",47
"Amparanoia","2019-05-26",25
"Amparanoia","2019-05-27",34
"Amparanoia","2019-05-28",30
"Amparanoia","2019-05-29",39
"Amparanoia","2019-05-30",41
"Amparanoia","2019-05-31",50
"Amparanoia","2019-06-01",41
"Amparanoia","2019-06-02",66
"Amparanoia","2019-06-03",37
"Amparanoia","2019-06-04",54
"Amparanoia","2019-06-05",42
"Amparanoia","2019-06-06",39
"Amparanoia","2019-06-07",133
"Amparanoia","2019-06-08",60
"Amparanoia","2019-06-09",31
"Amparanoia","2019-06-10",46
"Amparanoia","2019-06-11",32
