"artista","fecha","visitas"
"Andrés Calamaro","2019-03-04",674
"Andrés Calamaro","2019-03-05",537
"Andrés Calamaro","2019-03-06",571
"Andrés Calamaro","2019-03-07",484
"Andrés Calamaro","2019-03-08",615
"Andrés Calamaro","2019-03-09",611
"Andrés Calamaro","2019-03-10",628
"Andrés Calamaro","2019-03-11",566
"Andrés Calamaro","2019-03-12",525
"Andrés Calamaro","2019-03-13",636
"Andrés Calamaro","2019-03-14",597
"Andrés Calamaro","2019-03-15",947
"Andrés Calamaro","2019-03-16",709
"Andrés Calamaro","2019-03-17",643
"Andrés Calamaro","2019-03-18",547
"Andrés Calamaro","2019-03-19",611
"Andrés Calamaro","2019-03-20",590
"Andrés Calamaro","2019-03-21",609
"Andrés Calamaro","2019-03-22",552
"Andrés Calamaro","2019-03-23",623
"Andrés Calamaro","2019-03-24",637
"Andrés Calamaro","2019-03-25",528
"Andrés Calamaro","2019-03-26",648
"Andrés Calamaro","2019-03-27",801
"Andrés Calamaro","2019-03-28",601
"Andrés Calamaro","2019-03-29",570
"Andrés Calamaro","2019-03-30",606
"Andrés Calamaro","2019-03-31",598
"Andrés Calamaro","2019-04-01",513
"Andrés Calamaro","2019-04-02",632
"Andrés Calamaro","2019-04-03",582
"Andrés Calamaro","2019-04-04",582
"Andrés Calamaro","2019-04-05",568
"Andrés Calamaro","2019-04-06",627
"Andrés Calamaro","2019-04-07",619
"Andrés Calamaro","2019-04-08",551
"Andrés Calamaro","2019-04-09",607
"Andrés Calamaro","2019-04-10",624
"Andrés Calamaro","2019-04-11",598
"Andrés Calamaro","2019-04-12",8250
"Andrés Calamaro","2019-04-13",656
"Andrés Calamaro","2019-04-14",607
"Andrés Calamaro","2019-04-15",505
"Andrés Calamaro","2019-04-16",1135
"Andrés Calamaro","2019-04-17",727
"Andrés Calamaro","2019-04-18",754
"Andrés Calamaro","2019-04-19",661
"Andrés Calamaro","2019-04-20",673
"Andrés Calamaro","2019-04-21",634
"Andrés Calamaro","2019-04-22",577
"Andrés Calamaro","2019-04-23",522
"Andrés Calamaro","2019-04-24",654
"Andrés Calamaro","2019-04-25",3759
"Andrés Calamaro","2019-04-26",4911
"Andrés Calamaro","2019-04-27",1816
"Andrés Calamaro","2019-04-28",1159
"Andrés Calamaro","2019-04-29",687
"Andrés Calamaro","2019-04-30",610
"Andrés Calamaro","2019-05-01",632
"Andrés Calamaro","2019-05-02",642
"Andrés Calamaro","2019-05-03",625
"Andrés Calamaro","2019-05-04",734
"Andrés Calamaro","2019-05-05",814
"Andrés Calamaro","2019-05-06",692
"Andrés Calamaro","2019-05-07",614
"Andrés Calamaro","2019-05-08",665
"Andrés Calamaro","2019-05-09",640
"Andrés Calamaro","2019-05-10",691
"Andrés Calamaro","2019-05-11",638
"Andrés Calamaro","2019-05-12",824
"Andrés Calamaro","2019-05-13",587
"Andrés Calamaro","2019-05-14",608
"Andrés Calamaro","2019-05-15",856
"Andrés Calamaro","2019-05-16",1865
"Andrés Calamaro","2019-05-17",1310
"Andrés Calamaro","2019-05-18",961
"Andrés Calamaro","2019-05-19",874
"Andrés Calamaro","2019-05-20",676
"Andrés Calamaro","2019-05-21",634
"Andrés Calamaro","2019-05-22",649
"Andrés Calamaro","2019-05-23",693
"Andrés Calamaro","2019-05-24",697
"Andrés Calamaro","2019-05-25",817
"Andrés Calamaro","2019-05-26",792
"Andrés Calamaro","2019-05-27",661
"Andrés Calamaro","2019-05-28",699
"Andrés Calamaro","2019-05-29",614
"Andrés Calamaro","2019-05-30",673
"Andrés Calamaro","2019-05-31",687
"Andrés Calamaro","2019-06-01",749
"Andrés Calamaro","2019-06-02",746
"Andrés Calamaro","2019-06-03",555
"Andrés Calamaro","2019-06-04",596
"Andrés Calamaro","2019-06-05",604
"Andrés Calamaro","2019-06-06",875
"Andrés Calamaro","2019-06-07",683
"Andrés Calamaro","2019-06-08",815
"Andrés Calamaro","2019-06-09",776
"Andrés Calamaro","2019-06-10",623
"Andrés Calamaro","2019-06-11",595
