"artista","fecha","visitas"
"Andrés Suárez","2019-03-04",82
"Andrés Suárez","2019-03-05",59
"Andrés Suárez","2019-03-06",60
"Andrés Suárez","2019-03-07",78
"Andrés Suárez","2019-03-08",59
"Andrés Suárez","2019-03-09",93
"Andrés Suárez","2019-03-10",68
"Andrés Suárez","2019-03-11",73
"Andrés Suárez","2019-03-12",96
"Andrés Suárez","2019-03-13",80
"Andrés Suárez","2019-03-14",82
"Andrés Suárez","2019-03-15",129
"Andrés Suárez","2019-03-16",118
"Andrés Suárez","2019-03-17",109
"Andrés Suárez","2019-03-18",87
"Andrés Suárez","2019-03-19",85
"Andrés Suárez","2019-03-20",100
"Andrés Suárez","2019-03-21",127
"Andrés Suárez","2019-03-22",4268
"Andrés Suárez","2019-03-23",1007
"Andrés Suárez","2019-03-24",339
"Andrés Suárez","2019-03-25",181
"Andrés Suárez","2019-03-26",144
"Andrés Suárez","2019-03-27",142
"Andrés Suárez","2019-03-28",105
"Andrés Suárez","2019-03-29",139
"Andrés Suárez","2019-03-30",116
"Andrés Suárez","2019-03-31",101
"Andrés Suárez","2019-04-01",95
"Andrés Suárez","2019-04-02",95
"Andrés Suárez","2019-04-03",102
"Andrés Suárez","2019-04-04",101
"Andrés Suárez","2019-04-05",3543
"Andrés Suárez","2019-04-06",615
"Andrés Suárez","2019-04-07",199
"Andrés Suárez","2019-04-08",131
"Andrés Suárez","2019-04-09",187
"Andrés Suárez","2019-04-10",152
"Andrés Suárez","2019-04-11",138
"Andrés Suárez","2019-04-12",124
"Andrés Suárez","2019-04-13",121
"Andrés Suárez","2019-04-14",90
"Andrés Suárez","2019-04-15",105
"Andrés Suárez","2019-04-16",223
"Andrés Suárez","2019-04-17",160
"Andrés Suárez","2019-04-18",95
"Andrés Suárez","2019-04-19",85
"Andrés Suárez","2019-04-20",74
"Andrés Suárez","2019-04-21",80
"Andrés Suárez","2019-04-22",67
"Andrés Suárez","2019-04-23",64
"Andrés Suárez","2019-04-24",120
"Andrés Suárez","2019-04-25",93
"Andrés Suárez","2019-04-26",119
"Andrés Suárez","2019-04-27",87
"Andrés Suárez","2019-04-28",66
"Andrés Suárez","2019-04-29",71
"Andrés Suárez","2019-04-30",69
"Andrés Suárez","2019-05-01",85
"Andrés Suárez","2019-05-02",74
"Andrés Suárez","2019-05-03",105
"Andrés Suárez","2019-05-04",85
"Andrés Suárez","2019-05-05",73
"Andrés Suárez","2019-05-06",76
"Andrés Suárez","2019-05-07",112
"Andrés Suárez","2019-05-08",129
"Andrés Suárez","2019-05-09",66
"Andrés Suárez","2019-05-10",80
"Andrés Suárez","2019-05-11",73
"Andrés Suárez","2019-05-12",78
"Andrés Suárez","2019-05-13",74
"Andrés Suárez","2019-05-14",65
"Andrés Suárez","2019-05-15",56
"Andrés Suárez","2019-05-16",79
"Andrés Suárez","2019-05-17",101
"Andrés Suárez","2019-05-18",92
"Andrés Suárez","2019-05-19",90
"Andrés Suárez","2019-05-20",77
"Andrés Suárez","2019-05-21",65
"Andrés Suárez","2019-05-22",187
"Andrés Suárez","2019-05-23",106
"Andrés Suárez","2019-05-24",110
"Andrés Suárez","2019-05-25",133
"Andrés Suárez","2019-05-26",100
"Andrés Suárez","2019-05-27",70
"Andrés Suárez","2019-05-28",87
"Andrés Suárez","2019-05-29",78
"Andrés Suárez","2019-05-30",76
"Andrés Suárez","2019-05-31",71
"Andrés Suárez","2019-06-01",82
"Andrés Suárez","2019-06-02",71
"Andrés Suárez","2019-06-03",73
"Andrés Suárez","2019-06-04",122
"Andrés Suárez","2019-06-05",68
"Andrés Suárez","2019-06-06",74
"Andrés Suárez","2019-06-07",80
"Andrés Suárez","2019-06-08",98
"Andrés Suárez","2019-06-09",73
"Andrés Suárez","2019-06-10",84
"Andrés Suárez","2019-06-11",102
