"artista","fecha","visitas"
"Antonio Orozco","2019-03-04",5109
"Antonio Orozco","2019-03-05",4898
"Antonio Orozco","2019-03-06",2053
"Antonio Orozco","2019-03-07",1231
"Antonio Orozco","2019-03-08",737
"Antonio Orozco","2019-03-09",1045
"Antonio Orozco","2019-03-10",1286
"Antonio Orozco","2019-03-11",1382
"Antonio Orozco","2019-03-12",1567
"Antonio Orozco","2019-03-13",907
"Antonio Orozco","2019-03-14",741
"Antonio Orozco","2019-03-15",632
"Antonio Orozco","2019-03-16",1042
"Antonio Orozco","2019-03-17",824
"Antonio Orozco","2019-03-18",566
"Antonio Orozco","2019-03-19",693
"Antonio Orozco","2019-03-20",1774
"Antonio Orozco","2019-03-21",1459
"Antonio Orozco","2019-03-22",745
"Antonio Orozco","2019-03-23",825
"Antonio Orozco","2019-03-24",1072
"Antonio Orozco","2019-03-25",633
"Antonio Orozco","2019-03-26",2241
"Antonio Orozco","2019-03-27",2107
"Antonio Orozco","2019-03-28",1492
"Antonio Orozco","2019-03-29",619
"Antonio Orozco","2019-03-30",678
"Antonio Orozco","2019-03-31",1135
"Antonio Orozco","2019-04-01",539
"Antonio Orozco","2019-04-02",496
"Antonio Orozco","2019-04-03",2759
"Antonio Orozco","2019-04-04",909
"Antonio Orozco","2019-04-05",622
"Antonio Orozco","2019-04-06",584
"Antonio Orozco","2019-04-07",912
"Antonio Orozco","2019-04-08",479
"Antonio Orozco","2019-04-09",3483
"Antonio Orozco","2019-04-10",2683
"Antonio Orozco","2019-04-11",1192
"Antonio Orozco","2019-04-12",545
"Antonio Orozco","2019-04-13",558
"Antonio Orozco","2019-04-14",851
"Antonio Orozco","2019-04-15",411
"Antonio Orozco","2019-04-16",316
"Antonio Orozco","2019-04-17",333
"Antonio Orozco","2019-04-18",436
"Antonio Orozco","2019-04-19",430
"Antonio Orozco","2019-04-20",439
"Antonio Orozco","2019-04-21",624
"Antonio Orozco","2019-04-22",345
"Antonio Orozco","2019-04-23",355
"Antonio Orozco","2019-04-24",281
"Antonio Orozco","2019-04-25",264
"Antonio Orozco","2019-04-26",362
"Antonio Orozco","2019-04-27",357
"Antonio Orozco","2019-04-28",366
"Antonio Orozco","2019-04-29",268
"Antonio Orozco","2019-04-30",320
"Antonio Orozco","2019-05-01",307
"Antonio Orozco","2019-05-02",449
"Antonio Orozco","2019-05-03",370
"Antonio Orozco","2019-05-04",388
"Antonio Orozco","2019-05-05",467
"Antonio Orozco","2019-05-06",329
"Antonio Orozco","2019-05-07",417
"Antonio Orozco","2019-05-08",1997
"Antonio Orozco","2019-05-09",636
"Antonio Orozco","2019-05-10",467
"Antonio Orozco","2019-05-11",387
"Antonio Orozco","2019-05-12",418
"Antonio Orozco","2019-05-13",343
"Antonio Orozco","2019-05-14",327
"Antonio Orozco","2019-05-15",2087
"Antonio Orozco","2019-05-16",724
"Antonio Orozco","2019-05-17",470
"Antonio Orozco","2019-05-18",515
"Antonio Orozco","2019-05-19",505
"Antonio Orozco","2019-05-20",328
"Antonio Orozco","2019-05-21",326
"Antonio Orozco","2019-05-22",1300
"Antonio Orozco","2019-05-23",519
"Antonio Orozco","2019-05-24",359
"Antonio Orozco","2019-05-25",444
"Antonio Orozco","2019-05-26",448
"Antonio Orozco","2019-05-27",495
"Antonio Orozco","2019-05-28",391
"Antonio Orozco","2019-05-29",1670
"Antonio Orozco","2019-05-30",621
"Antonio Orozco","2019-05-31",401
"Antonio Orozco","2019-06-01",427
"Antonio Orozco","2019-06-02",556
"Antonio Orozco","2019-06-03",409
"Antonio Orozco","2019-06-04",529
"Antonio Orozco","2019-06-05",561
"Antonio Orozco","2019-06-06",483
"Antonio Orozco","2019-06-07",388
"Antonio Orozco","2019-06-08",409
"Antonio Orozco","2019-06-09",506
"Antonio Orozco","2019-06-10",374
"Antonio Orozco","2019-06-11",377
