"artista","fecha","visitas"
"Bob Dylan","2019-03-04",1683
"Bob Dylan","2019-03-05",1941
"Bob Dylan","2019-03-06",1293
"Bob Dylan","2019-03-07",1040
"Bob Dylan","2019-03-08",1028
"Bob Dylan","2019-03-09",1074
"Bob Dylan","2019-03-10",1134
"Bob Dylan","2019-03-11",1038
"Bob Dylan","2019-03-12",1088
"Bob Dylan","2019-03-13",959
"Bob Dylan","2019-03-14",944
"Bob Dylan","2019-03-15",991
"Bob Dylan","2019-03-16",949
"Bob Dylan","2019-03-17",1051
"Bob Dylan","2019-03-18",1064
"Bob Dylan","2019-03-19",1188
"Bob Dylan","2019-03-20",1151
"Bob Dylan","2019-03-21",1062
"Bob Dylan","2019-03-22",1050
"Bob Dylan","2019-03-23",1013
"Bob Dylan","2019-03-24",1202
"Bob Dylan","2019-03-25",1047
"Bob Dylan","2019-03-26",955
"Bob Dylan","2019-03-27",925
"Bob Dylan","2019-03-28",1262
"Bob Dylan","2019-03-29",1057
"Bob Dylan","2019-03-30",936
"Bob Dylan","2019-03-31",1036
"Bob Dylan","2019-04-01",982
"Bob Dylan","2019-04-02",1050
"Bob Dylan","2019-04-03",979
"Bob Dylan","2019-04-04",1030
"Bob Dylan","2019-04-05",966
"Bob Dylan","2019-04-06",942
"Bob Dylan","2019-04-07",1110
"Bob Dylan","2019-04-08",1192
"Bob Dylan","2019-04-09",1132
"Bob Dylan","2019-04-10",1029
"Bob Dylan","2019-04-11",1004
"Bob Dylan","2019-04-12",1110
"Bob Dylan","2019-04-13",918
"Bob Dylan","2019-04-14",939
"Bob Dylan","2019-04-15",970
"Bob Dylan","2019-04-16",926
"Bob Dylan","2019-04-17",885
"Bob Dylan","2019-04-18",1080
"Bob Dylan","2019-04-19",1214
"Bob Dylan","2019-04-20",1012
"Bob Dylan","2019-04-21",1153
"Bob Dylan","2019-04-22",1236
"Bob Dylan","2019-04-23",1208
"Bob Dylan","2019-04-24",1237
"Bob Dylan","2019-04-25",2768
"Bob Dylan","2019-04-26",2906
"Bob Dylan","2019-04-27",2255
"Bob Dylan","2019-04-28",2095
"Bob Dylan","2019-04-29",2306
"Bob Dylan","2019-04-30",1542
"Bob Dylan","2019-05-01",1369
"Bob Dylan","2019-05-02",1232
"Bob Dylan","2019-05-03",1996
"Bob Dylan","2019-05-04",2201
"Bob Dylan","2019-05-05",2709
"Bob Dylan","2019-05-06",1739
"Bob Dylan","2019-05-07",1967
"Bob Dylan","2019-05-08",1293
"Bob Dylan","2019-05-09",1168
"Bob Dylan","2019-05-10",944
"Bob Dylan","2019-05-11",954
"Bob Dylan","2019-05-12",1073
"Bob Dylan","2019-05-13",968
"Bob Dylan","2019-05-14",917
"Bob Dylan","2019-05-15",1003
"Bob Dylan","2019-05-16",1752
"Bob Dylan","2019-05-17",1857
"Bob Dylan","2019-05-18",1986
"Bob Dylan","2019-05-19",1655
"Bob Dylan","2019-05-20",1383
"Bob Dylan","2019-05-21",1275
"Bob Dylan","2019-05-22",1218
"Bob Dylan","2019-05-23",1361
"Bob Dylan","2019-05-24",4806
"Bob Dylan","2019-05-25",2298
"Bob Dylan","2019-05-26",1581
"Bob Dylan","2019-05-27",1342
"Bob Dylan","2019-05-28",1188
"Bob Dylan","2019-05-29",1087
"Bob Dylan","2019-05-30",1152
"Bob Dylan","2019-05-31",1022
"Bob Dylan","2019-06-01",926
"Bob Dylan","2019-06-02",1104
"Bob Dylan","2019-06-03",1101
"Bob Dylan","2019-06-04",1344
"Bob Dylan","2019-06-05",1196
"Bob Dylan","2019-06-06",1075
"Bob Dylan","2019-06-07",1078
"Bob Dylan","2019-06-08",1030
"Bob Dylan","2019-06-09",1185
"Bob Dylan","2019-06-10",1057
"Bob Dylan","2019-06-11",1189
