"artista","fecha","visitas"
"Chenta Tsai","2019-05-13",29
"Chenta Tsai","2019-05-14",65
"Chenta Tsai","2019-05-15",39
"Chenta Tsai","2019-05-16",11
"Chenta Tsai","2019-05-17",6
"Chenta Tsai","2019-05-18",10
"Chenta Tsai","2019-05-19",3
"Chenta Tsai","2019-05-20",6
"Chenta Tsai","2019-05-21",8
"Chenta Tsai","2019-05-22",15
"Chenta Tsai","2019-05-23",7
"Chenta Tsai","2019-05-24",10
"Chenta Tsai","2019-05-25",8
"Chenta Tsai","2019-05-26",5
"Chenta Tsai","2019-05-27",8
"Chenta Tsai","2019-05-28",8
"Chenta Tsai","2019-05-29",8
"Chenta Tsai","2019-05-30",11
"Chenta Tsai","2019-05-31",16
"Chenta Tsai","2019-06-01",6
"Chenta Tsai","2019-06-02",47
"Chenta Tsai","2019-06-03",17
"Chenta Tsai","2019-06-04",156
"Chenta Tsai","2019-06-05",46
"Chenta Tsai","2019-06-06",36
"Chenta Tsai","2019-06-07",29
"Chenta Tsai","2019-06-08",43
"Chenta Tsai","2019-06-09",21
"Chenta Tsai","2019-06-10",29
"Chenta Tsai","2019-06-11",19
