"artista","fecha","visitas"
"Chicho Sánchez Ferlosio","2019-03-04",105
"Chicho Sánchez Ferlosio","2019-03-05",111
"Chicho Sánchez Ferlosio","2019-03-06",107
"Chicho Sánchez Ferlosio","2019-03-07",103
"Chicho Sánchez Ferlosio","2019-03-08",158
"Chicho Sánchez Ferlosio","2019-03-09",184
"Chicho Sánchez Ferlosio","2019-03-10",147
"Chicho Sánchez Ferlosio","2019-03-11",93
"Chicho Sánchez Ferlosio","2019-03-12",81
"Chicho Sánchez Ferlosio","2019-03-13",81
"Chicho Sánchez Ferlosio","2019-03-14",89
"Chicho Sánchez Ferlosio","2019-03-15",75
"Chicho Sánchez Ferlosio","2019-03-16",104
"Chicho Sánchez Ferlosio","2019-03-17",105
"Chicho Sánchez Ferlosio","2019-03-18",85
"Chicho Sánchez Ferlosio","2019-03-19",68
"Chicho Sánchez Ferlosio","2019-03-20",96
"Chicho Sánchez Ferlosio","2019-03-21",105
"Chicho Sánchez Ferlosio","2019-03-22",80
"Chicho Sánchez Ferlosio","2019-03-23",103
"Chicho Sánchez Ferlosio","2019-03-24",80
"Chicho Sánchez Ferlosio","2019-03-25",102
"Chicho Sánchez Ferlosio","2019-03-26",94
"Chicho Sánchez Ferlosio","2019-03-27",74
"Chicho Sánchez Ferlosio","2019-03-28",88
"Chicho Sánchez Ferlosio","2019-03-29",150
"Chicho Sánchez Ferlosio","2019-03-30",116
"Chicho Sánchez Ferlosio","2019-03-31",169
"Chicho Sánchez Ferlosio","2019-04-01",4420
"Chicho Sánchez Ferlosio","2019-04-02",2277
"Chicho Sánchez Ferlosio","2019-04-03",585
"Chicho Sánchez Ferlosio","2019-04-04",314
"Chicho Sánchez Ferlosio","2019-04-05",215
"Chicho Sánchez Ferlosio","2019-04-06",263
"Chicho Sánchez Ferlosio","2019-04-07",165
"Chicho Sánchez Ferlosio","2019-04-08",206
"Chicho Sánchez Ferlosio","2019-04-09",107
"Chicho Sánchez Ferlosio","2019-04-10",127
"Chicho Sánchez Ferlosio","2019-04-11",124
"Chicho Sánchez Ferlosio","2019-04-12",82
"Chicho Sánchez Ferlosio","2019-04-13",153
"Chicho Sánchez Ferlosio","2019-04-14",137
"Chicho Sánchez Ferlosio","2019-04-15",124
"Chicho Sánchez Ferlosio","2019-04-16",247
"Chicho Sánchez Ferlosio","2019-04-17",112
"Chicho Sánchez Ferlosio","2019-04-18",133
"Chicho Sánchez Ferlosio","2019-04-19",116
"Chicho Sánchez Ferlosio","2019-04-20",124
"Chicho Sánchez Ferlosio","2019-04-21",124
"Chicho Sánchez Ferlosio","2019-04-22",94
"Chicho Sánchez Ferlosio","2019-04-23",88
"Chicho Sánchez Ferlosio","2019-04-24",105
"Chicho Sánchez Ferlosio","2019-04-25",134
"Chicho Sánchez Ferlosio","2019-04-26",162
"Chicho Sánchez Ferlosio","2019-04-27",114
"Chicho Sánchez Ferlosio","2019-04-28",163
"Chicho Sánchez Ferlosio","2019-04-29",154
"Chicho Sánchez Ferlosio","2019-04-30",128
"Chicho Sánchez Ferlosio","2019-05-01",129
"Chicho Sánchez Ferlosio","2019-05-02",98
"Chicho Sánchez Ferlosio","2019-05-03",101
"Chicho Sánchez Ferlosio","2019-05-04",116
"Chicho Sánchez Ferlosio","2019-05-05",90
"Chicho Sánchez Ferlosio","2019-05-06",111
"Chicho Sánchez Ferlosio","2019-05-07",82
"Chicho Sánchez Ferlosio","2019-05-08",100
"Chicho Sánchez Ferlosio","2019-05-09",91
"Chicho Sánchez Ferlosio","2019-05-10",89
"Chicho Sánchez Ferlosio","2019-05-11",62
"Chicho Sánchez Ferlosio","2019-05-12",121
"Chicho Sánchez Ferlosio","2019-05-13",113
"Chicho Sánchez Ferlosio","2019-05-14",94
"Chicho Sánchez Ferlosio","2019-05-15",102
"Chicho Sánchez Ferlosio","2019-05-16",93
"Chicho Sánchez Ferlosio","2019-05-17",97
"Chicho Sánchez Ferlosio","2019-05-18",101
"Chicho Sánchez Ferlosio","2019-05-19",103
"Chicho Sánchez Ferlosio","2019-05-20",153
"Chicho Sánchez Ferlosio","2019-05-21",101
"Chicho Sánchez Ferlosio","2019-05-22",57
"Chicho Sánchez Ferlosio","2019-05-23",88
"Chicho Sánchez Ferlosio","2019-05-24",76
"Chicho Sánchez Ferlosio","2019-05-25",98
"Chicho Sánchez Ferlosio","2019-05-26",92
"Chicho Sánchez Ferlosio","2019-05-27",90
"Chicho Sánchez Ferlosio","2019-05-28",79
"Chicho Sánchez Ferlosio","2019-05-29",80
"Chicho Sánchez Ferlosio","2019-05-30",70
"Chicho Sánchez Ferlosio","2019-05-31",94
"Chicho Sánchez Ferlosio","2019-06-01",100
"Chicho Sánchez Ferlosio","2019-06-02",71
"Chicho Sánchez Ferlosio","2019-06-03",147
"Chicho Sánchez Ferlosio","2019-06-04",171
"Chicho Sánchez Ferlosio","2019-06-05",155
"Chicho Sánchez Ferlosio","2019-06-06",106
"Chicho Sánchez Ferlosio","2019-06-07",146
"Chicho Sánchez Ferlosio","2019-06-08",122
"Chicho Sánchez Ferlosio","2019-06-09",112
"Chicho Sánchez Ferlosio","2019-06-10",100
"Chicho Sánchez Ferlosio","2019-06-11",118
