"artista","fecha","visitas"
"Christina Rosenvinge","2019-03-04",224
"Christina Rosenvinge","2019-03-05",298
"Christina Rosenvinge","2019-03-06",258
"Christina Rosenvinge","2019-03-07",312
"Christina Rosenvinge","2019-03-08",490
"Christina Rosenvinge","2019-03-09",321
"Christina Rosenvinge","2019-03-10",254
"Christina Rosenvinge","2019-03-11",246
"Christina Rosenvinge","2019-03-12",305
"Christina Rosenvinge","2019-03-13",317
"Christina Rosenvinge","2019-03-14",325
"Christina Rosenvinge","2019-03-15",278
"Christina Rosenvinge","2019-03-16",539
"Christina Rosenvinge","2019-03-17",371
"Christina Rosenvinge","2019-03-18",367
"Christina Rosenvinge","2019-03-19",308
"Christina Rosenvinge","2019-03-20",267
"Christina Rosenvinge","2019-03-21",271
"Christina Rosenvinge","2019-03-22",250
"Christina Rosenvinge","2019-03-23",353
"Christina Rosenvinge","2019-03-24",279
"Christina Rosenvinge","2019-03-25",247
"Christina Rosenvinge","2019-03-26",195
"Christina Rosenvinge","2019-03-27",278
"Christina Rosenvinge","2019-03-28",286
"Christina Rosenvinge","2019-03-29",422
"Christina Rosenvinge","2019-03-30",387
"Christina Rosenvinge","2019-03-31",339
"Christina Rosenvinge","2019-04-01",4428
"Christina Rosenvinge","2019-04-02",1289
"Christina Rosenvinge","2019-04-03",1434
"Christina Rosenvinge","2019-04-04",494
"Christina Rosenvinge","2019-04-05",401
"Christina Rosenvinge","2019-04-06",658
"Christina Rosenvinge","2019-04-07",404
"Christina Rosenvinge","2019-04-08",484
"Christina Rosenvinge","2019-04-09",373
"Christina Rosenvinge","2019-04-10",536
"Christina Rosenvinge","2019-04-11",418
"Christina Rosenvinge","2019-04-12",469
"Christina Rosenvinge","2019-04-13",741
"Christina Rosenvinge","2019-04-14",326
"Christina Rosenvinge","2019-04-15",273
"Christina Rosenvinge","2019-04-16",1621
"Christina Rosenvinge","2019-04-17",483
"Christina Rosenvinge","2019-04-18",375
"Christina Rosenvinge","2019-04-19",369
"Christina Rosenvinge","2019-04-20",382
"Christina Rosenvinge","2019-04-21",425
"Christina Rosenvinge","2019-04-22",1315
"Christina Rosenvinge","2019-04-23",413
"Christina Rosenvinge","2019-04-24",344
"Christina Rosenvinge","2019-04-25",2857
"Christina Rosenvinge","2019-04-26",804
"Christina Rosenvinge","2019-04-27",521
"Christina Rosenvinge","2019-04-28",380
"Christina Rosenvinge","2019-04-29",295
"Christina Rosenvinge","2019-04-30",289
"Christina Rosenvinge","2019-05-01",402
"Christina Rosenvinge","2019-05-02",441
"Christina Rosenvinge","2019-05-03",507
"Christina Rosenvinge","2019-05-04",440
"Christina Rosenvinge","2019-05-05",580
"Christina Rosenvinge","2019-05-06",435
"Christina Rosenvinge","2019-05-07",319
"Christina Rosenvinge","2019-05-08",4616
"Christina Rosenvinge","2019-05-09",1725
"Christina Rosenvinge","2019-05-10",653
"Christina Rosenvinge","2019-05-11",459
"Christina Rosenvinge","2019-05-12",408
"Christina Rosenvinge","2019-05-13",355
"Christina Rosenvinge","2019-05-14",576
"Christina Rosenvinge","2019-05-15",875
"Christina Rosenvinge","2019-05-16",425
"Christina Rosenvinge","2019-05-17",380
"Christina Rosenvinge","2019-05-18",429
"Christina Rosenvinge","2019-05-19",449
"Christina Rosenvinge","2019-05-20",270
"Christina Rosenvinge","2019-05-21",837
"Christina Rosenvinge","2019-05-22",264
"Christina Rosenvinge","2019-05-23",250
"Christina Rosenvinge","2019-05-24",314
"Christina Rosenvinge","2019-05-25",262
"Christina Rosenvinge","2019-05-26",263
"Christina Rosenvinge","2019-05-27",294
"Christina Rosenvinge","2019-05-28",302
"Christina Rosenvinge","2019-05-29",540
"Christina Rosenvinge","2019-05-30",478
"Christina Rosenvinge","2019-05-31",321
"Christina Rosenvinge","2019-06-01",322
"Christina Rosenvinge","2019-06-02",590
"Christina Rosenvinge","2019-06-03",326
"Christina Rosenvinge","2019-06-04",719
"Christina Rosenvinge","2019-06-05",271
"Christina Rosenvinge","2019-06-06",279
"Christina Rosenvinge","2019-06-07",692
"Christina Rosenvinge","2019-06-08",305
"Christina Rosenvinge","2019-06-09",290
"Christina Rosenvinge","2019-06-10",225
"Christina Rosenvinge","2019-06-11",243
