"artista","fecha","visitas"
"Javier Krahe","2019-03-04",154
"Javier Krahe","2019-03-05",121
"Javier Krahe","2019-03-06",115
"Javier Krahe","2019-03-07",115
"Javier Krahe","2019-03-08",121
"Javier Krahe","2019-03-09",137
"Javier Krahe","2019-03-10",121
"Javier Krahe","2019-03-11",98
"Javier Krahe","2019-03-12",103
"Javier Krahe","2019-03-13",104
"Javier Krahe","2019-03-14",98
"Javier Krahe","2019-03-15",100
"Javier Krahe","2019-03-16",106
"Javier Krahe","2019-03-17",98
"Javier Krahe","2019-03-18",127
"Javier Krahe","2019-03-19",110
"Javier Krahe","2019-03-20",132
"Javier Krahe","2019-03-21",121
"Javier Krahe","2019-03-22",132
"Javier Krahe","2019-03-23",93
"Javier Krahe","2019-03-24",113
"Javier Krahe","2019-03-25",110
"Javier Krahe","2019-03-26",113
"Javier Krahe","2019-03-27",97
"Javier Krahe","2019-03-28",122
"Javier Krahe","2019-03-29",139
"Javier Krahe","2019-03-30",221
"Javier Krahe","2019-03-31",187
"Javier Krahe","2019-04-01",124
"Javier Krahe","2019-04-02",115
"Javier Krahe","2019-04-03",109
"Javier Krahe","2019-04-04",162
"Javier Krahe","2019-04-05",99
"Javier Krahe","2019-04-06",103
"Javier Krahe","2019-04-07",122
"Javier Krahe","2019-04-08",113
"Javier Krahe","2019-04-09",107
"Javier Krahe","2019-04-10",104
"Javier Krahe","2019-04-11",75
"Javier Krahe","2019-04-12",70
"Javier Krahe","2019-04-13",110
"Javier Krahe","2019-04-14",90
"Javier Krahe","2019-04-15",92
"Javier Krahe","2019-04-16",99
"Javier Krahe","2019-04-17",86
"Javier Krahe","2019-04-18",89
"Javier Krahe","2019-04-19",131
"Javier Krahe","2019-04-20",131
"Javier Krahe","2019-04-21",129
"Javier Krahe","2019-04-22",117
"Javier Krahe","2019-04-23",132
"Javier Krahe","2019-04-24",110
"Javier Krahe","2019-04-25",129
"Javier Krahe","2019-04-26",115
"Javier Krahe","2019-04-27",134
"Javier Krahe","2019-04-28",86
"Javier Krahe","2019-04-29",100
"Javier Krahe","2019-04-30",166
"Javier Krahe","2019-05-01",160
"Javier Krahe","2019-05-02",151
"Javier Krahe","2019-05-03",133
"Javier Krahe","2019-05-04",141
"Javier Krahe","2019-05-05",159
"Javier Krahe","2019-05-06",194
"Javier Krahe","2019-05-07",148
"Javier Krahe","2019-05-08",173
"Javier Krahe","2019-05-09",391
"Javier Krahe","2019-05-10",281
"Javier Krahe","2019-05-11",230
"Javier Krahe","2019-05-12",198
"Javier Krahe","2019-05-13",179
"Javier Krahe","2019-05-14",138
"Javier Krahe","2019-05-15",144
"Javier Krahe","2019-05-16",127
"Javier Krahe","2019-05-17",111
"Javier Krahe","2019-05-18",117
"Javier Krahe","2019-05-19",103
"Javier Krahe","2019-05-20",85
"Javier Krahe","2019-05-21",115
"Javier Krahe","2019-05-22",114
"Javier Krahe","2019-05-23",95
"Javier Krahe","2019-05-24",116
"Javier Krahe","2019-05-25",112
"Javier Krahe","2019-05-26",119
"Javier Krahe","2019-05-27",141
"Javier Krahe","2019-05-28",363
"Javier Krahe","2019-05-29",149
"Javier Krahe","2019-05-30",124
"Javier Krahe","2019-05-31",109
"Javier Krahe","2019-06-01",98
"Javier Krahe","2019-06-02",87
"Javier Krahe","2019-06-03",103
"Javier Krahe","2019-06-04",311
"Javier Krahe","2019-06-05",132
"Javier Krahe","2019-06-06",108
"Javier Krahe","2019-06-07",121
"Javier Krahe","2019-06-08",88
"Javier Krahe","2019-06-09",87
"Javier Krahe","2019-06-10",104
"Javier Krahe","2019-06-11",155
