"artista","fecha","visitas"
"Kiko Veneno","2019-03-04",73
"Kiko Veneno","2019-03-05",82
"Kiko Veneno","2019-03-06",78
"Kiko Veneno","2019-03-07",122
"Kiko Veneno","2019-03-08",89
"Kiko Veneno","2019-03-09",112
"Kiko Veneno","2019-03-10",857
"Kiko Veneno","2019-03-11",130
"Kiko Veneno","2019-03-12",87
"Kiko Veneno","2019-03-13",134
"Kiko Veneno","2019-03-14",113
"Kiko Veneno","2019-03-15",124
"Kiko Veneno","2019-03-16",115
"Kiko Veneno","2019-03-17",121
"Kiko Veneno","2019-03-18",90
"Kiko Veneno","2019-03-19",106
"Kiko Veneno","2019-03-20",70
"Kiko Veneno","2019-03-21",111
"Kiko Veneno","2019-03-22",121
"Kiko Veneno","2019-03-23",109
"Kiko Veneno","2019-03-24",104
"Kiko Veneno","2019-03-25",103
"Kiko Veneno","2019-03-26",116
"Kiko Veneno","2019-03-27",111
"Kiko Veneno","2019-03-28",134
"Kiko Veneno","2019-03-29",119
"Kiko Veneno","2019-03-30",118
"Kiko Veneno","2019-03-31",134
"Kiko Veneno","2019-04-01",533
"Kiko Veneno","2019-04-02",380
"Kiko Veneno","2019-04-03",812
"Kiko Veneno","2019-04-04",339
"Kiko Veneno","2019-04-05",284
"Kiko Veneno","2019-04-06",472
"Kiko Veneno","2019-04-07",1334
"Kiko Veneno","2019-04-08",267
"Kiko Veneno","2019-04-09",228
"Kiko Veneno","2019-04-10",169
"Kiko Veneno","2019-04-11",177
"Kiko Veneno","2019-04-12",258
"Kiko Veneno","2019-04-13",240
"Kiko Veneno","2019-04-14",168
"Kiko Veneno","2019-04-15",116
"Kiko Veneno","2019-04-16",85
"Kiko Veneno","2019-04-17",112
"Kiko Veneno","2019-04-18",125
"Kiko Veneno","2019-04-19",121
"Kiko Veneno","2019-04-20",110
"Kiko Veneno","2019-04-21",149
"Kiko Veneno","2019-04-22",121
"Kiko Veneno","2019-04-23",679
"Kiko Veneno","2019-04-24",473
"Kiko Veneno","2019-04-25",181
"Kiko Veneno","2019-04-26",301
"Kiko Veneno","2019-04-27",136
"Kiko Veneno","2019-04-28",92
"Kiko Veneno","2019-04-29",94
"Kiko Veneno","2019-04-30",113
"Kiko Veneno","2019-05-01",132
"Kiko Veneno","2019-05-02",116
"Kiko Veneno","2019-05-03",211
"Kiko Veneno","2019-05-04",186
"Kiko Veneno","2019-05-05",156
"Kiko Veneno","2019-05-06",127
"Kiko Veneno","2019-05-07",142
"Kiko Veneno","2019-05-08",119
"Kiko Veneno","2019-05-09",113
"Kiko Veneno","2019-05-10",145
"Kiko Veneno","2019-05-11",198
"Kiko Veneno","2019-05-12",407
"Kiko Veneno","2019-05-13",199
"Kiko Veneno","2019-05-14",116
"Kiko Veneno","2019-05-15",112
"Kiko Veneno","2019-05-16",135
"Kiko Veneno","2019-05-17",175
"Kiko Veneno","2019-05-18",179
"Kiko Veneno","2019-05-19",145
"Kiko Veneno","2019-05-20",119
"Kiko Veneno","2019-05-21",390
"Kiko Veneno","2019-05-22",137
"Kiko Veneno","2019-05-23",114
"Kiko Veneno","2019-05-24",130
"Kiko Veneno","2019-05-25",148
"Kiko Veneno","2019-05-26",102
"Kiko Veneno","2019-05-27",87
"Kiko Veneno","2019-05-28",371
"Kiko Veneno","2019-05-29",174
"Kiko Veneno","2019-05-30",1026
"Kiko Veneno","2019-05-31",486
"Kiko Veneno","2019-06-01",218
"Kiko Veneno","2019-06-02",642
"Kiko Veneno","2019-06-03",563
"Kiko Veneno","2019-06-04",540
"Kiko Veneno","2019-06-05",196
"Kiko Veneno","2019-06-06",185
"Kiko Veneno","2019-06-07",122
"Kiko Veneno","2019-06-08",1265
"Kiko Veneno","2019-06-09",706
"Kiko Veneno","2019-06-10",144
"Kiko Veneno","2019-06-11",373
