"artista","fecha","visitas"
"La Bien Querida","2019-03-04",40
"La Bien Querida","2019-03-05",48
"La Bien Querida","2019-03-06",40
"La Bien Querida","2019-03-07",69
"La Bien Querida","2019-03-08",42
"La Bien Querida","2019-03-09",71
"La Bien Querida","2019-03-10",63
"La Bien Querida","2019-03-11",48
"La Bien Querida","2019-03-12",54
"La Bien Querida","2019-03-13",30
"La Bien Querida","2019-03-14",35
"La Bien Querida","2019-03-15",37
"La Bien Querida","2019-03-16",34
"La Bien Querida","2019-03-17",40
"La Bien Querida","2019-03-18",28
"La Bien Querida","2019-03-19",41
"La Bien Querida","2019-03-20",34
"La Bien Querida","2019-03-21",40
"La Bien Querida","2019-03-22",39
"La Bien Querida","2019-03-23",21
"La Bien Querida","2019-03-24",44
"La Bien Querida","2019-03-25",34
"La Bien Querida","2019-03-26",28
"La Bien Querida","2019-03-27",40
"La Bien Querida","2019-03-28",36
"La Bien Querida","2019-03-29",33
"La Bien Querida","2019-03-30",28
"La Bien Querida","2019-03-31",30
"La Bien Querida","2019-04-01",30
"La Bien Querida","2019-04-02",49
"La Bien Querida","2019-04-03",29
"La Bien Querida","2019-04-04",35
"La Bien Querida","2019-04-05",35
"La Bien Querida","2019-04-06",37
"La Bien Querida","2019-04-07",41
"La Bien Querida","2019-04-08",35
"La Bien Querida","2019-04-09",41
"La Bien Querida","2019-04-10",36
"La Bien Querida","2019-04-11",36
"La Bien Querida","2019-04-12",38
"La Bien Querida","2019-04-13",49
"La Bien Querida","2019-04-14",42
"La Bien Querida","2019-04-15",34
"La Bien Querida","2019-04-16",35
"La Bien Querida","2019-04-17",38
"La Bien Querida","2019-04-18",27
"La Bien Querida","2019-04-19",38
"La Bien Querida","2019-04-20",66
"La Bien Querida","2019-04-21",63
"La Bien Querida","2019-04-22",43
"La Bien Querida","2019-04-23",49
"La Bien Querida","2019-04-24",55
"La Bien Querida","2019-04-25",52
"La Bien Querida","2019-04-26",42
"La Bien Querida","2019-04-27",40
"La Bien Querida","2019-04-28",56
"La Bien Querida","2019-04-29",30
"La Bien Querida","2019-04-30",55
"La Bien Querida","2019-05-01",47
"La Bien Querida","2019-05-02",37
"La Bien Querida","2019-05-03",41
"La Bien Querida","2019-05-04",42
"La Bien Querida","2019-05-05",34
"La Bien Querida","2019-05-06",46
"La Bien Querida","2019-05-07",44
"La Bien Querida","2019-05-08",47
"La Bien Querida","2019-05-09",49
"La Bien Querida","2019-05-10",49
"La Bien Querida","2019-05-11",37
"La Bien Querida","2019-05-12",58
"La Bien Querida","2019-05-13",69
"La Bien Querida","2019-05-14",189
"La Bien Querida","2019-05-15",99
"La Bien Querida","2019-05-16",83
"La Bien Querida","2019-05-17",48
"La Bien Querida","2019-05-18",39
"La Bien Querida","2019-05-19",35
"La Bien Querida","2019-05-20",30
"La Bien Querida","2019-05-21",38
"La Bien Querida","2019-05-22",26
"La Bien Querida","2019-05-23",40
"La Bien Querida","2019-05-24",48
"La Bien Querida","2019-05-25",37
"La Bien Querida","2019-05-26",34
"La Bien Querida","2019-05-27",31
"La Bien Querida","2019-05-28",37
"La Bien Querida","2019-05-29",39
"La Bien Querida","2019-05-30",37
"La Bien Querida","2019-05-31",42
"La Bien Querida","2019-06-01",28
"La Bien Querida","2019-06-02",33
"La Bien Querida","2019-06-03",24
"La Bien Querida","2019-06-04",111
"La Bien Querida","2019-06-05",57
"La Bien Querida","2019-06-06",44
"La Bien Querida","2019-06-07",40
"La Bien Querida","2019-06-08",57
"La Bien Querida","2019-06-09",32
"La Bien Querida","2019-06-10",47
"La Bien Querida","2019-06-11",40
