"artista","fecha","visitas"
"La Excepción","2019-03-04",29
"La Excepción","2019-03-05",27
"La Excepción","2019-03-06",36
"La Excepción","2019-03-07",16
"La Excepción","2019-03-08",28
"La Excepción","2019-03-09",21
"La Excepción","2019-03-10",28
"La Excepción","2019-03-11",25
"La Excepción","2019-03-12",39
"La Excepción","2019-03-13",28
"La Excepción","2019-03-14",24
"La Excepción","2019-03-15",27
"La Excepción","2019-03-16",8
"La Excepción","2019-03-17",13
"La Excepción","2019-03-18",22
"La Excepción","2019-03-19",26
"La Excepción","2019-03-20",33
"La Excepción","2019-03-21",22
"La Excepción","2019-03-22",30
"La Excepción","2019-03-23",24
"La Excepción","2019-03-24",31
"La Excepción","2019-03-25",25
"La Excepción","2019-03-26",37
"La Excepción","2019-03-27",28
"La Excepción","2019-03-28",26
"La Excepción","2019-03-29",27
"La Excepción","2019-03-30",32
"La Excepción","2019-03-31",17
"La Excepción","2019-04-01",28
"La Excepción","2019-04-02",23
"La Excepción","2019-04-03",19
"La Excepción","2019-04-04",35
"La Excepción","2019-04-05",30
"La Excepción","2019-04-06",17
"La Excepción","2019-04-07",20
"La Excepción","2019-04-08",22
"La Excepción","2019-04-09",24
"La Excepción","2019-04-10",31
"La Excepción","2019-04-11",31
"La Excepción","2019-04-12",35
"La Excepción","2019-04-13",20
"La Excepción","2019-04-14",25
"La Excepción","2019-04-15",34
"La Excepción","2019-04-16",32
"La Excepción","2019-04-17",20
"La Excepción","2019-04-18",24
"La Excepción","2019-04-19",26
"La Excepción","2019-04-20",17
"La Excepción","2019-04-21",33
"La Excepción","2019-04-22",15
"La Excepción","2019-04-23",16
"La Excepción","2019-04-24",37
"La Excepción","2019-04-25",24
"La Excepción","2019-04-26",101
"La Excepción","2019-04-27",22
"La Excepción","2019-04-28",19
"La Excepción","2019-04-29",29
"La Excepción","2019-04-30",21
"La Excepción","2019-05-01",30
"La Excepción","2019-05-02",22
"La Excepción","2019-05-03",109
"La Excepción","2019-05-04",96
"La Excepción","2019-05-05",34
"La Excepción","2019-05-06",41
"La Excepción","2019-05-07",46
"La Excepción","2019-05-08",27
"La Excepción","2019-05-09",36
"La Excepción","2019-05-10",137
"La Excepción","2019-05-11",75
"La Excepción","2019-05-12",29
"La Excepción","2019-05-13",30
"La Excepción","2019-05-14",18
"La Excepción","2019-05-15",29
"La Excepción","2019-05-16",27
"La Excepción","2019-05-17",115
"La Excepción","2019-05-18",66
"La Excepción","2019-05-19",25
"La Excepción","2019-05-20",62
"La Excepción","2019-05-21",273
"La Excepción","2019-05-22",115
"La Excepción","2019-05-23",79
"La Excepción","2019-05-24",244
"La Excepción","2019-05-25",125
"La Excepción","2019-05-26",44
"La Excepción","2019-05-27",47
"La Excepción","2019-05-28",43
"La Excepción","2019-05-29",36
"La Excepción","2019-05-30",62
"La Excepción","2019-05-31",161
"La Excepción","2019-06-01",64
"La Excepción","2019-06-02",40
"La Excepción","2019-06-03",47
"La Excepción","2019-06-04",26
"La Excepción","2019-06-05",32
"La Excepción","2019-06-06",47
"La Excepción","2019-06-07",69
"La Excepción","2019-06-08",131
"La Excepción","2019-06-09",57
"La Excepción","2019-06-10",41
"La Excepción","2019-06-11",40
