"artista","fecha","visitas"
"Lichis","2019-03-04",34
"Lichis","2019-03-05",30
"Lichis","2019-03-06",37
"Lichis","2019-03-07",26
"Lichis","2019-03-08",22
"Lichis","2019-03-09",54
"Lichis","2019-03-10",32
"Lichis","2019-03-11",31
"Lichis","2019-03-12",29
"Lichis","2019-03-13",37
"Lichis","2019-03-14",43
"Lichis","2019-03-15",39
"Lichis","2019-03-16",32
"Lichis","2019-03-17",48
"Lichis","2019-03-18",35
"Lichis","2019-03-19",42
"Lichis","2019-03-20",36
"Lichis","2019-03-21",29
"Lichis","2019-03-22",28
"Lichis","2019-03-23",39
"Lichis","2019-03-24",38
"Lichis","2019-03-25",28
"Lichis","2019-03-26",32
"Lichis","2019-03-27",25
"Lichis","2019-03-28",38
"Lichis","2019-03-29",32
"Lichis","2019-03-30",35
"Lichis","2019-03-31",37
"Lichis","2019-04-01",30
"Lichis","2019-04-02",33
"Lichis","2019-04-03",29
"Lichis","2019-04-04",30
"Lichis","2019-04-05",43
"Lichis","2019-04-06",26
"Lichis","2019-04-07",21
"Lichis","2019-04-08",44
"Lichis","2019-04-09",37
"Lichis","2019-04-10",32
"Lichis","2019-04-11",33
"Lichis","2019-04-12",43
"Lichis","2019-04-13",30
"Lichis","2019-04-14",30
"Lichis","2019-04-15",21
"Lichis","2019-04-16",29
"Lichis","2019-04-17",38
"Lichis","2019-04-18",44
"Lichis","2019-04-19",21
"Lichis","2019-04-20",32
"Lichis","2019-04-21",25
"Lichis","2019-04-22",23
"Lichis","2019-04-23",23
"Lichis","2019-04-24",32
"Lichis","2019-04-25",26
"Lichis","2019-04-26",25
"Lichis","2019-04-27",29
"Lichis","2019-04-28",32
"Lichis","2019-04-29",37
"Lichis","2019-04-30",34
"Lichis","2019-05-01",21
"Lichis","2019-05-02",28
"Lichis","2019-05-03",38
"Lichis","2019-05-04",37
"Lichis","2019-05-05",34
"Lichis","2019-05-06",35
"Lichis","2019-05-07",29
"Lichis","2019-05-08",41
"Lichis","2019-05-09",44
"Lichis","2019-05-10",38
"Lichis","2019-05-11",38
"Lichis","2019-05-12",32
"Lichis","2019-05-13",14
"Lichis","2019-05-14",34
"Lichis","2019-05-15",42
"Lichis","2019-05-16",63
"Lichis","2019-05-17",422
"Lichis","2019-05-18",132
"Lichis","2019-05-19",124
"Lichis","2019-05-20",69
"Lichis","2019-05-21",34
"Lichis","2019-05-22",42
"Lichis","2019-05-23",51
"Lichis","2019-05-24",46
"Lichis","2019-05-25",48
"Lichis","2019-05-26",44
"Lichis","2019-05-27",43
"Lichis","2019-05-28",38
"Lichis","2019-05-29",34
"Lichis","2019-05-30",37
"Lichis","2019-05-31",41
"Lichis","2019-06-01",27
"Lichis","2019-06-02",34
"Lichis","2019-06-03",27
"Lichis","2019-06-04",57
"Lichis","2019-06-05",25
"Lichis","2019-06-06",42
"Lichis","2019-06-07",28
"Lichis","2019-06-08",21
"Lichis","2019-06-09",28
"Lichis","2019-06-10",57
"Lichis","2019-06-11",118
