"artista","fecha","visitas"
"Marwan","2019-03-04",129
"Marwan","2019-03-05",152
"Marwan","2019-03-06",140
"Marwan","2019-03-07",139
"Marwan","2019-03-08",180
"Marwan","2019-03-09",194
"Marwan","2019-03-10",267
"Marwan","2019-03-11",215
"Marwan","2019-03-12",160
"Marwan","2019-03-13",127
"Marwan","2019-03-14",120
"Marwan","2019-03-15",122
"Marwan","2019-03-16",74
"Marwan","2019-03-17",81
"Marwan","2019-03-18",111
"Marwan","2019-03-19",107
"Marwan","2019-03-20",119
"Marwan","2019-03-21",171
"Marwan","2019-03-22",134
"Marwan","2019-03-23",79
"Marwan","2019-03-24",84
"Marwan","2019-03-25",98
"Marwan","2019-03-26",112
"Marwan","2019-03-27",121
"Marwan","2019-03-28",132
"Marwan","2019-03-29",149
"Marwan","2019-03-30",135
"Marwan","2019-03-31",140
"Marwan","2019-04-01",116
"Marwan","2019-04-02",113
"Marwan","2019-04-03",137
"Marwan","2019-04-04",106
"Marwan","2019-04-05",237
"Marwan","2019-04-06",139
"Marwan","2019-04-07",137
"Marwan","2019-04-08",141
"Marwan","2019-04-09",146
"Marwan","2019-04-10",115
"Marwan","2019-04-11",109
"Marwan","2019-04-12",104
"Marwan","2019-04-13",122
"Marwan","2019-04-14",121
"Marwan","2019-04-15",112
"Marwan","2019-04-16",85
"Marwan","2019-04-17",90
"Marwan","2019-04-18",156
"Marwan","2019-04-19",142
"Marwan","2019-04-20",82
"Marwan","2019-04-21",72
"Marwan","2019-04-22",132
"Marwan","2019-04-23",148
"Marwan","2019-04-24",187
"Marwan","2019-04-25",131
"Marwan","2019-04-26",142
"Marwan","2019-04-27",111
"Marwan","2019-04-28",82
"Marwan","2019-04-29",88
"Marwan","2019-04-30",84
"Marwan","2019-05-01",95
"Marwan","2019-05-02",97
"Marwan","2019-05-03",117
"Marwan","2019-05-04",138
"Marwan","2019-05-05",135
"Marwan","2019-05-06",134
"Marwan","2019-05-07",112
"Marwan","2019-05-08",124
"Marwan","2019-05-09",131
"Marwan","2019-05-10",101
"Marwan","2019-05-11",139
"Marwan","2019-05-12",172
"Marwan","2019-05-13",115
"Marwan","2019-05-14",123
"Marwan","2019-05-15",121
"Marwan","2019-05-16",121
"Marwan","2019-05-17",116
"Marwan","2019-05-18",147
"Marwan","2019-05-19",119
"Marwan","2019-05-20",90
"Marwan","2019-05-21",78
"Marwan","2019-05-22",97
"Marwan","2019-05-23",84
"Marwan","2019-05-24",90
"Marwan","2019-05-25",103
"Marwan","2019-05-26",98
"Marwan","2019-05-27",124
"Marwan","2019-05-28",192
"Marwan","2019-05-29",111
"Marwan","2019-05-30",125
"Marwan","2019-05-31",96
"Marwan","2019-06-01",154
"Marwan","2019-06-02",166
"Marwan","2019-06-03",111
"Marwan","2019-06-04",201
"Marwan","2019-06-05",121
"Marwan","2019-06-06",93
"Marwan","2019-06-07",98
"Marwan","2019-06-08",109
"Marwan","2019-06-09",111
"Marwan","2019-06-10",104
"Marwan","2019-06-11",100
