"artista","fecha","visitas"
"Mikel Erentxun","2019-03-04",109
"Mikel Erentxun","2019-03-05",99
"Mikel Erentxun","2019-03-06",93
"Mikel Erentxun","2019-03-07",111
"Mikel Erentxun","2019-03-08",106
"Mikel Erentxun","2019-03-09",156
"Mikel Erentxun","2019-03-10",127
"Mikel Erentxun","2019-03-11",122
"Mikel Erentxun","2019-03-12",92
"Mikel Erentxun","2019-03-13",92
"Mikel Erentxun","2019-03-14",120
"Mikel Erentxun","2019-03-15",128
"Mikel Erentxun","2019-03-16",129
"Mikel Erentxun","2019-03-17",134
"Mikel Erentxun","2019-03-18",109
"Mikel Erentxun","2019-03-19",119
"Mikel Erentxun","2019-03-20",124
"Mikel Erentxun","2019-03-21",687
"Mikel Erentxun","2019-03-22",281
"Mikel Erentxun","2019-03-23",213
"Mikel Erentxun","2019-03-24",171
"Mikel Erentxun","2019-03-25",174
"Mikel Erentxun","2019-03-26",116
"Mikel Erentxun","2019-03-27",138
"Mikel Erentxun","2019-03-28",145
"Mikel Erentxun","2019-03-29",145
"Mikel Erentxun","2019-03-30",110
"Mikel Erentxun","2019-03-31",121
"Mikel Erentxun","2019-04-01",107
"Mikel Erentxun","2019-04-02",103
"Mikel Erentxun","2019-04-03",116
"Mikel Erentxun","2019-04-04",116
"Mikel Erentxun","2019-04-05",129
"Mikel Erentxun","2019-04-06",198
"Mikel Erentxun","2019-04-07",158
"Mikel Erentxun","2019-04-08",130
"Mikel Erentxun","2019-04-09",119
"Mikel Erentxun","2019-04-10",114
"Mikel Erentxun","2019-04-11",107
"Mikel Erentxun","2019-04-12",179
"Mikel Erentxun","2019-04-13",154
"Mikel Erentxun","2019-04-14",152
"Mikel Erentxun","2019-04-15",129
"Mikel Erentxun","2019-04-16",96
"Mikel Erentxun","2019-04-17",118
"Mikel Erentxun","2019-04-18",94
"Mikel Erentxun","2019-04-19",110
"Mikel Erentxun","2019-04-20",112
"Mikel Erentxun","2019-04-21",129
"Mikel Erentxun","2019-04-22",92
"Mikel Erentxun","2019-04-23",101
"Mikel Erentxun","2019-04-24",102
"Mikel Erentxun","2019-04-25",120
"Mikel Erentxun","2019-04-26",121
"Mikel Erentxun","2019-04-27",124
"Mikel Erentxun","2019-04-28",119
"Mikel Erentxun","2019-04-29",109
"Mikel Erentxun","2019-04-30",103
"Mikel Erentxun","2019-05-01",126
"Mikel Erentxun","2019-05-02",122
"Mikel Erentxun","2019-05-03",133
"Mikel Erentxun","2019-05-04",133
"Mikel Erentxun","2019-05-05",115
"Mikel Erentxun","2019-05-06",235
"Mikel Erentxun","2019-05-07",1745
"Mikel Erentxun","2019-05-08",381
"Mikel Erentxun","2019-05-09",465
"Mikel Erentxun","2019-05-10",531
"Mikel Erentxun","2019-05-11",810
"Mikel Erentxun","2019-05-12",289
"Mikel Erentxun","2019-05-13",510
"Mikel Erentxun","2019-05-14",242
"Mikel Erentxun","2019-05-15",222
"Mikel Erentxun","2019-05-16",239
"Mikel Erentxun","2019-05-17",299
"Mikel Erentxun","2019-05-18",210
"Mikel Erentxun","2019-05-19",173
"Mikel Erentxun","2019-05-20",203
"Mikel Erentxun","2019-05-21",314
"Mikel Erentxun","2019-05-22",192
"Mikel Erentxun","2019-05-23",175
"Mikel Erentxun","2019-05-24",217
"Mikel Erentxun","2019-05-25",370
"Mikel Erentxun","2019-05-26",227
"Mikel Erentxun","2019-05-27",171
"Mikel Erentxun","2019-05-28",196
"Mikel Erentxun","2019-05-29",146
"Mikel Erentxun","2019-05-30",164
"Mikel Erentxun","2019-05-31",423
"Mikel Erentxun","2019-06-01",203
"Mikel Erentxun","2019-06-02",156
"Mikel Erentxun","2019-06-03",150
"Mikel Erentxun","2019-06-04",211
"Mikel Erentxun","2019-06-05",159
"Mikel Erentxun","2019-06-06",260
"Mikel Erentxun","2019-06-07",295
"Mikel Erentxun","2019-06-08",204
"Mikel Erentxun","2019-06-09",157
"Mikel Erentxun","2019-06-10",119
"Mikel Erentxun","2019-06-11",209
