"artista","fecha","visitas"
"Nacho Vegas","2019-03-04",182
"Nacho Vegas","2019-03-05",123
"Nacho Vegas","2019-03-06",134
"Nacho Vegas","2019-03-07",132
"Nacho Vegas","2019-03-08",155
"Nacho Vegas","2019-03-09",1499
"Nacho Vegas","2019-03-10",416
"Nacho Vegas","2019-03-11",160
"Nacho Vegas","2019-03-12",163
"Nacho Vegas","2019-03-13",124
"Nacho Vegas","2019-03-14",124
"Nacho Vegas","2019-03-15",132
"Nacho Vegas","2019-03-16",290
"Nacho Vegas","2019-03-17",205
"Nacho Vegas","2019-03-18",127
"Nacho Vegas","2019-03-19",123
"Nacho Vegas","2019-03-20",144
"Nacho Vegas","2019-03-21",143
"Nacho Vegas","2019-03-22",142
"Nacho Vegas","2019-03-23",135
"Nacho Vegas","2019-03-24",135
"Nacho Vegas","2019-03-25",101
"Nacho Vegas","2019-03-26",132
"Nacho Vegas","2019-03-27",136
"Nacho Vegas","2019-03-28",136
"Nacho Vegas","2019-03-29",132
"Nacho Vegas","2019-03-30",142
"Nacho Vegas","2019-03-31",135
"Nacho Vegas","2019-04-01",153
"Nacho Vegas","2019-04-02",136
"Nacho Vegas","2019-04-03",147
"Nacho Vegas","2019-04-04",129
"Nacho Vegas","2019-04-05",141
"Nacho Vegas","2019-04-06",125
"Nacho Vegas","2019-04-07",135
"Nacho Vegas","2019-04-08",102
"Nacho Vegas","2019-04-09",296
"Nacho Vegas","2019-04-10",182
"Nacho Vegas","2019-04-11",110
"Nacho Vegas","2019-04-12",164
"Nacho Vegas","2019-04-13",113
"Nacho Vegas","2019-04-14",117
"Nacho Vegas","2019-04-15",76
"Nacho Vegas","2019-04-16",141
"Nacho Vegas","2019-04-17",110
"Nacho Vegas","2019-04-18",108
"Nacho Vegas","2019-04-19",118
"Nacho Vegas","2019-04-20",103
"Nacho Vegas","2019-04-21",173
"Nacho Vegas","2019-04-22",175
"Nacho Vegas","2019-04-23",113
"Nacho Vegas","2019-04-24",133
"Nacho Vegas","2019-04-25",149
"Nacho Vegas","2019-04-26",200
"Nacho Vegas","2019-04-27",165
"Nacho Vegas","2019-04-28",157
"Nacho Vegas","2019-04-29",123
"Nacho Vegas","2019-04-30",116
"Nacho Vegas","2019-05-01",141
"Nacho Vegas","2019-05-02",148
"Nacho Vegas","2019-05-03",186
"Nacho Vegas","2019-05-04",193
"Nacho Vegas","2019-05-05",164
"Nacho Vegas","2019-05-06",107
"Nacho Vegas","2019-05-07",107
"Nacho Vegas","2019-05-08",134
"Nacho Vegas","2019-05-09",161
"Nacho Vegas","2019-05-10",248
"Nacho Vegas","2019-05-11",173
"Nacho Vegas","2019-05-12",303
"Nacho Vegas","2019-05-13",172
"Nacho Vegas","2019-05-14",147
"Nacho Vegas","2019-05-15",184
"Nacho Vegas","2019-05-16",263
"Nacho Vegas","2019-05-17",179
"Nacho Vegas","2019-05-18",128
"Nacho Vegas","2019-05-19",225
"Nacho Vegas","2019-05-20",123
"Nacho Vegas","2019-05-21",147
"Nacho Vegas","2019-05-22",142
"Nacho Vegas","2019-05-23",181
"Nacho Vegas","2019-05-24",152
"Nacho Vegas","2019-05-25",133
"Nacho Vegas","2019-05-26",115
"Nacho Vegas","2019-05-27",119
"Nacho Vegas","2019-05-28",158
"Nacho Vegas","2019-05-29",138
"Nacho Vegas","2019-05-30",126
"Nacho Vegas","2019-05-31",99
"Nacho Vegas","2019-06-01",99
"Nacho Vegas","2019-06-02",108
"Nacho Vegas","2019-06-03",93
"Nacho Vegas","2019-06-04",250
"Nacho Vegas","2019-06-05",139
"Nacho Vegas","2019-06-06",109
"Nacho Vegas","2019-06-07",420
"Nacho Vegas","2019-06-08",131
"Nacho Vegas","2019-06-09",147
"Nacho Vegas","2019-06-10",118
"Nacho Vegas","2019-06-11",123
