"artista","fecha","visitas"
"Ovidi Montllor","2019-03-04",56
"Ovidi Montllor","2019-03-05",40
"Ovidi Montllor","2019-03-06",42
"Ovidi Montllor","2019-03-07",35
"Ovidi Montllor","2019-03-08",27
"Ovidi Montllor","2019-03-09",33
"Ovidi Montllor","2019-03-10",290
"Ovidi Montllor","2019-03-11",117
"Ovidi Montllor","2019-03-12",67
"Ovidi Montllor","2019-03-13",56
"Ovidi Montllor","2019-03-14",38
"Ovidi Montllor","2019-03-15",39
"Ovidi Montllor","2019-03-16",29
"Ovidi Montllor","2019-03-17",48
"Ovidi Montllor","2019-03-18",42
"Ovidi Montllor","2019-03-19",36
"Ovidi Montllor","2019-03-20",31
"Ovidi Montllor","2019-03-21",37
"Ovidi Montllor","2019-03-22",45
"Ovidi Montllor","2019-03-23",44
"Ovidi Montllor","2019-03-24",32
"Ovidi Montllor","2019-03-25",34
"Ovidi Montllor","2019-03-26",37
"Ovidi Montllor","2019-03-27",55
"Ovidi Montllor","2019-03-28",51
"Ovidi Montllor","2019-03-29",40
"Ovidi Montllor","2019-03-30",40
"Ovidi Montllor","2019-03-31",45
"Ovidi Montllor","2019-04-01",24
"Ovidi Montllor","2019-04-02",30
"Ovidi Montllor","2019-04-03",29
"Ovidi Montllor","2019-04-04",41
"Ovidi Montllor","2019-04-05",43
"Ovidi Montllor","2019-04-06",21
"Ovidi Montllor","2019-04-07",29
"Ovidi Montllor","2019-04-08",37
"Ovidi Montllor","2019-04-09",46
"Ovidi Montllor","2019-04-10",47
"Ovidi Montllor","2019-04-11",39
"Ovidi Montllor","2019-04-12",48
"Ovidi Montllor","2019-04-13",57
"Ovidi Montllor","2019-04-14",47
"Ovidi Montllor","2019-04-15",39
"Ovidi Montllor","2019-04-16",39
"Ovidi Montllor","2019-04-17",40
"Ovidi Montllor","2019-04-18",37
"Ovidi Montllor","2019-04-19",56
"Ovidi Montllor","2019-04-20",68
"Ovidi Montllor","2019-04-21",112
"Ovidi Montllor","2019-04-22",57
"Ovidi Montllor","2019-04-23",53
"Ovidi Montllor","2019-04-24",47
"Ovidi Montllor","2019-04-25",56
"Ovidi Montllor","2019-04-26",44
"Ovidi Montllor","2019-04-27",54
"Ovidi Montllor","2019-04-28",41
"Ovidi Montllor","2019-04-29",39
"Ovidi Montllor","2019-04-30",32
"Ovidi Montllor","2019-05-01",31
"Ovidi Montllor","2019-05-02",38
"Ovidi Montllor","2019-05-03",48
"Ovidi Montllor","2019-05-04",58
"Ovidi Montllor","2019-05-05",49
"Ovidi Montllor","2019-05-06",44
"Ovidi Montllor","2019-05-07",38
"Ovidi Montllor","2019-05-08",44
"Ovidi Montllor","2019-05-09",36
"Ovidi Montllor","2019-05-10",66
"Ovidi Montllor","2019-05-11",39
"Ovidi Montllor","2019-05-12",30
"Ovidi Montllor","2019-05-13",54
"Ovidi Montllor","2019-05-14",43
"Ovidi Montllor","2019-05-15",34
"Ovidi Montllor","2019-05-16",36
"Ovidi Montllor","2019-05-17",48
"Ovidi Montllor","2019-05-18",32
"Ovidi Montllor","2019-05-19",42
"Ovidi Montllor","2019-05-20",28
"Ovidi Montllor","2019-05-21",46
"Ovidi Montllor","2019-05-22",45
"Ovidi Montllor","2019-05-23",30
"Ovidi Montllor","2019-05-24",24
"Ovidi Montllor","2019-05-25",20
"Ovidi Montllor","2019-05-26",25
"Ovidi Montllor","2019-05-27",24
"Ovidi Montllor","2019-05-28",30
"Ovidi Montllor","2019-05-29",31
"Ovidi Montllor","2019-05-30",34
"Ovidi Montllor","2019-05-31",51
"Ovidi Montllor","2019-06-01",43
"Ovidi Montllor","2019-06-02",36
"Ovidi Montllor","2019-06-03",36
"Ovidi Montllor","2019-06-04",140
"Ovidi Montllor","2019-06-05",59
"Ovidi Montllor","2019-06-06",36
"Ovidi Montllor","2019-06-07",39
"Ovidi Montllor","2019-06-08",71
"Ovidi Montllor","2019-06-09",49
"Ovidi Montllor","2019-06-10",40
"Ovidi Montllor","2019-06-11",43
