"artista","fecha","visitas"
"Pablo Guerrero","2019-03-04",16
"Pablo Guerrero","2019-03-05",18
"Pablo Guerrero","2019-03-06",21
"Pablo Guerrero","2019-03-07",13
"Pablo Guerrero","2019-03-08",11
"Pablo Guerrero","2019-03-09",20
"Pablo Guerrero","2019-03-10",35
"Pablo Guerrero","2019-03-11",10
"Pablo Guerrero","2019-03-12",14
"Pablo Guerrero","2019-03-13",15
"Pablo Guerrero","2019-03-14",21
"Pablo Guerrero","2019-03-15",24
"Pablo Guerrero","2019-03-16",34
"Pablo Guerrero","2019-03-17",31
"Pablo Guerrero","2019-03-18",26
"Pablo Guerrero","2019-03-19",15
"Pablo Guerrero","2019-03-20",26
"Pablo Guerrero","2019-03-21",32
"Pablo Guerrero","2019-03-22",36
"Pablo Guerrero","2019-03-23",21
"Pablo Guerrero","2019-03-24",24
"Pablo Guerrero","2019-03-25",23
"Pablo Guerrero","2019-03-26",26
"Pablo Guerrero","2019-03-27",23
"Pablo Guerrero","2019-03-28",23
"Pablo Guerrero","2019-03-29",22
"Pablo Guerrero","2019-03-30",16
"Pablo Guerrero","2019-03-31",22
"Pablo Guerrero","2019-04-01",24
"Pablo Guerrero","2019-04-02",19
"Pablo Guerrero","2019-04-03",20
"Pablo Guerrero","2019-04-04",20
"Pablo Guerrero","2019-04-05",33
"Pablo Guerrero","2019-04-06",16
"Pablo Guerrero","2019-04-07",24
"Pablo Guerrero","2019-04-08",24
"Pablo Guerrero","2019-04-09",18
"Pablo Guerrero","2019-04-10",26
"Pablo Guerrero","2019-04-11",36
"Pablo Guerrero","2019-04-12",13
"Pablo Guerrero","2019-04-13",26
"Pablo Guerrero","2019-04-14",32
"Pablo Guerrero","2019-04-15",16
"Pablo Guerrero","2019-04-16",17
"Pablo Guerrero","2019-04-17",18
"Pablo Guerrero","2019-04-18",20
"Pablo Guerrero","2019-04-19",24
"Pablo Guerrero","2019-04-20",15
"Pablo Guerrero","2019-04-21",22
"Pablo Guerrero","2019-04-22",19
"Pablo Guerrero","2019-04-23",22
"Pablo Guerrero","2019-04-24",25
"Pablo Guerrero","2019-04-25",24
"Pablo Guerrero","2019-04-26",23
"Pablo Guerrero","2019-04-27",22
"Pablo Guerrero","2019-04-28",29
"Pablo Guerrero","2019-04-29",8
"Pablo Guerrero","2019-04-30",14
"Pablo Guerrero","2019-05-01",24
"Pablo Guerrero","2019-05-02",11
"Pablo Guerrero","2019-05-03",23
"Pablo Guerrero","2019-05-04",17
"Pablo Guerrero","2019-05-05",13
"Pablo Guerrero","2019-05-06",21
"Pablo Guerrero","2019-05-07",16
"Pablo Guerrero","2019-05-08",25
"Pablo Guerrero","2019-05-09",27
"Pablo Guerrero","2019-05-10",22
"Pablo Guerrero","2019-05-11",7
"Pablo Guerrero","2019-05-12",10
"Pablo Guerrero","2019-05-13",22
"Pablo Guerrero","2019-05-14",11
"Pablo Guerrero","2019-05-15",13
"Pablo Guerrero","2019-05-16",31
"Pablo Guerrero","2019-05-17",16
"Pablo Guerrero","2019-05-18",18
"Pablo Guerrero","2019-05-19",16
"Pablo Guerrero","2019-05-20",14
"Pablo Guerrero","2019-05-21",22
"Pablo Guerrero","2019-05-22",28
"Pablo Guerrero","2019-05-23",13
"Pablo Guerrero","2019-05-24",17
"Pablo Guerrero","2019-05-25",16
"Pablo Guerrero","2019-05-26",21
"Pablo Guerrero","2019-05-27",17
"Pablo Guerrero","2019-05-28",19
"Pablo Guerrero","2019-05-29",16
"Pablo Guerrero","2019-05-30",13
"Pablo Guerrero","2019-05-31",24
"Pablo Guerrero","2019-06-01",10
"Pablo Guerrero","2019-06-02",24
"Pablo Guerrero","2019-06-03",19
"Pablo Guerrero","2019-06-04",30
"Pablo Guerrero","2019-06-05",16
"Pablo Guerrero","2019-06-06",22
"Pablo Guerrero","2019-06-07",11
"Pablo Guerrero","2019-06-08",15
"Pablo Guerrero","2019-06-09",18
"Pablo Guerrero","2019-06-10",15
"Pablo Guerrero","2019-06-11",17
