"artista","fecha","visitas"
"Pau Riba","2019-03-04",13
"Pau Riba","2019-03-05",13
"Pau Riba","2019-03-06",15
"Pau Riba","2019-03-07",15
"Pau Riba","2019-03-08",9
"Pau Riba","2019-03-09",19
"Pau Riba","2019-03-10",24
"Pau Riba","2019-03-11",14
"Pau Riba","2019-03-12",14
"Pau Riba","2019-03-13",10
"Pau Riba","2019-03-14",20
"Pau Riba","2019-03-15",15
"Pau Riba","2019-03-16",22
"Pau Riba","2019-03-17",15
"Pau Riba","2019-03-18",13
"Pau Riba","2019-03-19",21
"Pau Riba","2019-03-20",16
"Pau Riba","2019-03-21",20
"Pau Riba","2019-03-22",17
"Pau Riba","2019-03-23",67
"Pau Riba","2019-03-24",68
"Pau Riba","2019-03-25",41
"Pau Riba","2019-03-26",31
"Pau Riba","2019-03-27",52
"Pau Riba","2019-03-28",33
"Pau Riba","2019-03-29",35
"Pau Riba","2019-03-30",34
"Pau Riba","2019-03-31",23
"Pau Riba","2019-04-01",22
"Pau Riba","2019-04-02",16
"Pau Riba","2019-04-03",37
"Pau Riba","2019-04-04",26
"Pau Riba","2019-04-05",26
"Pau Riba","2019-04-06",20
"Pau Riba","2019-04-07",39
"Pau Riba","2019-04-08",33
"Pau Riba","2019-04-09",49
"Pau Riba","2019-04-10",39
"Pau Riba","2019-04-11",34
"Pau Riba","2019-04-12",104
"Pau Riba","2019-04-13",221
"Pau Riba","2019-04-14",42
"Pau Riba","2019-04-15",26
"Pau Riba","2019-04-16",26
"Pau Riba","2019-04-17",20
"Pau Riba","2019-04-18",18
"Pau Riba","2019-04-19",31
"Pau Riba","2019-04-20",16
"Pau Riba","2019-04-21",28
"Pau Riba","2019-04-22",33
"Pau Riba","2019-04-23",29
"Pau Riba","2019-04-24",12
"Pau Riba","2019-04-25",19
"Pau Riba","2019-04-26",23
"Pau Riba","2019-04-27",611
"Pau Riba","2019-04-28",135
"Pau Riba","2019-04-29",36
"Pau Riba","2019-04-30",30
"Pau Riba","2019-05-01",52
"Pau Riba","2019-05-02",30
"Pau Riba","2019-05-03",21
"Pau Riba","2019-05-04",23
"Pau Riba","2019-05-05",57
"Pau Riba","2019-05-06",20
"Pau Riba","2019-05-07",33
"Pau Riba","2019-05-08",42
"Pau Riba","2019-05-09",42
"Pau Riba","2019-05-10",20
"Pau Riba","2019-05-11",17
"Pau Riba","2019-05-12",19
"Pau Riba","2019-05-13",12
"Pau Riba","2019-05-14",23
"Pau Riba","2019-05-15",18
"Pau Riba","2019-05-16",23
"Pau Riba","2019-05-17",244
"Pau Riba","2019-05-18",61
"Pau Riba","2019-05-19",45
"Pau Riba","2019-05-20",27
"Pau Riba","2019-05-21",94
"Pau Riba","2019-05-22",24
"Pau Riba","2019-05-23",22
"Pau Riba","2019-05-24",15
"Pau Riba","2019-05-25",12
"Pau Riba","2019-05-26",20
"Pau Riba","2019-05-27",21
"Pau Riba","2019-05-28",24
"Pau Riba","2019-05-29",127
"Pau Riba","2019-05-30",115
"Pau Riba","2019-05-31",26
"Pau Riba","2019-06-01",41
"Pau Riba","2019-06-02",42
"Pau Riba","2019-06-03",41
"Pau Riba","2019-06-04",92
"Pau Riba","2019-06-05",34
"Pau Riba","2019-06-06",24
"Pau Riba","2019-06-07",18
"Pau Riba","2019-06-08",12
"Pau Riba","2019-06-09",9
"Pau Riba","2019-06-10",22
"Pau Riba","2019-06-11",23
