"artista","fecha","visitas"
"Rosana","2019-03-04",192
"Rosana","2019-03-05",175
"Rosana","2019-03-06",177
"Rosana","2019-03-07",188
"Rosana","2019-03-08",220
"Rosana","2019-03-09",189
"Rosana","2019-03-10",241
"Rosana","2019-03-11",166
"Rosana","2019-03-12",147
"Rosana","2019-03-13",918
"Rosana","2019-03-14",184
"Rosana","2019-03-15",207
"Rosana","2019-03-16",192
"Rosana","2019-03-17",516
"Rosana","2019-03-18",1347
"Rosana","2019-03-19",476
"Rosana","2019-03-20",314
"Rosana","2019-03-21",235
"Rosana","2019-03-22",233
"Rosana","2019-03-23",1240
"Rosana","2019-03-24",694
"Rosana","2019-03-25",250
"Rosana","2019-03-26",270
"Rosana","2019-03-27",181
"Rosana","2019-03-28",188
"Rosana","2019-03-29",208
"Rosana","2019-03-30",200
"Rosana","2019-03-31",199
"Rosana","2019-04-01",172
"Rosana","2019-04-02",168
"Rosana","2019-04-03",170
"Rosana","2019-04-04",201
"Rosana","2019-04-05",195
"Rosana","2019-04-06",243
"Rosana","2019-04-07",186
"Rosana","2019-04-08",203
"Rosana","2019-04-09",173
"Rosana","2019-04-10",141
"Rosana","2019-04-11",121
"Rosana","2019-04-12",193
"Rosana","2019-04-13",199
"Rosana","2019-04-14",266
"Rosana","2019-04-15",141
"Rosana","2019-04-16",151
"Rosana","2019-04-17",124
"Rosana","2019-04-18",172
"Rosana","2019-04-19",217
"Rosana","2019-04-20",227
"Rosana","2019-04-21",205
"Rosana","2019-04-22",171
"Rosana","2019-04-23",153
"Rosana","2019-04-24",234
"Rosana","2019-04-25",173
"Rosana","2019-04-26",165
"Rosana","2019-04-27",200
"Rosana","2019-04-28",196
"Rosana","2019-04-29",170
"Rosana","2019-04-30",216
"Rosana","2019-05-01",237
"Rosana","2019-05-02",180
"Rosana","2019-05-03",231
"Rosana","2019-05-04",218
"Rosana","2019-05-05",302
"Rosana","2019-05-06",170
"Rosana","2019-05-07",256
"Rosana","2019-05-08",232
"Rosana","2019-05-09",171
"Rosana","2019-05-10",186
"Rosana","2019-05-11",241
"Rosana","2019-05-12",252
"Rosana","2019-05-13",686
"Rosana","2019-05-14",427
"Rosana","2019-05-15",234
"Rosana","2019-05-16",285
"Rosana","2019-05-17",209
"Rosana","2019-05-18",206
"Rosana","2019-05-19",366
"Rosana","2019-05-20",202
"Rosana","2019-05-21",291
"Rosana","2019-05-22",243
"Rosana","2019-05-23",205
"Rosana","2019-05-24",160
"Rosana","2019-05-25",271
"Rosana","2019-05-26",212
"Rosana","2019-05-27",945
"Rosana","2019-05-28",1113
"Rosana","2019-05-29",1143
"Rosana","2019-05-30",704
"Rosana","2019-05-31",471
"Rosana","2019-06-01",618
"Rosana","2019-06-02",505
"Rosana","2019-06-03",313
"Rosana","2019-06-04",349
"Rosana","2019-06-05",247
"Rosana","2019-06-06",265
"Rosana","2019-06-07",249
"Rosana","2019-06-08",275
"Rosana","2019-06-09",302
"Rosana","2019-06-10",344
"Rosana","2019-06-11",247
