"artista","fecha","visitas"
"Tonino Carotone","2019-03-04",60
"Tonino Carotone","2019-03-05",41
"Tonino Carotone","2019-03-06",39
"Tonino Carotone","2019-03-07",45
"Tonino Carotone","2019-03-08",70
"Tonino Carotone","2019-03-09",54
"Tonino Carotone","2019-03-10",73
"Tonino Carotone","2019-03-11",31
"Tonino Carotone","2019-03-12",38
"Tonino Carotone","2019-03-13",40
"Tonino Carotone","2019-03-14",48
"Tonino Carotone","2019-03-15",51
"Tonino Carotone","2019-03-16",52
"Tonino Carotone","2019-03-17",78
"Tonino Carotone","2019-03-18",49
"Tonino Carotone","2019-03-19",43
"Tonino Carotone","2019-03-20",40
"Tonino Carotone","2019-03-21",37
"Tonino Carotone","2019-03-22",46
"Tonino Carotone","2019-03-23",79
"Tonino Carotone","2019-03-24",74
"Tonino Carotone","2019-03-25",53
"Tonino Carotone","2019-03-26",42
"Tonino Carotone","2019-03-27",46
"Tonino Carotone","2019-03-28",65
"Tonino Carotone","2019-03-29",55
"Tonino Carotone","2019-03-30",69
"Tonino Carotone","2019-03-31",72
"Tonino Carotone","2019-04-01",69
"Tonino Carotone","2019-04-02",42
"Tonino Carotone","2019-04-03",49
"Tonino Carotone","2019-04-04",70
"Tonino Carotone","2019-04-05",52
"Tonino Carotone","2019-04-06",86
"Tonino Carotone","2019-04-07",77
"Tonino Carotone","2019-04-08",44
"Tonino Carotone","2019-04-09",51
"Tonino Carotone","2019-04-10",48
"Tonino Carotone","2019-04-11",50
"Tonino Carotone","2019-04-12",107
"Tonino Carotone","2019-04-13",106
"Tonino Carotone","2019-04-14",107
"Tonino Carotone","2019-04-15",53
"Tonino Carotone","2019-04-16",52
"Tonino Carotone","2019-04-17",55
"Tonino Carotone","2019-04-18",61
"Tonino Carotone","2019-04-19",58
"Tonino Carotone","2019-04-20",59
"Tonino Carotone","2019-04-21",65
"Tonino Carotone","2019-04-22",60
"Tonino Carotone","2019-04-23",35
"Tonino Carotone","2019-04-24",37
"Tonino Carotone","2019-04-25",43
"Tonino Carotone","2019-04-26",52
"Tonino Carotone","2019-04-27",72
"Tonino Carotone","2019-04-28",44
"Tonino Carotone","2019-04-29",42
"Tonino Carotone","2019-04-30",45
"Tonino Carotone","2019-05-01",52
"Tonino Carotone","2019-05-02",57
"Tonino Carotone","2019-05-03",54
"Tonino Carotone","2019-05-04",85
"Tonino Carotone","2019-05-05",54
"Tonino Carotone","2019-05-06",47
"Tonino Carotone","2019-05-07",55
"Tonino Carotone","2019-05-08",44
"Tonino Carotone","2019-05-09",47
"Tonino Carotone","2019-05-10",64
"Tonino Carotone","2019-05-11",80
"Tonino Carotone","2019-05-12",59
"Tonino Carotone","2019-05-13",48
"Tonino Carotone","2019-05-14",33
"Tonino Carotone","2019-05-15",46
"Tonino Carotone","2019-05-16",47
"Tonino Carotone","2019-05-17",69
"Tonino Carotone","2019-05-18",62
"Tonino Carotone","2019-05-19",56
"Tonino Carotone","2019-05-20",49
"Tonino Carotone","2019-05-21",32
"Tonino Carotone","2019-05-22",56
"Tonino Carotone","2019-05-23",45
"Tonino Carotone","2019-05-24",64
"Tonino Carotone","2019-05-25",61
"Tonino Carotone","2019-05-26",44
"Tonino Carotone","2019-05-27",40
"Tonino Carotone","2019-05-28",45
"Tonino Carotone","2019-05-29",44
"Tonino Carotone","2019-05-30",53
"Tonino Carotone","2019-05-31",48
"Tonino Carotone","2019-06-01",43
"Tonino Carotone","2019-06-02",39
"Tonino Carotone","2019-06-03",34
"Tonino Carotone","2019-06-04",229
"Tonino Carotone","2019-06-05",57
"Tonino Carotone","2019-06-06",23
"Tonino Carotone","2019-06-07",50
"Tonino Carotone","2019-06-08",39
"Tonino Carotone","2019-06-09",45
"Tonino Carotone","2019-06-10",44
"Tonino Carotone","2019-06-11",35
