"artista","fecha","visitas"
"ToteKing","2019-03-04",87
"ToteKing","2019-03-05",50
"ToteKing","2019-03-06",56
"ToteKing","2019-03-07",44
"ToteKing","2019-03-08",66
"ToteKing","2019-03-09",88
"ToteKing","2019-03-10",69
"ToteKing","2019-03-11",67
"ToteKing","2019-03-12",73
"ToteKing","2019-03-13",82
"ToteKing","2019-03-14",108
"ToteKing","2019-03-15",96
"ToteKing","2019-03-16",81
"ToteKing","2019-03-17",93
"ToteKing","2019-03-18",67
"ToteKing","2019-03-19",70
"ToteKing","2019-03-20",77
"ToteKing","2019-03-21",78
"ToteKing","2019-03-22",79
"ToteKing","2019-03-23",87
"ToteKing","2019-03-24",69
"ToteKing","2019-03-25",62
"ToteKing","2019-03-26",74
"ToteKing","2019-03-27",72
"ToteKing","2019-03-28",124
"ToteKing","2019-03-29",75
"ToteKing","2019-03-30",89
"ToteKing","2019-03-31",62
"ToteKing","2019-04-01",69
"ToteKing","2019-04-02",89
"ToteKing","2019-04-03",78
"ToteKing","2019-04-04",85
"ToteKing","2019-04-05",96
"ToteKing","2019-04-06",88
"ToteKing","2019-04-07",65
"ToteKing","2019-04-08",92
"ToteKing","2019-04-09",90
"ToteKing","2019-04-10",83
"ToteKing","2019-04-11",64
"ToteKing","2019-04-12",84
"ToteKing","2019-04-13",105
"ToteKing","2019-04-14",93
"ToteKing","2019-04-15",69
"ToteKing","2019-04-16",88
"ToteKing","2019-04-17",84
"ToteKing","2019-04-18",78
"ToteKing","2019-04-19",99
"ToteKing","2019-04-20",46
"ToteKing","2019-04-21",56
"ToteKing","2019-04-22",72
"ToteKing","2019-04-23",54
"ToteKing","2019-04-24",65
"ToteKing","2019-04-25",88
"ToteKing","2019-04-26",51
"ToteKing","2019-04-27",44
"ToteKing","2019-04-28",62
"ToteKing","2019-04-29",42
"ToteKing","2019-04-30",58
"ToteKing","2019-05-01",60
"ToteKing","2019-05-02",85
"ToteKing","2019-05-03",115
"ToteKing","2019-05-04",76
"ToteKing","2019-05-05",65
"ToteKing","2019-05-06",69
"ToteKing","2019-05-07",66
"ToteKing","2019-05-08",63
"ToteKing","2019-05-09",79
"ToteKing","2019-05-10",59
"ToteKing","2019-05-11",53
"ToteKing","2019-05-12",67
"ToteKing","2019-05-13",63
"ToteKing","2019-05-14",49
"ToteKing","2019-05-15",88
"ToteKing","2019-05-16",81
"ToteKing","2019-05-17",60
"ToteKing","2019-05-18",76
"ToteKing","2019-05-19",62
"ToteKing","2019-05-20",51
"ToteKing","2019-05-21",85
"ToteKing","2019-05-22",68
"ToteKing","2019-05-23",90
"ToteKing","2019-05-24",87
"ToteKing","2019-05-25",182
"ToteKing","2019-05-26",179
"ToteKing","2019-05-27",73
"ToteKing","2019-05-28",57
"ToteKing","2019-05-29",74
"ToteKing","2019-05-30",81
"ToteKing","2019-05-31",66
"ToteKing","2019-06-01",71
"ToteKing","2019-06-02",64
"ToteKing","2019-06-03",54
"ToteKing","2019-06-04",64
"ToteKing","2019-06-05",49
"ToteKing","2019-06-06",52
"ToteKing","2019-06-07",54
"ToteKing","2019-06-08",47
"ToteKing","2019-06-09",58
"ToteKing","2019-06-10",62
"ToteKing","2019-06-11",59
