"artista","fecha","visitas"
"Ángel Stanich","2019-03-04",16
"Ángel Stanich","2019-03-05",26
"Ángel Stanich","2019-03-06",24
"Ángel Stanich","2019-03-07",25
"Ángel Stanich","2019-03-08",30
"Ángel Stanich","2019-03-09",21
"Ángel Stanich","2019-03-10",19
"Ángel Stanich","2019-03-11",20
"Ángel Stanich","2019-03-12",23
"Ángel Stanich","2019-03-13",24
"Ángel Stanich","2019-03-14",25
"Ángel Stanich","2019-03-15",20
"Ángel Stanich","2019-03-16",24
"Ángel Stanich","2019-03-17",16
"Ángel Stanich","2019-03-18",25
"Ángel Stanich","2019-03-19",60
"Ángel Stanich","2019-03-20",33
"Ángel Stanich","2019-03-21",44
"Ángel Stanich","2019-03-22",34
"Ángel Stanich","2019-03-23",30
"Ángel Stanich","2019-03-24",30
"Ángel Stanich","2019-03-25",28
"Ángel Stanich","2019-03-26",35
"Ángel Stanich","2019-03-27",38
"Ángel Stanich","2019-03-28",27
"Ángel Stanich","2019-03-29",36
"Ángel Stanich","2019-03-30",63
"Ángel Stanich","2019-03-31",41
"Ángel Stanich","2019-04-01",38
"Ángel Stanich","2019-04-02",43
"Ángel Stanich","2019-04-03",57
"Ángel Stanich","2019-04-04",33
"Ángel Stanich","2019-04-05",52
"Ángel Stanich","2019-04-06",58
"Ángel Stanich","2019-04-07",33
"Ángel Stanich","2019-04-08",29
"Ángel Stanich","2019-04-09",32
"Ángel Stanich","2019-04-10",23
"Ángel Stanich","2019-04-11",20
"Ángel Stanich","2019-04-12",48
"Ángel Stanich","2019-04-13",47
"Ángel Stanich","2019-04-14",25
"Ángel Stanich","2019-04-15",25
"Ángel Stanich","2019-04-16",23
"Ángel Stanich","2019-04-17",29
"Ángel Stanich","2019-04-18",34
"Ángel Stanich","2019-04-19",25
"Ángel Stanich","2019-04-20",27
"Ángel Stanich","2019-04-21",23
"Ángel Stanich","2019-04-22",16
"Ángel Stanich","2019-04-23",18
"Ángel Stanich","2019-04-24",19
"Ángel Stanich","2019-04-25",34
"Ángel Stanich","2019-04-26",15
"Ángel Stanich","2019-04-27",18
"Ángel Stanich","2019-04-28",19
"Ángel Stanich","2019-04-29",24
"Ángel Stanich","2019-04-30",24
"Ángel Stanich","2019-05-01",21
"Ángel Stanich","2019-05-02",30
"Ángel Stanich","2019-05-03",21
"Ángel Stanich","2019-05-04",21
"Ángel Stanich","2019-05-05",18
"Ángel Stanich","2019-05-06",32
"Ángel Stanich","2019-05-07",27
"Ángel Stanich","2019-05-08",25
"Ángel Stanich","2019-05-09",25
"Ángel Stanich","2019-05-10",30
"Ángel Stanich","2019-05-11",57
"Ángel Stanich","2019-05-12",51
"Ángel Stanich","2019-05-13",34
"Ángel Stanich","2019-05-14",36
"Ángel Stanich","2019-05-15",30
"Ángel Stanich","2019-05-16",34
"Ángel Stanich","2019-05-17",31
"Ángel Stanich","2019-05-18",24
"Ángel Stanich","2019-05-19",48
"Ángel Stanich","2019-05-20",36
"Ángel Stanich","2019-05-21",44
"Ángel Stanich","2019-05-22",35
"Ángel Stanich","2019-05-23",39
"Ángel Stanich","2019-05-24",53
"Ángel Stanich","2019-05-25",48
"Ángel Stanich","2019-05-26",31
"Ángel Stanich","2019-05-27",27
"Ángel Stanich","2019-05-28",37
"Ángel Stanich","2019-05-29",32
"Ángel Stanich","2019-05-30",31
"Ángel Stanich","2019-05-31",41
"Ángel Stanich","2019-06-01",24
"Ángel Stanich","2019-06-02",24
"Ángel Stanich","2019-06-03",27
"Ángel Stanich","2019-06-04",66
"Ángel Stanich","2019-06-05",31
"Ángel Stanich","2019-06-06",30
"Ángel Stanich","2019-06-07",23
"Ángel Stanich","2019-06-08",20
"Ángel Stanich","2019-06-09",28
"Ángel Stanich","2019-06-10",36
"Ángel Stanich","2019-06-11",29
