"artista","fecha","visitas"
"Joaquín Díaz González","2019-03-11",27
"Joaquín Díaz González","2019-03-12",31
"Joaquín Díaz González","2019-03-13",33
"Joaquín Díaz González","2019-03-14",23
"Joaquín Díaz González","2019-03-15",27
"Joaquín Díaz González","2019-03-16",36
"Joaquín Díaz González","2019-03-17",32
"Joaquín Díaz González","2019-03-18",32
"Joaquín Díaz González","2019-03-19",21
"Joaquín Díaz González","2019-03-20",31
"Joaquín Díaz González","2019-03-21",34
"Joaquín Díaz González","2019-03-22",21
"Joaquín Díaz González","2019-03-23",34
"Joaquín Díaz González","2019-03-24",23
"Joaquín Díaz González","2019-03-25",28
"Joaquín Díaz González","2019-03-26",30
"Joaquín Díaz González","2019-03-27",15
"Joaquín Díaz González","2019-03-28",33
"Joaquín Díaz González","2019-03-29",36
"Joaquín Díaz González","2019-03-30",13
"Joaquín Díaz González","2019-03-31",25
"Joaquín Díaz González","2019-04-01",25
"Joaquín Díaz González","2019-04-02",34
"Joaquín Díaz González","2019-04-03",19
"Joaquín Díaz González","2019-04-04",23
"Joaquín Díaz González","2019-04-05",27
"Joaquín Díaz González","2019-04-06",34
"Joaquín Díaz González","2019-04-07",35
"Joaquín Díaz González","2019-04-08",20
"Joaquín Díaz González","2019-04-09",28
"Joaquín Díaz González","2019-04-10",27
"Joaquín Díaz González","2019-04-11",29
"Joaquín Díaz González","2019-04-12",19
"Joaquín Díaz González","2019-04-13",22
"Joaquín Díaz González","2019-04-14",13
"Joaquín Díaz González","2019-04-15",19
"Joaquín Díaz González","2019-04-16",14
"Joaquín Díaz González","2019-04-17",20
"Joaquín Díaz González","2019-04-18",38
"Joaquín Díaz González","2019-04-19",36
"Joaquín Díaz González","2019-04-20",25
"Joaquín Díaz González","2019-04-21",34
"Joaquín Díaz González","2019-04-22",18
"Joaquín Díaz González","2019-04-23",29
"Joaquín Díaz González","2019-04-24",38
"Joaquín Díaz González","2019-04-25",30
"Joaquín Díaz González","2019-04-26",37
"Joaquín Díaz González","2019-04-27",36
"Joaquín Díaz González","2019-04-28",42
"Joaquín Díaz González","2019-04-29",31
"Joaquín Díaz González","2019-04-30",24
"Joaquín Díaz González","2019-05-01",36
"Joaquín Díaz González","2019-05-02",32
"Joaquín Díaz González","2019-05-03",37
"Joaquín Díaz González","2019-05-04",36
"Joaquín Díaz González","2019-05-05",163
"Joaquín Díaz González","2019-05-06",29
"Joaquín Díaz González","2019-05-07",25
"Joaquín Díaz González","2019-05-08",43
"Joaquín Díaz González","2019-05-09",36
"Joaquín Díaz González","2019-05-10",28
"Joaquín Díaz González","2019-05-11",22
"Joaquín Díaz González","2019-05-12",25
"Joaquín Díaz González","2019-05-13",30
"Joaquín Díaz González","2019-05-14",25
"Joaquín Díaz González","2019-05-15",32
"Joaquín Díaz González","2019-05-16",26
"Joaquín Díaz González","2019-05-17",22
"Joaquín Díaz González","2019-05-18",52
"Joaquín Díaz González","2019-05-19",26
"Joaquín Díaz González","2019-05-20",48
"Joaquín Díaz González","2019-05-21",38
"Joaquín Díaz González","2019-05-22",35
"Joaquín Díaz González","2019-05-23",47
"Joaquín Díaz González","2019-05-24",46
"Joaquín Díaz González","2019-05-25",23
"Joaquín Díaz González","2019-05-26",23
"Joaquín Díaz González","2019-05-27",20
"Joaquín Díaz González","2019-05-28",36
"Joaquín Díaz González","2019-05-29",23
"Joaquín Díaz González","2019-05-30",27
"Joaquín Díaz González","2019-05-31",18
"Joaquín Díaz González","2019-06-01",24
"Joaquín Díaz González","2019-06-02",14
"Joaquín Díaz González","2019-06-03",22
"Joaquín Díaz González","2019-06-04",23
"Joaquín Díaz González","2019-06-05",22
"Joaquín Díaz González","2019-06-06",17
"Joaquín Díaz González","2019-06-07",25
"Joaquín Díaz González","2019-06-08",24
"Joaquín Díaz González","2019-06-09",25
"Joaquín Díaz González","2019-06-10",18
"Joaquín Díaz González","2019-06-11",41
"Joaquín Díaz González","2019-06-12",23
"Joaquín Díaz González","2019-06-13",36
"Joaquín Díaz González","2019-06-14",33
"Joaquín Díaz González","2019-06-15",38
"Joaquín Díaz González","2019-06-16",44
"Joaquín Díaz González","2019-06-17",30
"Joaquín Díaz González","2019-06-18",37
