"artista","fecha","visitas"
"José Luis Perales","2019-03-11",455
"José Luis Perales","2019-03-12",425
"José Luis Perales","2019-03-13",484
"José Luis Perales","2019-03-14",486
"José Luis Perales","2019-03-15",405
"José Luis Perales","2019-03-16",478
"José Luis Perales","2019-03-17",578
"José Luis Perales","2019-03-18",529
"José Luis Perales","2019-03-19",481
"José Luis Perales","2019-03-20",504
"José Luis Perales","2019-03-21",849
"José Luis Perales","2019-03-22",541
"José Luis Perales","2019-03-23",551
"José Luis Perales","2019-03-24",576
"José Luis Perales","2019-03-25",485
"José Luis Perales","2019-03-26",447
"José Luis Perales","2019-03-27",561
"José Luis Perales","2019-03-28",465
"José Luis Perales","2019-03-29",448
"José Luis Perales","2019-03-30",495
"José Luis Perales","2019-03-31",559
"José Luis Perales","2019-04-01",463
"José Luis Perales","2019-04-02",401
"José Luis Perales","2019-04-03",489
"José Luis Perales","2019-04-04",541
"José Luis Perales","2019-04-05",677
"José Luis Perales","2019-04-06",638
"José Luis Perales","2019-04-07",694
"José Luis Perales","2019-04-08",473
"José Luis Perales","2019-04-09",484
"José Luis Perales","2019-04-10",420
"José Luis Perales","2019-04-11",483
"José Luis Perales","2019-04-12",406
"José Luis Perales","2019-04-13",557
"José Luis Perales","2019-04-14",573
"José Luis Perales","2019-04-15",390
"José Luis Perales","2019-04-16",399
"José Luis Perales","2019-04-17",407
"José Luis Perales","2019-04-18",460
"José Luis Perales","2019-04-19",519
"José Luis Perales","2019-04-20",473
"José Luis Perales","2019-04-21",664
"José Luis Perales","2019-04-22",420
"José Luis Perales","2019-04-23",410
"José Luis Perales","2019-04-24",434
"José Luis Perales","2019-04-25",461
"José Luis Perales","2019-04-26",491
"José Luis Perales","2019-04-27",585
"José Luis Perales","2019-04-28",652
"José Luis Perales","2019-04-29",548
"José Luis Perales","2019-04-30",442
"José Luis Perales","2019-05-01",526
"José Luis Perales","2019-05-02",566
"José Luis Perales","2019-05-03",524
"José Luis Perales","2019-05-04",602
"José Luis Perales","2019-05-05",653
"José Luis Perales","2019-05-06",467
"José Luis Perales","2019-05-07",561
"José Luis Perales","2019-05-08",440
"José Luis Perales","2019-05-09",434
"José Luis Perales","2019-05-10",538
"José Luis Perales","2019-05-11",550
"José Luis Perales","2019-05-12",630
"José Luis Perales","2019-05-13",453
"José Luis Perales","2019-05-14",458
"José Luis Perales","2019-05-15",696
"José Luis Perales","2019-05-16",580
"José Luis Perales","2019-05-17",571
"José Luis Perales","2019-05-18",577
"José Luis Perales","2019-05-19",741
"José Luis Perales","2019-05-20",481
"José Luis Perales","2019-05-21",569
"José Luis Perales","2019-05-22",523
"José Luis Perales","2019-05-23",551
"José Luis Perales","2019-05-24",535
"José Luis Perales","2019-05-25",544
"José Luis Perales","2019-05-26",1163
"José Luis Perales","2019-05-27",430
"José Luis Perales","2019-05-28",634
"José Luis Perales","2019-05-29",515
"José Luis Perales","2019-05-30",431
"José Luis Perales","2019-05-31",510
"José Luis Perales","2019-06-01",524
"José Luis Perales","2019-06-02",578
"José Luis Perales","2019-06-03",406
"José Luis Perales","2019-06-04",574
"José Luis Perales","2019-06-05",408
"José Luis Perales","2019-06-06",537
"José Luis Perales","2019-06-07",493
"José Luis Perales","2019-06-08",521
"José Luis Perales","2019-06-09",608
"José Luis Perales","2019-06-10",439
"José Luis Perales","2019-06-11",1111
"José Luis Perales","2019-06-12",564
"José Luis Perales","2019-06-13",431
"José Luis Perales","2019-06-14",444
"José Luis Perales","2019-06-15",444
"José Luis Perales","2019-06-16",537
"José Luis Perales","2019-06-17",411
"José Luis Perales","2019-06-18",455
