"artista","fecha","visitas"
"Luis Miguel","2019-03-11",8410
"Luis Miguel","2019-03-12",6353
"Luis Miguel","2019-03-13",6436
"Luis Miguel","2019-03-14",7886
"Luis Miguel","2019-03-15",7793
"Luis Miguel","2019-03-16",8530
"Luis Miguel","2019-03-17",10565
"Luis Miguel","2019-03-18",6329
"Luis Miguel","2019-03-19",5822
"Luis Miguel","2019-03-20",7441
"Luis Miguel","2019-03-21",8075
"Luis Miguel","2019-03-22",8239
"Luis Miguel","2019-03-23",6142
"Luis Miguel","2019-03-24",6203
"Luis Miguel","2019-03-25",5452
"Luis Miguel","2019-03-26",4394
"Luis Miguel","2019-03-27",4588
"Luis Miguel","2019-03-28",3960
"Luis Miguel","2019-03-29",3602
"Luis Miguel","2019-03-30",4927
"Luis Miguel","2019-03-31",5092
"Luis Miguel","2019-04-01",4490
"Luis Miguel","2019-04-02",3866
"Luis Miguel","2019-04-03",3109
"Luis Miguel","2019-04-04",3016
"Luis Miguel","2019-04-05",3665
"Luis Miguel","2019-04-06",3801
"Luis Miguel","2019-04-07",3998
"Luis Miguel","2019-04-08",3415
"Luis Miguel","2019-04-09",2987
"Luis Miguel","2019-04-10",2944
"Luis Miguel","2019-04-11",2864
"Luis Miguel","2019-04-12",2804
"Luis Miguel","2019-04-13",3370
"Luis Miguel","2019-04-14",4108
"Luis Miguel","2019-04-15",3697
"Luis Miguel","2019-04-16",5451
"Luis Miguel","2019-04-17",4823
"Luis Miguel","2019-04-18",5791
"Luis Miguel","2019-04-19",34318
"Luis Miguel","2019-04-20",23513
"Luis Miguel","2019-04-21",9032
"Luis Miguel","2019-04-22",4317
"Luis Miguel","2019-04-23",3452
"Luis Miguel","2019-04-24",3382
"Luis Miguel","2019-04-25",3361
"Luis Miguel","2019-04-26",3141
"Luis Miguel","2019-04-27",3835
"Luis Miguel","2019-04-28",3428
"Luis Miguel","2019-04-29",2794
"Luis Miguel","2019-04-30",2483
"Luis Miguel","2019-05-01",3002
"Luis Miguel","2019-05-02",2884
"Luis Miguel","2019-05-03",2519
"Luis Miguel","2019-05-04",2874
"Luis Miguel","2019-05-05",3939
"Luis Miguel","2019-05-06",2633
"Luis Miguel","2019-05-07",2307
"Luis Miguel","2019-05-08",2473
"Luis Miguel","2019-05-09",2814
"Luis Miguel","2019-05-10",2489
"Luis Miguel","2019-05-11",3006
"Luis Miguel","2019-05-12",3178
"Luis Miguel","2019-05-13",2653
"Luis Miguel","2019-05-14",2434
"Luis Miguel","2019-05-15",2538
"Luis Miguel","2019-05-16",2452
"Luis Miguel","2019-05-17",2467
"Luis Miguel","2019-05-18",2688
"Luis Miguel","2019-05-19",3154
"Luis Miguel","2019-05-20",2512
"Luis Miguel","2019-05-21",2427
"Luis Miguel","2019-05-22",2371
"Luis Miguel","2019-05-23",2367
"Luis Miguel","2019-05-24",2301
"Luis Miguel","2019-05-25",2551
"Luis Miguel","2019-05-26",2994
"Luis Miguel","2019-05-27",2642
"Luis Miguel","2019-05-28",2502
"Luis Miguel","2019-05-29",2513
"Luis Miguel","2019-05-30",2474
"Luis Miguel","2019-05-31",3118
"Luis Miguel","2019-06-01",2664
"Luis Miguel","2019-06-02",3036
"Luis Miguel","2019-06-03",2705
"Luis Miguel","2019-06-04",2391
"Luis Miguel","2019-06-05",2492
"Luis Miguel","2019-06-06",2513
"Luis Miguel","2019-06-07",2249
"Luis Miguel","2019-06-08",2672
"Luis Miguel","2019-06-09",3137
"Luis Miguel","2019-06-10",2731
"Luis Miguel","2019-06-11",3637
"Luis Miguel","2019-06-12",2565
"Luis Miguel","2019-06-13",2614
"Luis Miguel","2019-06-14",2565
"Luis Miguel","2019-06-15",2900
"Luis Miguel","2019-06-16",3345
"Luis Miguel","2019-06-17",3051
"Luis Miguel","2019-06-18",2718
