"artista","fecha","visitas"
"María Jesús Grados Ventura","2019-03-11",21
"María Jesús Grados Ventura","2019-03-12",80
"María Jesús Grados Ventura","2019-03-13",35
"María Jesús Grados Ventura","2019-03-14",12985
"María Jesús Grados Ventura","2019-03-15",286
"María Jesús Grados Ventura","2019-03-16",114
"María Jesús Grados Ventura","2019-03-17",75
"María Jesús Grados Ventura","2019-03-18",69
"María Jesús Grados Ventura","2019-03-19",44
"María Jesús Grados Ventura","2019-03-20",36
"María Jesús Grados Ventura","2019-03-21",48
"María Jesús Grados Ventura","2019-03-22",38
"María Jesús Grados Ventura","2019-03-23",53
"María Jesús Grados Ventura","2019-03-24",39
"María Jesús Grados Ventura","2019-03-25",23
"María Jesús Grados Ventura","2019-03-26",23
"María Jesús Grados Ventura","2019-03-27",51
"María Jesús Grados Ventura","2019-03-28",32
"María Jesús Grados Ventura","2019-03-29",58
"María Jesús Grados Ventura","2019-03-30",42
"María Jesús Grados Ventura","2019-03-31",59
"María Jesús Grados Ventura","2019-04-01",55
"María Jesús Grados Ventura","2019-04-02",92
"María Jesús Grados Ventura","2019-04-03",40
"María Jesús Grados Ventura","2019-04-04",276
"María Jesús Grados Ventura","2019-04-05",72
"María Jesús Grados Ventura","2019-04-06",63
"María Jesús Grados Ventura","2019-04-07",137
"María Jesús Grados Ventura","2019-04-08",36
"María Jesús Grados Ventura","2019-04-09",38
"María Jesús Grados Ventura","2019-04-10",38
"María Jesús Grados Ventura","2019-04-11",45
"María Jesús Grados Ventura","2019-04-12",53
"María Jesús Grados Ventura","2019-04-13",36
"María Jesús Grados Ventura","2019-04-14",58
"María Jesús Grados Ventura","2019-04-15",68
"María Jesús Grados Ventura","2019-04-16",31
"María Jesús Grados Ventura","2019-04-17",36
"María Jesús Grados Ventura","2019-04-18",54
"María Jesús Grados Ventura","2019-04-19",47
"María Jesús Grados Ventura","2019-04-20",40
"María Jesús Grados Ventura","2019-04-21",48
"María Jesús Grados Ventura","2019-04-22",36
"María Jesús Grados Ventura","2019-04-23",29
"María Jesús Grados Ventura","2019-04-24",30
"María Jesús Grados Ventura","2019-04-25",41
"María Jesús Grados Ventura","2019-04-26",42
"María Jesús Grados Ventura","2019-04-27",179
"María Jesús Grados Ventura","2019-04-28",26
"María Jesús Grados Ventura","2019-04-29",24
"María Jesús Grados Ventura","2019-04-30",41
"María Jesús Grados Ventura","2019-05-01",46
"María Jesús Grados Ventura","2019-05-02",24
"María Jesús Grados Ventura","2019-05-03",32
"María Jesús Grados Ventura","2019-05-04",48
"María Jesús Grados Ventura","2019-05-05",49
"María Jesús Grados Ventura","2019-05-06",39
"María Jesús Grados Ventura","2019-05-07",27
"María Jesús Grados Ventura","2019-05-08",23
"María Jesús Grados Ventura","2019-05-09",14
"María Jesús Grados Ventura","2019-05-10",22
"María Jesús Grados Ventura","2019-05-11",39
"María Jesús Grados Ventura","2019-05-12",141
"María Jesús Grados Ventura","2019-05-13",36
"María Jesús Grados Ventura","2019-05-14",36
"María Jesús Grados Ventura","2019-05-15",34
"María Jesús Grados Ventura","2019-05-16",25
"María Jesús Grados Ventura","2019-05-17",36
"María Jesús Grados Ventura","2019-05-18",124
"María Jesús Grados Ventura","2019-05-19",44
"María Jesús Grados Ventura","2019-05-20",24
"María Jesús Grados Ventura","2019-05-21",21
"María Jesús Grados Ventura","2019-05-22",29
"María Jesús Grados Ventura","2019-05-23",24
"María Jesús Grados Ventura","2019-05-24",27
"María Jesús Grados Ventura","2019-05-25",53
"María Jesús Grados Ventura","2019-05-26",38
"María Jesús Grados Ventura","2019-05-27",33
"María Jesús Grados Ventura","2019-05-28",45
"María Jesús Grados Ventura","2019-05-29",35
"María Jesús Grados Ventura","2019-05-30",21
"María Jesús Grados Ventura","2019-05-31",27
"María Jesús Grados Ventura","2019-06-01",47
"María Jesús Grados Ventura","2019-06-02",26
"María Jesús Grados Ventura","2019-06-03",75
"María Jesús Grados Ventura","2019-06-04",20
"María Jesús Grados Ventura","2019-06-05",29
"María Jesús Grados Ventura","2019-06-06",33
"María Jesús Grados Ventura","2019-06-07",31
"María Jesús Grados Ventura","2019-06-08",48
"María Jesús Grados Ventura","2019-06-09",48
"María Jesús Grados Ventura","2019-06-10",48
"María Jesús Grados Ventura","2019-06-11",118
"María Jesús Grados Ventura","2019-06-12",51
"María Jesús Grados Ventura","2019-06-13",22
"María Jesús Grados Ventura","2019-06-14",36
"María Jesús Grados Ventura","2019-06-15",31
"María Jesús Grados Ventura","2019-06-16",34
"María Jesús Grados Ventura","2019-06-17",25
"María Jesús Grados Ventura","2019-06-18",41
