"artista","fecha","visitas"
"Pedro Fernández","2019-03-11",553
"Pedro Fernández","2019-03-12",492
"Pedro Fernández","2019-03-13",568
"Pedro Fernández","2019-03-14",595
"Pedro Fernández","2019-03-15",696
"Pedro Fernández","2019-03-16",786
"Pedro Fernández","2019-03-17",1441
"Pedro Fernández","2019-03-18",1398
"Pedro Fernández","2019-03-19",665
"Pedro Fernández","2019-03-20",624
"Pedro Fernández","2019-03-21",682
"Pedro Fernández","2019-03-22",662
"Pedro Fernández","2019-03-23",853
"Pedro Fernández","2019-03-24",1200
"Pedro Fernández","2019-03-25",675
"Pedro Fernández","2019-03-26",574
"Pedro Fernández","2019-03-27",480
"Pedro Fernández","2019-03-28",484
"Pedro Fernández","2019-03-29",456
"Pedro Fernández","2019-03-30",533
"Pedro Fernández","2019-03-31",1444
"Pedro Fernández","2019-04-01",500
"Pedro Fernández","2019-04-02",426
"Pedro Fernández","2019-04-03",463
"Pedro Fernández","2019-04-04",430
"Pedro Fernández","2019-04-05",509
"Pedro Fernández","2019-04-06",750
"Pedro Fernández","2019-04-07",1187
"Pedro Fernández","2019-04-08",627
"Pedro Fernández","2019-04-09",461
"Pedro Fernández","2019-04-10",414
"Pedro Fernández","2019-04-11",528
"Pedro Fernández","2019-04-12",445
"Pedro Fernández","2019-04-13",483
"Pedro Fernández","2019-04-14",1489
"Pedro Fernández","2019-04-15",618
"Pedro Fernández","2019-04-16",415
"Pedro Fernández","2019-04-17",351
"Pedro Fernández","2019-04-18",450
"Pedro Fernández","2019-04-19",430
"Pedro Fernández","2019-04-20",460
"Pedro Fernández","2019-04-21",515
"Pedro Fernández","2019-04-22",496
"Pedro Fernández","2019-04-23",758
"Pedro Fernández","2019-04-24",608
"Pedro Fernández","2019-04-25",580
"Pedro Fernández","2019-04-26",647
"Pedro Fernández","2019-04-27",1047
"Pedro Fernández","2019-04-28",2393
"Pedro Fernández","2019-04-29",554
"Pedro Fernández","2019-04-30",385
"Pedro Fernández","2019-05-01",424
"Pedro Fernández","2019-05-02",389
"Pedro Fernández","2019-05-03",379
"Pedro Fernández","2019-05-04",435
"Pedro Fernández","2019-05-05",1120
"Pedro Fernández","2019-05-06",489
"Pedro Fernández","2019-05-07",379
"Pedro Fernández","2019-05-08",418
"Pedro Fernández","2019-05-09",500
"Pedro Fernández","2019-05-10",859
"Pedro Fernández","2019-05-11",1146
"Pedro Fernández","2019-05-12",803
"Pedro Fernández","2019-05-13",611
"Pedro Fernández","2019-05-14",408
"Pedro Fernández","2019-05-15",462
"Pedro Fernández","2019-05-16",390
"Pedro Fernández","2019-05-17",556
"Pedro Fernández","2019-05-18",494
"Pedro Fernández","2019-05-19",1378
"Pedro Fernández","2019-05-20",622
"Pedro Fernández","2019-05-21",495
"Pedro Fernández","2019-05-22",368
"Pedro Fernández","2019-05-23",443
"Pedro Fernández","2019-05-24",393
"Pedro Fernández","2019-05-25",477
"Pedro Fernández","2019-05-26",894
"Pedro Fernández","2019-05-27",471
"Pedro Fernández","2019-05-28",434
"Pedro Fernández","2019-05-29",483
"Pedro Fernández","2019-05-30",471
"Pedro Fernández","2019-05-31",395
"Pedro Fernández","2019-06-01",503
"Pedro Fernández","2019-06-02",1125
"Pedro Fernández","2019-06-03",489
"Pedro Fernández","2019-06-04",348
"Pedro Fernández","2019-06-05",371
"Pedro Fernández","2019-06-06",408
"Pedro Fernández","2019-06-07",415
"Pedro Fernández","2019-06-08",432
"Pedro Fernández","2019-06-09",1118
"Pedro Fernández","2019-06-10",472
"Pedro Fernández","2019-06-11",427
"Pedro Fernández","2019-06-12",501
"Pedro Fernández","2019-06-13",428
"Pedro Fernández","2019-06-14",510
"Pedro Fernández","2019-06-15",540
"Pedro Fernández","2019-06-16",759
"Pedro Fernández","2019-06-17",649
"Pedro Fernández","2019-06-18",514
