"artista","fecha","visitas"
"Regaliz","2019-03-11",19
"Regaliz","2019-03-12",26
"Regaliz","2019-03-13",27
"Regaliz","2019-03-14",21
"Regaliz","2019-03-15",14
"Regaliz","2019-03-16",5
"Regaliz","2019-03-17",22
"Regaliz","2019-03-18",18
"Regaliz","2019-03-19",13
"Regaliz","2019-03-20",10
"Regaliz","2019-03-21",11
"Regaliz","2019-03-22",13
"Regaliz","2019-03-23",10
"Regaliz","2019-03-24",15
"Regaliz","2019-03-25",12
"Regaliz","2019-03-26",9
"Regaliz","2019-03-27",3
"Regaliz","2019-03-28",4
"Regaliz","2019-03-29",6
"Regaliz","2019-03-30",14
"Regaliz","2019-03-31",12
"Regaliz","2019-04-01",8
"Regaliz","2019-04-02",11
"Regaliz","2019-04-03",11
"Regaliz","2019-04-04",7
"Regaliz","2019-04-05",23
"Regaliz","2019-04-06",20
"Regaliz","2019-04-07",18
"Regaliz","2019-04-08",8
"Regaliz","2019-04-09",12
"Regaliz","2019-04-10",11
"Regaliz","2019-04-11",8
"Regaliz","2019-04-12",10
"Regaliz","2019-04-13",18
"Regaliz","2019-04-14",14
"Regaliz","2019-04-15",6
"Regaliz","2019-04-16",7
"Regaliz","2019-04-17",7
"Regaliz","2019-04-18",10
"Regaliz","2019-04-19",10
"Regaliz","2019-04-20",18
"Regaliz","2019-04-21",15
"Regaliz","2019-04-22",8
"Regaliz","2019-04-23",12
"Regaliz","2019-04-24",11
"Regaliz","2019-04-25",7
"Regaliz","2019-04-26",15
"Regaliz","2019-04-27",13
"Regaliz","2019-04-28",8
"Regaliz","2019-04-29",5
"Regaliz","2019-04-30",7
"Regaliz","2019-05-01",18
"Regaliz","2019-05-02",15
"Regaliz","2019-05-03",9
"Regaliz","2019-05-04",14
"Regaliz","2019-05-05",12
"Regaliz","2019-05-06",12
"Regaliz","2019-05-07",7
"Regaliz","2019-05-08",12
"Regaliz","2019-05-09",1207
"Regaliz","2019-05-10",195
"Regaliz","2019-05-11",80
"Regaliz","2019-05-12",34
"Regaliz","2019-05-13",31
"Regaliz","2019-05-14",13
"Regaliz","2019-05-15",13
"Regaliz","2019-05-16",20
"Regaliz","2019-05-17",19
"Regaliz","2019-05-18",23
"Regaliz","2019-05-19",18
"Regaliz","2019-05-20",12
"Regaliz","2019-05-21",12
"Regaliz","2019-05-22",11
"Regaliz","2019-05-23",9
"Regaliz","2019-05-24",9
"Regaliz","2019-05-25",12
"Regaliz","2019-05-26",14
"Regaliz","2019-05-27",12
"Regaliz","2019-05-28",13
"Regaliz","2019-05-29",19
"Regaliz","2019-05-30",12
"Regaliz","2019-05-31",11
"Regaliz","2019-06-01",9
"Regaliz","2019-06-02",13
"Regaliz","2019-06-03",15
"Regaliz","2019-06-04",7
"Regaliz","2019-06-05",8
"Regaliz","2019-06-06",10
"Regaliz","2019-06-07",9
"Regaliz","2019-06-08",15
"Regaliz","2019-06-09",8
"Regaliz","2019-06-10",18
"Regaliz","2019-06-11",105
"Regaliz","2019-06-12",34
"Regaliz","2019-06-13",22
"Regaliz","2019-06-14",19
"Regaliz","2019-06-15",19
"Regaliz","2019-06-16",18
"Regaliz","2019-06-17",14
"Regaliz","2019-06-18",85
