"artista","fecha","visitas"
"The Jackson 5","2019-03-11",515
"The Jackson 5","2019-03-12",519
"The Jackson 5","2019-03-13",500
"The Jackson 5","2019-03-14",537
"The Jackson 5","2019-03-15",519
"The Jackson 5","2019-03-16",511
"The Jackson 5","2019-03-17",614
"The Jackson 5","2019-03-18",623
"The Jackson 5","2019-03-19",662
"The Jackson 5","2019-03-20",613
"The Jackson 5","2019-03-21",568
"The Jackson 5","2019-03-22",599
"The Jackson 5","2019-03-23",545
"The Jackson 5","2019-03-24",613
"The Jackson 5","2019-03-25",498
"The Jackson 5","2019-03-26",420
"The Jackson 5","2019-03-27",421
"The Jackson 5","2019-03-28",448
"The Jackson 5","2019-03-29",372
"The Jackson 5","2019-03-30",381
"The Jackson 5","2019-03-31",367
"The Jackson 5","2019-04-01",323
"The Jackson 5","2019-04-02",373
"The Jackson 5","2019-04-03",448
"The Jackson 5","2019-04-04",388
"The Jackson 5","2019-04-05",299
"The Jackson 5","2019-04-06",356
"The Jackson 5","2019-04-07",368
"The Jackson 5","2019-04-08",374
"The Jackson 5","2019-04-09",393
"The Jackson 5","2019-04-10",353
"The Jackson 5","2019-04-11",294
"The Jackson 5","2019-04-12",299
"The Jackson 5","2019-04-13",333
"The Jackson 5","2019-04-14",747
"The Jackson 5","2019-04-15",288
"The Jackson 5","2019-04-16",230
"The Jackson 5","2019-04-17",260
"The Jackson 5","2019-04-18",249
"The Jackson 5","2019-04-19",328
"The Jackson 5","2019-04-20",274
"The Jackson 5","2019-04-21",310
"The Jackson 5","2019-04-22",254
"The Jackson 5","2019-04-23",268
"The Jackson 5","2019-04-24",296
"The Jackson 5","2019-04-25",270
"The Jackson 5","2019-04-26",241
"The Jackson 5","2019-04-27",294
"The Jackson 5","2019-04-28",272
"The Jackson 5","2019-04-29",266
"The Jackson 5","2019-04-30",242
"The Jackson 5","2019-05-01",261
"The Jackson 5","2019-05-02",330
"The Jackson 5","2019-05-03",255
"The Jackson 5","2019-05-04",323
"The Jackson 5","2019-05-05",313
"The Jackson 5","2019-05-06",296
"The Jackson 5","2019-05-07",275
"The Jackson 5","2019-05-08",275
"The Jackson 5","2019-05-09",273
"The Jackson 5","2019-05-10",247
"The Jackson 5","2019-05-11",275
"The Jackson 5","2019-05-12",320
"The Jackson 5","2019-05-13",272
"The Jackson 5","2019-05-14",244
"The Jackson 5","2019-05-15",270
"The Jackson 5","2019-05-16",252
"The Jackson 5","2019-05-17",257
"The Jackson 5","2019-05-18",279
"The Jackson 5","2019-05-19",293
"The Jackson 5","2019-05-20",291
"The Jackson 5","2019-05-21",220
"The Jackson 5","2019-05-22",255
"The Jackson 5","2019-05-23",250
"The Jackson 5","2019-05-24",259
"The Jackson 5","2019-05-25",285
"The Jackson 5","2019-05-26",276
"The Jackson 5","2019-05-27",255
"The Jackson 5","2019-05-28",263
"The Jackson 5","2019-05-29",268
"The Jackson 5","2019-05-30",280
"The Jackson 5","2019-05-31",245
"The Jackson 5","2019-06-01",200
"The Jackson 5","2019-06-02",259
"The Jackson 5","2019-06-03",240
"The Jackson 5","2019-06-04",272
"The Jackson 5","2019-06-05",250
"The Jackson 5","2019-06-06",288
"The Jackson 5","2019-06-07",327
"The Jackson 5","2019-06-08",250
"The Jackson 5","2019-06-09",328
"The Jackson 5","2019-06-10",262
"The Jackson 5","2019-06-11",266
"The Jackson 5","2019-06-12",242
"The Jackson 5","2019-06-13",244
"The Jackson 5","2019-06-14",238
"The Jackson 5","2019-06-15",211
"The Jackson 5","2019-06-16",268
"The Jackson 5","2019-06-17",268
"The Jackson 5","2019-06-18",250
