"artista","fecha","visitas"
"Alaska","2019-03-18",1182
"Alaska","2019-03-19",876
"Alaska","2019-03-20",1221
"Alaska","2019-03-21",875
"Alaska","2019-03-22",649
"Alaska","2019-03-23",740
"Alaska","2019-03-24",808
"Alaska","2019-03-25",643
"Alaska","2019-03-26",559
"Alaska","2019-03-27",475
"Alaska","2019-03-28",533
"Alaska","2019-03-29",618
"Alaska","2019-03-30",666
"Alaska","2019-03-31",1303
"Alaska","2019-04-01",497
"Alaska","2019-04-02",447
"Alaska","2019-04-03",822
"Alaska","2019-04-04",526
"Alaska","2019-04-05",623
"Alaska","2019-04-06",1533
"Alaska","2019-04-07",679
"Alaska","2019-04-08",519
"Alaska","2019-04-09",487
"Alaska","2019-04-10",462
"Alaska","2019-04-11",522
"Alaska","2019-04-12",464
"Alaska","2019-04-13",694
"Alaska","2019-04-14",820
"Alaska","2019-04-15",603
"Alaska","2019-04-16",383
"Alaska","2019-04-17",504
"Alaska","2019-04-18",556
"Alaska","2019-04-19",671
"Alaska","2019-04-20",7694
"Alaska","2019-04-21",1553
"Alaska","2019-04-22",2242
"Alaska","2019-04-23",1361
"Alaska","2019-04-24",570
"Alaska","2019-04-25",569
"Alaska","2019-04-26",517
"Alaska","2019-04-27",906
"Alaska","2019-04-28",586
"Alaska","2019-04-29",478
"Alaska","2019-04-30",468
"Alaska","2019-05-01",476
"Alaska","2019-05-02",453
"Alaska","2019-05-03",480
"Alaska","2019-05-04",679
"Alaska","2019-05-05",683
"Alaska","2019-05-06",563
"Alaska","2019-05-07",497
"Alaska","2019-05-08",574
"Alaska","2019-05-09",584
"Alaska","2019-05-10",499
"Alaska","2019-05-11",610
"Alaska","2019-05-12",672
"Alaska","2019-05-13",506
"Alaska","2019-05-14",455
"Alaska","2019-05-15",689
"Alaska","2019-05-16",530
"Alaska","2019-05-17",626
"Alaska","2019-05-18",707
"Alaska","2019-05-19",632
"Alaska","2019-05-20",460
"Alaska","2019-05-21",472
"Alaska","2019-05-22",394
"Alaska","2019-05-23",523
"Alaska","2019-05-24",581
"Alaska","2019-05-25",694
"Alaska","2019-05-26",640
"Alaska","2019-05-27",1133
"Alaska","2019-05-28",683
"Alaska","2019-05-29",577
"Alaska","2019-05-30",666
"Alaska","2019-05-31",592
"Alaska","2019-06-01",2686
"Alaska","2019-06-02",890
"Alaska","2019-06-03",634
"Alaska","2019-06-04",567
"Alaska","2019-06-05",516
"Alaska","2019-06-06",562
"Alaska","2019-06-07",595
"Alaska","2019-06-08",1099
"Alaska","2019-06-09",654
"Alaska","2019-06-10",841
"Alaska","2019-06-11",605
"Alaska","2019-06-12",612
"Alaska","2019-06-13",1501
"Alaska","2019-06-14",859
"Alaska","2019-06-15",698
"Alaska","2019-06-16",701
"Alaska","2019-06-17",554
"Alaska","2019-06-18",1093
"Alaska","2019-06-19",550
"Alaska","2019-06-20",515
"Alaska","2019-06-21",821
"Alaska","2019-06-22",766
"Alaska","2019-06-23",1006
"Alaska","2019-06-24",782
"Alaska","2019-06-25",967
