"artista","fecha","visitas"
"Danza Invisible","2019-03-18",56
"Danza Invisible","2019-03-19",52
"Danza Invisible","2019-03-20",48
"Danza Invisible","2019-03-21",107
"Danza Invisible","2019-03-22",72
"Danza Invisible","2019-03-23",80
"Danza Invisible","2019-03-24",79
"Danza Invisible","2019-03-25",44
"Danza Invisible","2019-03-26",64
"Danza Invisible","2019-03-27",44
"Danza Invisible","2019-03-28",68
"Danza Invisible","2019-03-29",73
"Danza Invisible","2019-03-30",61
"Danza Invisible","2019-03-31",44
"Danza Invisible","2019-04-01",42
"Danza Invisible","2019-04-02",64
"Danza Invisible","2019-04-03",39
"Danza Invisible","2019-04-04",63
"Danza Invisible","2019-04-05",50
"Danza Invisible","2019-04-06",62
"Danza Invisible","2019-04-07",53
"Danza Invisible","2019-04-08",52
"Danza Invisible","2019-04-09",41
"Danza Invisible","2019-04-10",68
"Danza Invisible","2019-04-11",55
"Danza Invisible","2019-04-12",65
"Danza Invisible","2019-04-13",75
"Danza Invisible","2019-04-14",80
"Danza Invisible","2019-04-15",70
"Danza Invisible","2019-04-16",64
"Danza Invisible","2019-04-17",56
"Danza Invisible","2019-04-18",60
"Danza Invisible","2019-04-19",59
"Danza Invisible","2019-04-20",85
"Danza Invisible","2019-04-21",70
"Danza Invisible","2019-04-22",44
"Danza Invisible","2019-04-23",72
"Danza Invisible","2019-04-24",54
"Danza Invisible","2019-04-25",49
"Danza Invisible","2019-04-26",64
"Danza Invisible","2019-04-27",99
"Danza Invisible","2019-04-28",87
"Danza Invisible","2019-04-29",45
"Danza Invisible","2019-04-30",52
"Danza Invisible","2019-05-01",76
"Danza Invisible","2019-05-02",69
"Danza Invisible","2019-05-03",84
"Danza Invisible","2019-05-04",193
"Danza Invisible","2019-05-05",112
"Danza Invisible","2019-05-06",79
"Danza Invisible","2019-05-07",72
"Danza Invisible","2019-05-08",52
"Danza Invisible","2019-05-09",65
"Danza Invisible","2019-05-10",44
"Danza Invisible","2019-05-11",78
"Danza Invisible","2019-05-12",153
"Danza Invisible","2019-05-13",235
"Danza Invisible","2019-05-14",104
"Danza Invisible","2019-05-15",70
"Danza Invisible","2019-05-16",63
"Danza Invisible","2019-05-17",81
"Danza Invisible","2019-05-18",64
"Danza Invisible","2019-05-19",71
"Danza Invisible","2019-05-20",52
"Danza Invisible","2019-05-21",74
"Danza Invisible","2019-05-22",66
"Danza Invisible","2019-05-23",84
"Danza Invisible","2019-05-24",193
"Danza Invisible","2019-05-25",186
"Danza Invisible","2019-05-26",105
"Danza Invisible","2019-05-27",56
"Danza Invisible","2019-05-28",78
"Danza Invisible","2019-05-29",68
"Danza Invisible","2019-05-30",81
"Danza Invisible","2019-05-31",76
"Danza Invisible","2019-06-01",96
"Danza Invisible","2019-06-02",68
"Danza Invisible","2019-06-03",76
"Danza Invisible","2019-06-04",63
"Danza Invisible","2019-06-05",71
"Danza Invisible","2019-06-06",55
"Danza Invisible","2019-06-07",207
"Danza Invisible","2019-06-08",150
"Danza Invisible","2019-06-09",90
"Danza Invisible","2019-06-10",85
"Danza Invisible","2019-06-11",83
"Danza Invisible","2019-06-12",60
"Danza Invisible","2019-06-13",77
"Danza Invisible","2019-06-14",148
"Danza Invisible","2019-06-15",217
"Danza Invisible","2019-06-16",133
"Danza Invisible","2019-06-17",86
"Danza Invisible","2019-06-18",144
"Danza Invisible","2019-06-19",96
"Danza Invisible","2019-06-20",75
"Danza Invisible","2019-06-21",85
"Danza Invisible","2019-06-22",112
"Danza Invisible","2019-06-23",73
"Danza Invisible","2019-06-24",56
"Danza Invisible","2019-06-25",51
