"artista","fecha","visitas"
"Duncan Dhu","2019-03-18",145
"Duncan Dhu","2019-03-19",135
"Duncan Dhu","2019-03-20",136
"Duncan Dhu","2019-03-21",410
"Duncan Dhu","2019-03-22",253
"Duncan Dhu","2019-03-23",173
"Duncan Dhu","2019-03-24",180
"Duncan Dhu","2019-03-25",147
"Duncan Dhu","2019-03-26",129
"Duncan Dhu","2019-03-27",158
"Duncan Dhu","2019-03-28",150
"Duncan Dhu","2019-03-29",142
"Duncan Dhu","2019-03-30",171
"Duncan Dhu","2019-03-31",167
"Duncan Dhu","2019-04-01",132
"Duncan Dhu","2019-04-02",212
"Duncan Dhu","2019-04-03",153
"Duncan Dhu","2019-04-04",181
"Duncan Dhu","2019-04-05",169
"Duncan Dhu","2019-04-06",136
"Duncan Dhu","2019-04-07",217
"Duncan Dhu","2019-04-08",188
"Duncan Dhu","2019-04-09",196
"Duncan Dhu","2019-04-10",180
"Duncan Dhu","2019-04-11",173
"Duncan Dhu","2019-04-12",157
"Duncan Dhu","2019-04-13",202
"Duncan Dhu","2019-04-14",173
"Duncan Dhu","2019-04-15",146
"Duncan Dhu","2019-04-16",122
"Duncan Dhu","2019-04-17",143
"Duncan Dhu","2019-04-18",180
"Duncan Dhu","2019-04-19",159
"Duncan Dhu","2019-04-20",147
"Duncan Dhu","2019-04-21",203
"Duncan Dhu","2019-04-22",121
"Duncan Dhu","2019-04-23",160
"Duncan Dhu","2019-04-24",174
"Duncan Dhu","2019-04-25",153
"Duncan Dhu","2019-04-26",177
"Duncan Dhu","2019-04-27",166
"Duncan Dhu","2019-04-28",153
"Duncan Dhu","2019-04-29",155
"Duncan Dhu","2019-04-30",172
"Duncan Dhu","2019-05-01",164
"Duncan Dhu","2019-05-02",187
"Duncan Dhu","2019-05-03",194
"Duncan Dhu","2019-05-04",189
"Duncan Dhu","2019-05-05",199
"Duncan Dhu","2019-05-06",165
"Duncan Dhu","2019-05-07",248
"Duncan Dhu","2019-05-08",200
"Duncan Dhu","2019-05-09",223
"Duncan Dhu","2019-05-10",231
"Duncan Dhu","2019-05-11",253
"Duncan Dhu","2019-05-12",211
"Duncan Dhu","2019-05-13",211
"Duncan Dhu","2019-05-14",219
"Duncan Dhu","2019-05-15",177
"Duncan Dhu","2019-05-16",191
"Duncan Dhu","2019-05-17",196
"Duncan Dhu","2019-05-18",211
"Duncan Dhu","2019-05-19",207
"Duncan Dhu","2019-05-20",167
"Duncan Dhu","2019-05-21",246
"Duncan Dhu","2019-05-22",165
"Duncan Dhu","2019-05-23",195
"Duncan Dhu","2019-05-24",203
"Duncan Dhu","2019-05-25",222
"Duncan Dhu","2019-05-26",178
"Duncan Dhu","2019-05-27",160
"Duncan Dhu","2019-05-28",164
"Duncan Dhu","2019-05-29",162
"Duncan Dhu","2019-05-30",474
"Duncan Dhu","2019-05-31",210
"Duncan Dhu","2019-06-01",153
"Duncan Dhu","2019-06-02",172
"Duncan Dhu","2019-06-03",175
"Duncan Dhu","2019-06-04",209
"Duncan Dhu","2019-06-05",164
"Duncan Dhu","2019-06-06",179
"Duncan Dhu","2019-06-07",188
"Duncan Dhu","2019-06-08",211
"Duncan Dhu","2019-06-09",168
"Duncan Dhu","2019-06-10",150
"Duncan Dhu","2019-06-11",248
"Duncan Dhu","2019-06-12",175
"Duncan Dhu","2019-06-13",164
"Duncan Dhu","2019-06-14",220
"Duncan Dhu","2019-06-15",212
"Duncan Dhu","2019-06-16",201
"Duncan Dhu","2019-06-17",188
"Duncan Dhu","2019-06-18",240
"Duncan Dhu","2019-06-19",178
"Duncan Dhu","2019-06-20",175
"Duncan Dhu","2019-06-21",188
"Duncan Dhu","2019-06-22",188
"Duncan Dhu","2019-06-23",223
"Duncan Dhu","2019-06-24",160
"Duncan Dhu","2019-06-25",160
