"artista","fecha","visitas"
"Gabinete Caligari","2019-03-18",55
"Gabinete Caligari","2019-03-19",63
"Gabinete Caligari","2019-03-20",73
"Gabinete Caligari","2019-03-21",126
"Gabinete Caligari","2019-03-22",237
"Gabinete Caligari","2019-03-23",155
"Gabinete Caligari","2019-03-24",105
"Gabinete Caligari","2019-03-25",78
"Gabinete Caligari","2019-03-26",100
"Gabinete Caligari","2019-03-27",78
"Gabinete Caligari","2019-03-28",78
"Gabinete Caligari","2019-03-29",74
"Gabinete Caligari","2019-03-30",98
"Gabinete Caligari","2019-03-31",102
"Gabinete Caligari","2019-04-01",61
"Gabinete Caligari","2019-04-02",66
"Gabinete Caligari","2019-04-03",72
"Gabinete Caligari","2019-04-04",76
"Gabinete Caligari","2019-04-05",95
"Gabinete Caligari","2019-04-06",100
"Gabinete Caligari","2019-04-07",98
"Gabinete Caligari","2019-04-08",80
"Gabinete Caligari","2019-04-09",74
"Gabinete Caligari","2019-04-10",67
"Gabinete Caligari","2019-04-11",83
"Gabinete Caligari","2019-04-12",62
"Gabinete Caligari","2019-04-13",111
"Gabinete Caligari","2019-04-14",72
"Gabinete Caligari","2019-04-15",56
"Gabinete Caligari","2019-04-16",69
"Gabinete Caligari","2019-04-17",65
"Gabinete Caligari","2019-04-18",158
"Gabinete Caligari","2019-04-19",77
"Gabinete Caligari","2019-04-20",111
"Gabinete Caligari","2019-04-21",90
"Gabinete Caligari","2019-04-22",80
"Gabinete Caligari","2019-04-23",57
"Gabinete Caligari","2019-04-24",88
"Gabinete Caligari","2019-04-25",79
"Gabinete Caligari","2019-04-26",96
"Gabinete Caligari","2019-04-27",77
"Gabinete Caligari","2019-04-28",85
"Gabinete Caligari","2019-04-29",62
"Gabinete Caligari","2019-04-30",61
"Gabinete Caligari","2019-05-01",84
"Gabinete Caligari","2019-05-02",99
"Gabinete Caligari","2019-05-03",117
"Gabinete Caligari","2019-05-04",104
"Gabinete Caligari","2019-05-05",92
"Gabinete Caligari","2019-05-06",62
"Gabinete Caligari","2019-05-07",74
"Gabinete Caligari","2019-05-08",83
"Gabinete Caligari","2019-05-09",78
"Gabinete Caligari","2019-05-10",86
"Gabinete Caligari","2019-05-11",102
"Gabinete Caligari","2019-05-12",110
"Gabinete Caligari","2019-05-13",92
"Gabinete Caligari","2019-05-14",88
"Gabinete Caligari","2019-05-15",103
"Gabinete Caligari","2019-05-16",136
"Gabinete Caligari","2019-05-17",111
"Gabinete Caligari","2019-05-18",143
"Gabinete Caligari","2019-05-19",121
"Gabinete Caligari","2019-05-20",61
"Gabinete Caligari","2019-05-21",169
"Gabinete Caligari","2019-05-22",74
"Gabinete Caligari","2019-05-23",119
"Gabinete Caligari","2019-05-24",108
"Gabinete Caligari","2019-05-25",94
"Gabinete Caligari","2019-05-26",95
"Gabinete Caligari","2019-05-27",59
"Gabinete Caligari","2019-05-28",111
"Gabinete Caligari","2019-05-29",87
"Gabinete Caligari","2019-05-30",95
"Gabinete Caligari","2019-05-31",90
"Gabinete Caligari","2019-06-01",73
"Gabinete Caligari","2019-06-02",60
"Gabinete Caligari","2019-06-03",66
"Gabinete Caligari","2019-06-04",312
"Gabinete Caligari","2019-06-05",83
"Gabinete Caligari","2019-06-06",101
"Gabinete Caligari","2019-06-07",94
"Gabinete Caligari","2019-06-08",76
"Gabinete Caligari","2019-06-09",90
"Gabinete Caligari","2019-06-10",83
"Gabinete Caligari","2019-06-11",73
"Gabinete Caligari","2019-06-12",85
"Gabinete Caligari","2019-06-13",67
"Gabinete Caligari","2019-06-14",85
"Gabinete Caligari","2019-06-15",79
"Gabinete Caligari","2019-06-16",86
"Gabinete Caligari","2019-06-17",90
"Gabinete Caligari","2019-06-18",158
"Gabinete Caligari","2019-06-19",88
"Gabinete Caligari","2019-06-20",86
"Gabinete Caligari","2019-06-21",164
"Gabinete Caligari","2019-06-22",141
"Gabinete Caligari","2019-06-23",129
"Gabinete Caligari","2019-06-24",52
"Gabinete Caligari","2019-06-25",78
