"artista","fecha","visitas"
"Golpes Bajos","2019-03-18",125
"Golpes Bajos","2019-03-19",81
"Golpes Bajos","2019-03-20",57
"Golpes Bajos","2019-03-21",203
"Golpes Bajos","2019-03-22",140
"Golpes Bajos","2019-03-23",79
"Golpes Bajos","2019-03-24",88
"Golpes Bajos","2019-03-25",88
"Golpes Bajos","2019-03-26",66
"Golpes Bajos","2019-03-27",67
"Golpes Bajos","2019-03-28",97
"Golpes Bajos","2019-03-29",121
"Golpes Bajos","2019-03-30",80
"Golpes Bajos","2019-03-31",68
"Golpes Bajos","2019-04-01",70
"Golpes Bajos","2019-04-02",174
"Golpes Bajos","2019-04-03",113
"Golpes Bajos","2019-04-04",82
"Golpes Bajos","2019-04-05",88
"Golpes Bajos","2019-04-06",119
"Golpes Bajos","2019-04-07",86
"Golpes Bajos","2019-04-08",261
"Golpes Bajos","2019-04-09",108
"Golpes Bajos","2019-04-10",59
"Golpes Bajos","2019-04-11",50
"Golpes Bajos","2019-04-12",78
"Golpes Bajos","2019-04-13",121
"Golpes Bajos","2019-04-14",59
"Golpes Bajos","2019-04-15",46
"Golpes Bajos","2019-04-16",81
"Golpes Bajos","2019-04-17",56
"Golpes Bajos","2019-04-18",55
"Golpes Bajos","2019-04-19",59
"Golpes Bajos","2019-04-20",74
"Golpes Bajos","2019-04-21",52
"Golpes Bajos","2019-04-22",63
"Golpes Bajos","2019-04-23",48
"Golpes Bajos","2019-04-24",71
"Golpes Bajos","2019-04-25",94
"Golpes Bajos","2019-04-26",85
"Golpes Bajos","2019-04-27",83
"Golpes Bajos","2019-04-28",61
"Golpes Bajos","2019-04-29",50
"Golpes Bajos","2019-04-30",64
"Golpes Bajos","2019-05-01",65
"Golpes Bajos","2019-05-02",62
"Golpes Bajos","2019-05-03",84
"Golpes Bajos","2019-05-04",61
"Golpes Bajos","2019-05-05",57
"Golpes Bajos","2019-05-06",72
"Golpes Bajos","2019-05-07",53
"Golpes Bajos","2019-05-08",64
"Golpes Bajos","2019-05-09",68
"Golpes Bajos","2019-05-10",79
"Golpes Bajos","2019-05-11",68
"Golpes Bajos","2019-05-12",58
"Golpes Bajos","2019-05-13",60
"Golpes Bajos","2019-05-14",50
"Golpes Bajos","2019-05-15",65
"Golpes Bajos","2019-05-16",119
"Golpes Bajos","2019-05-17",70
"Golpes Bajos","2019-05-18",74
"Golpes Bajos","2019-05-19",68
"Golpes Bajos","2019-05-20",49
"Golpes Bajos","2019-05-21",79
"Golpes Bajos","2019-05-22",67
"Golpes Bajos","2019-05-23",68
"Golpes Bajos","2019-05-24",48
"Golpes Bajos","2019-05-25",55
"Golpes Bajos","2019-05-26",63
"Golpes Bajos","2019-05-27",51
"Golpes Bajos","2019-05-28",51
"Golpes Bajos","2019-05-29",55
"Golpes Bajos","2019-05-30",41
"Golpes Bajos","2019-05-31",53
"Golpes Bajos","2019-06-01",38
"Golpes Bajos","2019-06-02",49
"Golpes Bajos","2019-06-03",55
"Golpes Bajos","2019-06-04",246
"Golpes Bajos","2019-06-05",87
"Golpes Bajos","2019-06-06",57
"Golpes Bajos","2019-06-07",90
"Golpes Bajos","2019-06-08",75
"Golpes Bajos","2019-06-09",54
"Golpes Bajos","2019-06-10",43
"Golpes Bajos","2019-06-11",280
"Golpes Bajos","2019-06-12",72
"Golpes Bajos","2019-06-13",260
"Golpes Bajos","2019-06-14",71
"Golpes Bajos","2019-06-15",56
"Golpes Bajos","2019-06-16",63
"Golpes Bajos","2019-06-17",83
"Golpes Bajos","2019-06-18",157
"Golpes Bajos","2019-06-19",85
"Golpes Bajos","2019-06-20",93
"Golpes Bajos","2019-06-21",79
"Golpes Bajos","2019-06-22",57
"Golpes Bajos","2019-06-23",62
"Golpes Bajos","2019-06-24",56
"Golpes Bajos","2019-06-25",61
