"artista","fecha","visitas"
"Iván","2019-03-18",95
"Iván","2019-03-19",122
"Iván","2019-03-20",75
"Iván","2019-03-21",78
"Iván","2019-03-22",74
"Iván","2019-03-23",76
"Iván","2019-03-24",95
"Iván","2019-03-25",90
"Iván","2019-03-26",81
"Iván","2019-03-27",67
"Iván","2019-03-28",73
"Iván","2019-03-29",86
"Iván","2019-03-30",90
"Iván","2019-03-31",93
"Iván","2019-04-01",73
"Iván","2019-04-02",63
"Iván","2019-04-03",68
"Iván","2019-04-04",78
"Iván","2019-04-05",69
"Iván","2019-04-06",85
"Iván","2019-04-07",105
"Iván","2019-04-08",71
"Iván","2019-04-09",81
"Iván","2019-04-10",74
"Iván","2019-04-11",79
"Iván","2019-04-12",69
"Iván","2019-04-13",71
"Iván","2019-04-14",72
"Iván","2019-04-15",80
"Iván","2019-04-16",71
"Iván","2019-04-17",76
"Iván","2019-04-18",74
"Iván","2019-04-19",88
"Iván","2019-04-20",84
"Iván","2019-04-21",75
"Iván","2019-04-22",76
"Iván","2019-04-23",691
"Iván","2019-04-24",91
"Iván","2019-04-25",83
"Iván","2019-04-26",86
"Iván","2019-04-27",70
"Iván","2019-04-28",73
"Iván","2019-04-29",58
"Iván","2019-04-30",86
"Iván","2019-05-01",81
"Iván","2019-05-02",76
"Iván","2019-05-03",127
"Iván","2019-05-04",70
"Iván","2019-05-05",73
"Iván","2019-05-06",64
"Iván","2019-05-07",74
"Iván","2019-05-08",67
"Iván","2019-05-09",54
"Iván","2019-05-10",82
"Iván","2019-05-11",90
"Iván","2019-05-12",102
"Iván","2019-05-13",66
"Iván","2019-05-14",86
"Iván","2019-05-15",143
"Iván","2019-05-16",114
"Iván","2019-05-17",113
"Iván","2019-05-18",101
"Iván","2019-05-19",126
"Iván","2019-05-20",107
"Iván","2019-05-21",87
"Iván","2019-05-22",95
"Iván","2019-05-23",94
"Iván","2019-05-24",97
"Iván","2019-05-25",118
"Iván","2019-05-26",93
"Iván","2019-05-27",122
"Iván","2019-05-28",79
"Iván","2019-05-29",84
"Iván","2019-05-30",68
"Iván","2019-05-31",72
"Iván","2019-06-01",106
"Iván","2019-06-02",102
"Iván","2019-06-03",75
"Iván","2019-06-04",97
"Iván","2019-06-05",72
"Iván","2019-06-06",69
"Iván","2019-06-07",88
"Iván","2019-06-08",88
"Iván","2019-06-09",85
"Iván","2019-06-10",62
"Iván","2019-06-11",81
"Iván","2019-06-12",98
"Iván","2019-06-13",75
"Iván","2019-06-14",110
"Iván","2019-06-15",85
"Iván","2019-06-16",100
"Iván","2019-06-17",92
"Iván","2019-06-18",548
"Iván","2019-06-19",112
"Iván","2019-06-20",102
"Iván","2019-06-21",134
"Iván","2019-06-22",94
"Iván","2019-06-23",114
"Iván","2019-06-24",105
"Iván","2019-06-25",111
