"artista","fecha","visitas"
"La Unión","2019-03-18",160
"La Unión","2019-03-19",157
"La Unión","2019-03-20",194
"La Unión","2019-03-21",341
"La Unión","2019-03-22",350
"La Unión","2019-03-23",312
"La Unión","2019-03-24",188
"La Unión","2019-03-25",144
"La Unión","2019-03-26",161
"La Unión","2019-03-27",155
"La Unión","2019-03-28",170
"La Unión","2019-03-29",198
"La Unión","2019-03-30",229
"La Unión","2019-03-31",260
"La Unión","2019-04-01",183
"La Unión","2019-04-02",157
"La Unión","2019-04-03",161
"La Unión","2019-04-04",149
"La Unión","2019-04-05",233
"La Unión","2019-04-06",255
"La Unión","2019-04-07",300
"La Unión","2019-04-08",158
"La Unión","2019-04-09",165
"La Unión","2019-04-10",138
"La Unión","2019-04-11",180
"La Unión","2019-04-12",147
"La Unión","2019-04-13",210
"La Unión","2019-04-14",133
"La Unión","2019-04-15",141
"La Unión","2019-04-16",151
"La Unión","2019-04-17",131
"La Unión","2019-04-18",181
"La Unión","2019-04-19",168
"La Unión","2019-04-20",171
"La Unión","2019-04-21",166
"La Unión","2019-04-22",137
"La Unión","2019-04-23",150
"La Unión","2019-04-24",126
"La Unión","2019-04-25",141
"La Unión","2019-04-26",157
"La Unión","2019-04-27",179
"La Unión","2019-04-28",164
"La Unión","2019-04-29",133
"La Unión","2019-04-30",153
"La Unión","2019-05-01",139
"La Unión","2019-05-02",137
"La Unión","2019-05-03",171
"La Unión","2019-05-04",219
"La Unión","2019-05-05",184
"La Unión","2019-05-06",142
"La Unión","2019-05-07",131
"La Unión","2019-05-08",149
"La Unión","2019-05-09",163
"La Unión","2019-05-10",165
"La Unión","2019-05-11",199
"La Unión","2019-05-12",254
"La Unión","2019-05-13",200
"La Unión","2019-05-14",189
"La Unión","2019-05-15",140
"La Unión","2019-05-16",148
"La Unión","2019-05-17",181
"La Unión","2019-05-18",178
"La Unión","2019-05-19",191
"La Unión","2019-05-20",138
"La Unión","2019-05-21",171
"La Unión","2019-05-22",179
"La Unión","2019-05-23",221
"La Unión","2019-05-24",163
"La Unión","2019-05-25",190
"La Unión","2019-05-26",165
"La Unión","2019-05-27",142
"La Unión","2019-05-28",181
"La Unión","2019-05-29",225
"La Unión","2019-05-30",163
"La Unión","2019-05-31",176
"La Unión","2019-06-01",160
"La Unión","2019-06-02",190
"La Unión","2019-06-03",133
"La Unión","2019-06-04",304
"La Unión","2019-06-05",154
"La Unión","2019-06-06",157
"La Unión","2019-06-07",366
"La Unión","2019-06-08",212
"La Unión","2019-06-09",191
"La Unión","2019-06-10",148
"La Unión","2019-06-11",143
"La Unión","2019-06-12",175
"La Unión","2019-06-13",183
"La Unión","2019-06-14",170
"La Unión","2019-06-15",280
"La Unión","2019-06-16",327
"La Unión","2019-06-17",193
"La Unión","2019-06-18",278
"La Unión","2019-06-19",206
"La Unión","2019-06-20",164
"La Unión","2019-06-21",210
"La Unión","2019-06-22",204
"La Unión","2019-06-23",280
"La Unión","2019-06-24",275
"La Unión","2019-06-25",172
