"artista","fecha","visitas"
"Los Elegantes","2019-03-18",12
"Los Elegantes","2019-03-19",5
"Los Elegantes","2019-03-20",10
"Los Elegantes","2019-03-21",9
"Los Elegantes","2019-03-22",10
"Los Elegantes","2019-03-23",13
"Los Elegantes","2019-03-24",19
"Los Elegantes","2019-03-25",13
"Los Elegantes","2019-03-26",16
"Los Elegantes","2019-03-27",6
"Los Elegantes","2019-03-28",12
"Los Elegantes","2019-03-29",10
"Los Elegantes","2019-03-30",8
"Los Elegantes","2019-03-31",12
"Los Elegantes","2019-04-01",18
"Los Elegantes","2019-04-02",11
"Los Elegantes","2019-04-03",9
"Los Elegantes","2019-04-04",17
"Los Elegantes","2019-04-05",9
"Los Elegantes","2019-04-06",12
"Los Elegantes","2019-04-07",9
"Los Elegantes","2019-04-08",28
"Los Elegantes","2019-04-09",6
"Los Elegantes","2019-04-10",10
"Los Elegantes","2019-04-11",18
"Los Elegantes","2019-04-12",13
"Los Elegantes","2019-04-13",13
"Los Elegantes","2019-04-14",19
"Los Elegantes","2019-04-15",12
"Los Elegantes","2019-04-16",6
"Los Elegantes","2019-04-17",6
"Los Elegantes","2019-04-18",10
"Los Elegantes","2019-04-19",8
"Los Elegantes","2019-04-20",18
"Los Elegantes","2019-04-21",8
"Los Elegantes","2019-04-22",10
"Los Elegantes","2019-04-23",11
"Los Elegantes","2019-04-24",22
"Los Elegantes","2019-04-25",19
"Los Elegantes","2019-04-26",17
"Los Elegantes","2019-04-27",11
"Los Elegantes","2019-04-28",6
"Los Elegantes","2019-04-29",9
"Los Elegantes","2019-04-30",14
"Los Elegantes","2019-05-01",16
"Los Elegantes","2019-05-02",26
"Los Elegantes","2019-05-03",23
"Los Elegantes","2019-05-04",23
"Los Elegantes","2019-05-05",18
"Los Elegantes","2019-05-06",13
"Los Elegantes","2019-05-07",17
"Los Elegantes","2019-05-08",19
"Los Elegantes","2019-05-09",13
"Los Elegantes","2019-05-10",8
"Los Elegantes","2019-05-11",14
"Los Elegantes","2019-05-12",11
"Los Elegantes","2019-05-13",15
"Los Elegantes","2019-05-14",11
"Los Elegantes","2019-05-15",165
"Los Elegantes","2019-05-16",29
"Los Elegantes","2019-05-17",19
"Los Elegantes","2019-05-18",16
"Los Elegantes","2019-05-19",19
"Los Elegantes","2019-05-20",16
"Los Elegantes","2019-05-21",19
"Los Elegantes","2019-05-22",12
"Los Elegantes","2019-05-23",18
"Los Elegantes","2019-05-24",19
"Los Elegantes","2019-05-25",9
"Los Elegantes","2019-05-26",14
"Los Elegantes","2019-05-27",12
"Los Elegantes","2019-05-28",13
"Los Elegantes","2019-05-29",10
"Los Elegantes","2019-05-30",13
"Los Elegantes","2019-05-31",14
"Los Elegantes","2019-06-01",20
"Los Elegantes","2019-06-02",5
"Los Elegantes","2019-06-03",9
"Los Elegantes","2019-06-04",20
"Los Elegantes","2019-06-05",13
"Los Elegantes","2019-06-06",15
"Los Elegantes","2019-06-07",21
"Los Elegantes","2019-06-08",17
"Los Elegantes","2019-06-09",8
"Los Elegantes","2019-06-10",13
"Los Elegantes","2019-06-11",12
"Los Elegantes","2019-06-12",13
"Los Elegantes","2019-06-13",8
"Los Elegantes","2019-06-14",11
"Los Elegantes","2019-06-15",12
"Los Elegantes","2019-06-16",16
"Los Elegantes","2019-06-17",11
"Los Elegantes","2019-06-18",45
"Los Elegantes","2019-06-19",15
"Los Elegantes","2019-06-20",12
"Los Elegantes","2019-06-21",11
"Los Elegantes","2019-06-22",25
"Los Elegantes","2019-06-23",20
"Los Elegantes","2019-06-24",11
"Los Elegantes","2019-06-25",17
