"artista","fecha","visitas"
"Olé Olé","2019-03-18",95
"Olé Olé","2019-03-19",93
"Olé Olé","2019-03-20",75
"Olé Olé","2019-03-21",77
"Olé Olé","2019-03-22",106
"Olé Olé","2019-03-23",67
"Olé Olé","2019-03-24",91
"Olé Olé","2019-03-25",90
"Olé Olé","2019-03-26",96
"Olé Olé","2019-03-27",77
"Olé Olé","2019-03-28",82
"Olé Olé","2019-03-29",99
"Olé Olé","2019-03-30",98
"Olé Olé","2019-03-31",93
"Olé Olé","2019-04-01",62
"Olé Olé","2019-04-02",90
"Olé Olé","2019-04-03",53
"Olé Olé","2019-04-04",81
"Olé Olé","2019-04-05",105
"Olé Olé","2019-04-06",100
"Olé Olé","2019-04-07",104
"Olé Olé","2019-04-08",77
"Olé Olé","2019-04-09",72
"Olé Olé","2019-04-10",97
"Olé Olé","2019-04-11",60
"Olé Olé","2019-04-12",127
"Olé Olé","2019-04-13",88
"Olé Olé","2019-04-14",83
"Olé Olé","2019-04-15",55
"Olé Olé","2019-04-16",57
"Olé Olé","2019-04-17",65
"Olé Olé","2019-04-18",72
"Olé Olé","2019-04-19",64
"Olé Olé","2019-04-20",57
"Olé Olé","2019-04-21",78
"Olé Olé","2019-04-22",66
"Olé Olé","2019-04-23",71
"Olé Olé","2019-04-24",61
"Olé Olé","2019-04-25",84
"Olé Olé","2019-04-26",77
"Olé Olé","2019-04-27",86
"Olé Olé","2019-04-28",68
"Olé Olé","2019-04-29",47
"Olé Olé","2019-04-30",64
"Olé Olé","2019-05-01",78
"Olé Olé","2019-05-02",76
"Olé Olé","2019-05-03",86
"Olé Olé","2019-05-04",81
"Olé Olé","2019-05-05",147
"Olé Olé","2019-05-06",73
"Olé Olé","2019-05-07",81
"Olé Olé","2019-05-08",103
"Olé Olé","2019-05-09",99
"Olé Olé","2019-05-10",97
"Olé Olé","2019-05-11",109
"Olé Olé","2019-05-12",124
"Olé Olé","2019-05-13",95
"Olé Olé","2019-05-14",87
"Olé Olé","2019-05-15",65
"Olé Olé","2019-05-16",127
"Olé Olé","2019-05-17",105
"Olé Olé","2019-05-18",156
"Olé Olé","2019-05-19",129
"Olé Olé","2019-05-20",95
"Olé Olé","2019-05-21",166
"Olé Olé","2019-05-22",112
"Olé Olé","2019-05-23",114
"Olé Olé","2019-05-24",860
"Olé Olé","2019-05-25",288
"Olé Olé","2019-05-26",269
"Olé Olé","2019-05-27",125
"Olé Olé","2019-05-28",137
"Olé Olé","2019-05-29",94
"Olé Olé","2019-05-30",81
"Olé Olé","2019-05-31",67
"Olé Olé","2019-06-01",81
"Olé Olé","2019-06-02",76
"Olé Olé","2019-06-03",81
"Olé Olé","2019-06-04",83
"Olé Olé","2019-06-05",64
"Olé Olé","2019-06-06",81
"Olé Olé","2019-06-07",127
"Olé Olé","2019-06-08",84
"Olé Olé","2019-06-09",91
"Olé Olé","2019-06-10",67
"Olé Olé","2019-06-11",90
"Olé Olé","2019-06-12",64
"Olé Olé","2019-06-13",68
"Olé Olé","2019-06-14",61
"Olé Olé","2019-06-15",86
"Olé Olé","2019-06-16",93
"Olé Olé","2019-06-17",71
"Olé Olé","2019-06-18",134
"Olé Olé","2019-06-19",69
"Olé Olé","2019-06-20",61
"Olé Olé","2019-06-21",262
"Olé Olé","2019-06-22",140
"Olé Olé","2019-06-23",116
"Olé Olé","2019-06-24",74
"Olé Olé","2019-06-25",85
