"artista","fecha","visitas"
"Panzer","2019-03-18",14
"Panzer","2019-03-19",8
"Panzer","2019-03-20",21
"Panzer","2019-03-21",13
"Panzer","2019-03-22",9
"Panzer","2019-03-23",15
"Panzer","2019-03-24",16
"Panzer","2019-03-25",15
"Panzer","2019-03-26",19
"Panzer","2019-03-27",9
"Panzer","2019-03-28",17
"Panzer","2019-03-29",28
"Panzer","2019-03-30",10
"Panzer","2019-03-31",13
"Panzer","2019-04-01",45
"Panzer","2019-04-02",22
"Panzer","2019-04-03",23
"Panzer","2019-04-04",18
"Panzer","2019-04-05",14
"Panzer","2019-04-06",11
"Panzer","2019-04-07",20
"Panzer","2019-04-08",30
"Panzer","2019-04-09",17
"Panzer","2019-04-10",20
"Panzer","2019-04-11",23
"Panzer","2019-04-12",16
"Panzer","2019-04-13",13
"Panzer","2019-04-14",15
"Panzer","2019-04-15",11
"Panzer","2019-04-16",20
"Panzer","2019-04-17",20
"Panzer","2019-04-18",22
"Panzer","2019-04-19",19
"Panzer","2019-04-20",13
"Panzer","2019-04-21",16
"Panzer","2019-04-22",28
"Panzer","2019-04-23",55
"Panzer","2019-04-24",26
"Panzer","2019-04-25",20
"Panzer","2019-04-26",18
"Panzer","2019-04-27",8
"Panzer","2019-04-28",8
"Panzer","2019-04-29",13
"Panzer","2019-04-30",10
"Panzer","2019-05-01",15
"Panzer","2019-05-02",20
"Panzer","2019-05-03",25
"Panzer","2019-05-04",22
"Panzer","2019-05-05",16
"Panzer","2019-05-06",20
"Panzer","2019-05-07",12
"Panzer","2019-05-08",22
"Panzer","2019-05-09",20
"Panzer","2019-05-10",11
"Panzer","2019-05-11",25
"Panzer","2019-05-12",13
"Panzer","2019-05-13",10
"Panzer","2019-05-14",12
"Panzer","2019-05-15",20
"Panzer","2019-05-16",27
"Panzer","2019-05-17",14
"Panzer","2019-05-18",21
"Panzer","2019-05-19",11
"Panzer","2019-05-20",7
"Panzer","2019-05-21",7
"Panzer","2019-05-22",15
"Panzer","2019-05-23",13
"Panzer","2019-05-24",23
"Panzer","2019-05-25",19
"Panzer","2019-05-26",9
"Panzer","2019-05-27",26
"Panzer","2019-05-28",29
"Panzer","2019-05-29",23
"Panzer","2019-05-30",12
"Panzer","2019-05-31",13
"Panzer","2019-06-01",16
"Panzer","2019-06-02",17
"Panzer","2019-06-03",19
"Panzer","2019-06-04",19
"Panzer","2019-06-05",12
"Panzer","2019-06-06",12
"Panzer","2019-06-07",19
"Panzer","2019-06-08",23
"Panzer","2019-06-09",11
"Panzer","2019-06-10",12
"Panzer","2019-06-11",15
"Panzer","2019-06-12",23
"Panzer","2019-06-13",8
"Panzer","2019-06-14",10
"Panzer","2019-06-15",18
"Panzer","2019-06-16",18
"Panzer","2019-06-17",14
"Panzer","2019-06-18",55
"Panzer","2019-06-19",26
"Panzer","2019-06-20",21
"Panzer","2019-06-21",18
"Panzer","2019-06-22",19
"Panzer","2019-06-23",14
"Panzer","2019-06-24",10
"Panzer","2019-06-25",15
