"artista","fecha","visitas"
"Radio Futura","2019-03-18",226
"Radio Futura","2019-03-19",140
"Radio Futura","2019-03-20",157
"Radio Futura","2019-03-21",343
"Radio Futura","2019-03-22",193
"Radio Futura","2019-03-23",183
"Radio Futura","2019-03-24",155
"Radio Futura","2019-03-25",144
"Radio Futura","2019-03-26",140
"Radio Futura","2019-03-27",164
"Radio Futura","2019-03-28",342
"Radio Futura","2019-03-29",317
"Radio Futura","2019-03-30",223
"Radio Futura","2019-03-31",179
"Radio Futura","2019-04-01",153
"Radio Futura","2019-04-02",170
"Radio Futura","2019-04-03",177
"Radio Futura","2019-04-04",122
"Radio Futura","2019-04-05",151
"Radio Futura","2019-04-06",134
"Radio Futura","2019-04-07",165
"Radio Futura","2019-04-08",597
"Radio Futura","2019-04-09",196
"Radio Futura","2019-04-10",101
"Radio Futura","2019-04-11",104
"Radio Futura","2019-04-12",111
"Radio Futura","2019-04-13",195
"Radio Futura","2019-04-14",163
"Radio Futura","2019-04-15",113
"Radio Futura","2019-04-16",156
"Radio Futura","2019-04-17",130
"Radio Futura","2019-04-18",125
"Radio Futura","2019-04-19",140
"Radio Futura","2019-04-20",121
"Radio Futura","2019-04-21",121
"Radio Futura","2019-04-22",116
"Radio Futura","2019-04-23",126
"Radio Futura","2019-04-24",104
"Radio Futura","2019-04-25",126
"Radio Futura","2019-04-26",135
"Radio Futura","2019-04-27",136
"Radio Futura","2019-04-28",121
"Radio Futura","2019-04-29",106
"Radio Futura","2019-04-30",119
"Radio Futura","2019-05-01",119
"Radio Futura","2019-05-02",122
"Radio Futura","2019-05-03",131
"Radio Futura","2019-05-04",131
"Radio Futura","2019-05-05",139
"Radio Futura","2019-05-06",103
"Radio Futura","2019-05-07",104
"Radio Futura","2019-05-08",111
"Radio Futura","2019-05-09",120
"Radio Futura","2019-05-10",114
"Radio Futura","2019-05-11",142
"Radio Futura","2019-05-12",141
"Radio Futura","2019-05-13",161
"Radio Futura","2019-05-14",138
"Radio Futura","2019-05-15",113
"Radio Futura","2019-05-16",189
"Radio Futura","2019-05-17",145
"Radio Futura","2019-05-18",168
"Radio Futura","2019-05-19",140
"Radio Futura","2019-05-20",117
"Radio Futura","2019-05-21",150
"Radio Futura","2019-05-22",138
"Radio Futura","2019-05-23",231
"Radio Futura","2019-05-24",180
"Radio Futura","2019-05-25",139
"Radio Futura","2019-05-26",138
"Radio Futura","2019-05-27",143
"Radio Futura","2019-05-28",171
"Radio Futura","2019-05-29",138
"Radio Futura","2019-05-30",184
"Radio Futura","2019-05-31",177
"Radio Futura","2019-06-01",111
"Radio Futura","2019-06-02",161
"Radio Futura","2019-06-03",134
"Radio Futura","2019-06-04",142
"Radio Futura","2019-06-05",118
"Radio Futura","2019-06-06",154
"Radio Futura","2019-06-07",148
"Radio Futura","2019-06-08",153
"Radio Futura","2019-06-09",146
"Radio Futura","2019-06-10",136
"Radio Futura","2019-06-11",237
"Radio Futura","2019-06-12",158
"Radio Futura","2019-06-13",178
"Radio Futura","2019-06-14",148
"Radio Futura","2019-06-15",138
"Radio Futura","2019-06-16",152
"Radio Futura","2019-06-17",142
"Radio Futura","2019-06-18",304
"Radio Futura","2019-06-19",126
"Radio Futura","2019-06-20",139
"Radio Futura","2019-06-21",152
"Radio Futura","2019-06-22",144
"Radio Futura","2019-06-23",146
"Radio Futura","2019-06-24",160
"Radio Futura","2019-06-25",148
