"artista","fecha","visitas"
"Sindicato Malone","2019-03-18",6
"Sindicato Malone","2019-03-19",9
"Sindicato Malone","2019-03-20",8
"Sindicato Malone","2019-03-21",3
"Sindicato Malone","2019-03-22",6
"Sindicato Malone","2019-03-23",6
"Sindicato Malone","2019-03-24",2
"Sindicato Malone","2019-03-26",2
"Sindicato Malone","2019-03-27",5
"Sindicato Malone","2019-03-28",6
"Sindicato Malone","2019-03-29",3
"Sindicato Malone","2019-03-31",2
"Sindicato Malone","2019-04-01",3
"Sindicato Malone","2019-04-02",2
"Sindicato Malone","2019-04-03",3
"Sindicato Malone","2019-04-04",5
"Sindicato Malone","2019-04-05",6
"Sindicato Malone","2019-04-06",5
"Sindicato Malone","2019-04-07",6
"Sindicato Malone","2019-04-08",4
"Sindicato Malone","2019-04-09",5
"Sindicato Malone","2019-04-11",2
"Sindicato Malone","2019-04-12",0
"Sindicato Malone","2019-04-13",2
"Sindicato Malone","2019-04-14",1
"Sindicato Malone","2019-04-15",1
"Sindicato Malone","2019-04-16",0
"Sindicato Malone","2019-04-17",1
"Sindicato Malone","2019-04-18",5
"Sindicato Malone","2019-04-19",4
"Sindicato Malone","2019-04-20",1
"Sindicato Malone","2019-04-21",2
"Sindicato Malone","2019-04-22",8
"Sindicato Malone","2019-04-23",2
"Sindicato Malone","2019-04-24",3
"Sindicato Malone","2019-04-25",1
"Sindicato Malone","2019-04-26",2
"Sindicato Malone","2019-04-27",3
"Sindicato Malone","2019-04-28",1
"Sindicato Malone","2019-04-29",3
"Sindicato Malone","2019-04-30",5
"Sindicato Malone","2019-05-01",5
"Sindicato Malone","2019-05-02",3
"Sindicato Malone","2019-05-03",5
"Sindicato Malone","2019-05-04",5
"Sindicato Malone","2019-05-05",2
"Sindicato Malone","2019-05-06",2
"Sindicato Malone","2019-05-07",2
"Sindicato Malone","2019-05-08",1
"Sindicato Malone","2019-05-09",1
"Sindicato Malone","2019-05-10",5
"Sindicato Malone","2019-05-11",1
"Sindicato Malone","2019-05-13",3
"Sindicato Malone","2019-05-14",1
"Sindicato Malone","2019-05-15",5
"Sindicato Malone","2019-05-16",6
"Sindicato Malone","2019-05-17",3
"Sindicato Malone","2019-05-18",8
"Sindicato Malone","2019-05-19",2
"Sindicato Malone","2019-05-20",2
"Sindicato Malone","2019-05-21",1
"Sindicato Malone","2019-05-22",2
"Sindicato Malone","2019-05-23",2
"Sindicato Malone","2019-05-24",6
"Sindicato Malone","2019-05-25",2
"Sindicato Malone","2019-05-26",2
"Sindicato Malone","2019-05-27",3
"Sindicato Malone","2019-05-28",2
"Sindicato Malone","2019-05-29",5
"Sindicato Malone","2019-05-30",1
"Sindicato Malone","2019-05-31",4
"Sindicato Malone","2019-06-01",4
"Sindicato Malone","2019-06-02",0
"Sindicato Malone","2019-06-03",3
"Sindicato Malone","2019-06-04",1
"Sindicato Malone","2019-06-05",4
"Sindicato Malone","2019-06-06",4
"Sindicato Malone","2019-06-07",4
"Sindicato Malone","2019-06-08",6
"Sindicato Malone","2019-06-09",2
"Sindicato Malone","2019-06-10",2
"Sindicato Malone","2019-06-11",2
"Sindicato Malone","2019-06-12",1
"Sindicato Malone","2019-06-13",6
"Sindicato Malone","2019-06-14",2
"Sindicato Malone","2019-06-15",1
"Sindicato Malone","2019-06-16",2
"Sindicato Malone","2019-06-18",50
"Sindicato Malone","2019-06-19",12
"Sindicato Malone","2019-06-20",6
"Sindicato Malone","2019-06-21",7
"Sindicato Malone","2019-06-22",8
"Sindicato Malone","2019-06-23",4
"Sindicato Malone","2019-06-24",3
"Sindicato Malone","2019-06-25",8
