"artista","fecha","visitas"
"Siniestro Total","2019-03-18",111
"Siniestro Total","2019-03-19",136
"Siniestro Total","2019-03-20",110
"Siniestro Total","2019-03-21",168
"Siniestro Total","2019-03-22",131
"Siniestro Total","2019-03-23",148
"Siniestro Total","2019-03-24",188
"Siniestro Total","2019-03-25",180
"Siniestro Total","2019-03-26",141
"Siniestro Total","2019-03-27",94
"Siniestro Total","2019-03-28",141
"Siniestro Total","2019-03-29",118
"Siniestro Total","2019-03-30",97
"Siniestro Total","2019-03-31",100
"Siniestro Total","2019-04-01",94
"Siniestro Total","2019-04-02",552
"Siniestro Total","2019-04-03",256
"Siniestro Total","2019-04-04",178
"Siniestro Total","2019-04-05",192
"Siniestro Total","2019-04-06",139
"Siniestro Total","2019-04-07",127
"Siniestro Total","2019-04-08",130
"Siniestro Total","2019-04-09",126
"Siniestro Total","2019-04-10",115
"Siniestro Total","2019-04-11",132
"Siniestro Total","2019-04-12",131
"Siniestro Total","2019-04-13",121
"Siniestro Total","2019-04-14",130
"Siniestro Total","2019-04-15",96
"Siniestro Total","2019-04-16",109
"Siniestro Total","2019-04-17",88
"Siniestro Total","2019-04-18",123
"Siniestro Total","2019-04-19",117
"Siniestro Total","2019-04-20",117
"Siniestro Total","2019-04-21",109
"Siniestro Total","2019-04-22",102
"Siniestro Total","2019-04-23",107
"Siniestro Total","2019-04-24",121
"Siniestro Total","2019-04-25",127
"Siniestro Total","2019-04-26",165
"Siniestro Total","2019-04-27",154
"Siniestro Total","2019-04-28",136
"Siniestro Total","2019-04-29",102
"Siniestro Total","2019-04-30",108
"Siniestro Total","2019-05-01",110
"Siniestro Total","2019-05-02",95
"Siniestro Total","2019-05-03",115
"Siniestro Total","2019-05-04",135
"Siniestro Total","2019-05-05",121
"Siniestro Total","2019-05-06",101
"Siniestro Total","2019-05-07",97
"Siniestro Total","2019-05-08",102
"Siniestro Total","2019-05-09",113
"Siniestro Total","2019-05-10",120
"Siniestro Total","2019-05-11",96
"Siniestro Total","2019-05-12",165
"Siniestro Total","2019-05-13",102
"Siniestro Total","2019-05-14",100
"Siniestro Total","2019-05-15",153
"Siniestro Total","2019-05-16",135
"Siniestro Total","2019-05-17",151
"Siniestro Total","2019-05-18",118
"Siniestro Total","2019-05-19",116
"Siniestro Total","2019-05-20",83
"Siniestro Total","2019-05-21",166
"Siniestro Total","2019-05-22",158
"Siniestro Total","2019-05-23",165
"Siniestro Total","2019-05-24",116
"Siniestro Total","2019-05-25",116
"Siniestro Total","2019-05-26",87
"Siniestro Total","2019-05-27",112
"Siniestro Total","2019-05-28",109
"Siniestro Total","2019-05-29",147
"Siniestro Total","2019-05-30",114
"Siniestro Total","2019-05-31",126
"Siniestro Total","2019-06-01",113
"Siniestro Total","2019-06-02",94
"Siniestro Total","2019-06-03",112
"Siniestro Total","2019-06-04",157
"Siniestro Total","2019-06-05",105
"Siniestro Total","2019-06-06",106
"Siniestro Total","2019-06-07",138
"Siniestro Total","2019-06-08",121
"Siniestro Total","2019-06-09",103
"Siniestro Total","2019-06-10",106
"Siniestro Total","2019-06-11",188
"Siniestro Total","2019-06-12",104
"Siniestro Total","2019-06-13",144
"Siniestro Total","2019-06-14",127
"Siniestro Total","2019-06-15",134
"Siniestro Total","2019-06-16",136
"Siniestro Total","2019-06-17",105
"Siniestro Total","2019-06-18",270
"Siniestro Total","2019-06-19",181
"Siniestro Total","2019-06-20",127
"Siniestro Total","2019-06-21",150
"Siniestro Total","2019-06-22",260
"Siniestro Total","2019-06-23",195
"Siniestro Total","2019-06-24",177
"Siniestro Total","2019-06-25",134
