"artista","fecha","visitas"
"Tino Casal","2019-03-18",212
"Tino Casal","2019-03-19",210
"Tino Casal","2019-03-20",14362
"Tino Casal","2019-03-21",1215
"Tino Casal","2019-03-22",538
"Tino Casal","2019-03-23",356
"Tino Casal","2019-03-24",340
"Tino Casal","2019-03-25",223
"Tino Casal","2019-03-26",291
"Tino Casal","2019-03-27",274
"Tino Casal","2019-03-28",194
"Tino Casal","2019-03-29",196
"Tino Casal","2019-03-30",244
"Tino Casal","2019-03-31",215
"Tino Casal","2019-04-01",138
"Tino Casal","2019-04-02",203
"Tino Casal","2019-04-03",146
"Tino Casal","2019-04-04",178
"Tino Casal","2019-04-05",238
"Tino Casal","2019-04-06",222
"Tino Casal","2019-04-07",209
"Tino Casal","2019-04-08",164
"Tino Casal","2019-04-09",136
"Tino Casal","2019-04-10",218
"Tino Casal","2019-04-11",197
"Tino Casal","2019-04-12",576
"Tino Casal","2019-04-13",564
"Tino Casal","2019-04-14",547
"Tino Casal","2019-04-15",349
"Tino Casal","2019-04-16",239
"Tino Casal","2019-04-17",272
"Tino Casal","2019-04-18",291
"Tino Casal","2019-04-19",328
"Tino Casal","2019-04-20",384
"Tino Casal","2019-04-21",284
"Tino Casal","2019-04-22",308
"Tino Casal","2019-04-23",303
"Tino Casal","2019-04-24",190
"Tino Casal","2019-04-25",213
"Tino Casal","2019-04-26",197
"Tino Casal","2019-04-27",683
"Tino Casal","2019-04-28",239
"Tino Casal","2019-04-29",173
"Tino Casal","2019-04-30",255
"Tino Casal","2019-05-01",278
"Tino Casal","2019-05-02",180
"Tino Casal","2019-05-03",198
"Tino Casal","2019-05-04",280
"Tino Casal","2019-05-05",231
"Tino Casal","2019-05-06",159
"Tino Casal","2019-05-07",175
"Tino Casal","2019-05-08",193
"Tino Casal","2019-05-09",191
"Tino Casal","2019-05-10",244
"Tino Casal","2019-05-11",247
"Tino Casal","2019-05-12",257
"Tino Casal","2019-05-13",166
"Tino Casal","2019-05-14",200
"Tino Casal","2019-05-15",188
"Tino Casal","2019-05-16",188
"Tino Casal","2019-05-17",304
"Tino Casal","2019-05-18",331
"Tino Casal","2019-05-19",304
"Tino Casal","2019-05-20",229
"Tino Casal","2019-05-21",246
"Tino Casal","2019-05-22",220
"Tino Casal","2019-05-23",379
"Tino Casal","2019-05-24",277
"Tino Casal","2019-05-25",236
"Tino Casal","2019-05-26",221
"Tino Casal","2019-05-27",346
"Tino Casal","2019-05-28",778
"Tino Casal","2019-05-29",270
"Tino Casal","2019-05-30",586
"Tino Casal","2019-05-31",298
"Tino Casal","2019-06-01",261
"Tino Casal","2019-06-02",269
"Tino Casal","2019-06-03",172
"Tino Casal","2019-06-04",258
"Tino Casal","2019-06-05",303
"Tino Casal","2019-06-06",227
"Tino Casal","2019-06-07",280
"Tino Casal","2019-06-08",298
"Tino Casal","2019-06-09",446
"Tino Casal","2019-06-10",328
"Tino Casal","2019-06-11",883
"Tino Casal","2019-06-12",368
"Tino Casal","2019-06-13",329
"Tino Casal","2019-06-14",324
"Tino Casal","2019-06-15",303
"Tino Casal","2019-06-16",544
"Tino Casal","2019-06-17",236
"Tino Casal","2019-06-18",579
"Tino Casal","2019-06-19",279
"Tino Casal","2019-06-20",267
"Tino Casal","2019-06-21",260
"Tino Casal","2019-06-22",294
"Tino Casal","2019-06-23",379
"Tino Casal","2019-06-24",268
"Tino Casal","2019-06-25",1253
