"artista","fecha","visitas"
"Adam_&_the_Ants","2019-03-25",13
"Adam_&_the_Ants","2019-03-26",14
"Adam_&_the_Ants","2019-03-27",9
"Adam_&_the_Ants","2019-03-28",12
"Adam_&_the_Ants","2019-03-29",14
"Adam_&_the_Ants","2019-03-30",7
"Adam_&_the_Ants","2019-03-31",7
"Adam_&_the_Ants","2019-04-01",10
"Adam_&_the_Ants","2019-04-02",5
"Adam_&_the_Ants","2019-04-03",15
"Adam_&_the_Ants","2019-04-04",5
"Adam_&_the_Ants","2019-04-05",9
"Adam_&_the_Ants","2019-04-06",6
"Adam_&_the_Ants","2019-04-07",5
"Adam_&_the_Ants","2019-04-08",8
"Adam_&_the_Ants","2019-04-09",5
"Adam_&_the_Ants","2019-04-10",14
"Adam_&_the_Ants","2019-04-11",6
"Adam_&_the_Ants","2019-04-12",6
"Adam_&_the_Ants","2019-04-13",13
"Adam_&_the_Ants","2019-04-14",10
"Adam_&_the_Ants","2019-04-15",12
"Adam_&_the_Ants","2019-04-16",10
"Adam_&_the_Ants","2019-04-17",15
"Adam_&_the_Ants","2019-04-18",13
"Adam_&_the_Ants","2019-04-19",13
"Adam_&_the_Ants","2019-04-20",13
"Adam_&_the_Ants","2019-04-21",15
"Adam_&_the_Ants","2019-04-22",3
"Adam_&_the_Ants","2019-04-23",18
"Adam_&_the_Ants","2019-04-24",7
"Adam_&_the_Ants","2019-04-25",8
"Adam_&_the_Ants","2019-04-26",17
"Adam_&_the_Ants","2019-04-27",16
"Adam_&_the_Ants","2019-04-28",16
"Adam_&_the_Ants","2019-04-29",10
"Adam_&_the_Ants","2019-04-30",9
"Adam_&_the_Ants","2019-05-01",13
"Adam_&_the_Ants","2019-05-02",9
"Adam_&_the_Ants","2019-05-03",14
"Adam_&_the_Ants","2019-05-04",10
"Adam_&_the_Ants","2019-05-05",8
"Adam_&_the_Ants","2019-05-06",8
"Adam_&_the_Ants","2019-05-07",19
"Adam_&_the_Ants","2019-05-08",8
"Adam_&_the_Ants","2019-05-09",11
"Adam_&_the_Ants","2019-05-10",11
"Adam_&_the_Ants","2019-05-11",7
"Adam_&_the_Ants","2019-05-12",4
"Adam_&_the_Ants","2019-05-13",9
"Adam_&_the_Ants","2019-05-14",7
"Adam_&_the_Ants","2019-05-15",15
"Adam_&_the_Ants","2019-05-16",7
"Adam_&_the_Ants","2019-05-17",5
"Adam_&_the_Ants","2019-05-18",8
"Adam_&_the_Ants","2019-05-19",19
"Adam_&_the_Ants","2019-05-20",10
"Adam_&_the_Ants","2019-05-21",12
"Adam_&_the_Ants","2019-05-22",14
"Adam_&_the_Ants","2019-05-23",15
"Adam_&_the_Ants","2019-05-24",18
"Adam_&_the_Ants","2019-05-25",8
"Adam_&_the_Ants","2019-05-26",17
"Adam_&_the_Ants","2019-05-27",10
"Adam_&_the_Ants","2019-05-28",10
"Adam_&_the_Ants","2019-05-29",9
"Adam_&_the_Ants","2019-05-30",10
"Adam_&_the_Ants","2019-05-31",13
"Adam_&_the_Ants","2019-06-01",8
"Adam_&_the_Ants","2019-06-02",6
"Adam_&_the_Ants","2019-06-03",6
"Adam_&_the_Ants","2019-06-04",13
"Adam_&_the_Ants","2019-06-05",32
"Adam_&_the_Ants","2019-06-06",16
"Adam_&_the_Ants","2019-06-07",20
"Adam_&_the_Ants","2019-06-08",14
"Adam_&_the_Ants","2019-06-09",15
"Adam_&_the_Ants","2019-06-10",8
"Adam_&_the_Ants","2019-06-11",11
"Adam_&_the_Ants","2019-06-12",5
"Adam_&_the_Ants","2019-06-13",8
"Adam_&_the_Ants","2019-06-14",8
"Adam_&_the_Ants","2019-06-15",12
"Adam_&_the_Ants","2019-06-16",9
"Adam_&_the_Ants","2019-06-17",14
"Adam_&_the_Ants","2019-06-18",9
"Adam_&_the_Ants","2019-06-19",8
"Adam_&_the_Ants","2019-06-20",11
"Adam_&_the_Ants","2019-06-21",9
"Adam_&_the_Ants","2019-06-22",202
"Adam_&_the_Ants","2019-06-23",58
"Adam_&_the_Ants","2019-06-24",30
"Adam_&_the_Ants","2019-06-25",57
"Adam_&_the_Ants","2019-06-26",15
"Adam_&_the_Ants","2019-06-27",19
