"artista","fecha","visitas"
"Army of Lovers","2019-03-25",16
"Army of Lovers","2019-03-26",16
"Army of Lovers","2019-03-27",9
"Army of Lovers","2019-03-28",20
"Army of Lovers","2019-03-29",11
"Army of Lovers","2019-03-30",14
"Army of Lovers","2019-03-31",17
"Army of Lovers","2019-04-01",15
"Army of Lovers","2019-04-02",8
"Army of Lovers","2019-04-03",16
"Army of Lovers","2019-04-04",6
"Army of Lovers","2019-04-05",18
"Army of Lovers","2019-04-06",9
"Army of Lovers","2019-04-07",20
"Army of Lovers","2019-04-08",12
"Army of Lovers","2019-04-09",17
"Army of Lovers","2019-04-10",13
"Army of Lovers","2019-04-11",15
"Army of Lovers","2019-04-12",18
"Army of Lovers","2019-04-13",20
"Army of Lovers","2019-04-14",4
"Army of Lovers","2019-04-15",6
"Army of Lovers","2019-04-16",14
"Army of Lovers","2019-04-17",20
"Army of Lovers","2019-04-18",9
"Army of Lovers","2019-04-19",18
"Army of Lovers","2019-04-20",13
"Army of Lovers","2019-04-21",7
"Army of Lovers","2019-04-22",22
"Army of Lovers","2019-04-23",20
"Army of Lovers","2019-04-24",10
"Army of Lovers","2019-04-25",27
"Army of Lovers","2019-04-26",20
"Army of Lovers","2019-04-27",8
"Army of Lovers","2019-04-28",25
"Army of Lovers","2019-04-29",15
"Army of Lovers","2019-04-30",20
"Army of Lovers","2019-05-01",23
"Army of Lovers","2019-05-02",22
"Army of Lovers","2019-05-03",22
"Army of Lovers","2019-05-04",20
"Army of Lovers","2019-05-05",19
"Army of Lovers","2019-05-06",11
"Army of Lovers","2019-05-07",13
"Army of Lovers","2019-05-08",24
"Army of Lovers","2019-05-09",8
"Army of Lovers","2019-05-10",11
"Army of Lovers","2019-05-11",24
"Army of Lovers","2019-05-12",17
"Army of Lovers","2019-05-13",12
"Army of Lovers","2019-05-14",11
"Army of Lovers","2019-05-15",15
"Army of Lovers","2019-05-16",11
"Army of Lovers","2019-05-17",15
"Army of Lovers","2019-05-18",33
"Army of Lovers","2019-05-19",39
"Army of Lovers","2019-05-20",21
"Army of Lovers","2019-05-21",18
"Army of Lovers","2019-05-22",15
"Army of Lovers","2019-05-23",16
"Army of Lovers","2019-05-24",13
"Army of Lovers","2019-05-25",17
"Army of Lovers","2019-05-26",29
"Army of Lovers","2019-05-27",19
"Army of Lovers","2019-05-28",14
"Army of Lovers","2019-05-29",22
"Army of Lovers","2019-05-30",22
"Army of Lovers","2019-05-31",22
"Army of Lovers","2019-06-01",25
"Army of Lovers","2019-06-02",16
"Army of Lovers","2019-06-03",11
"Army of Lovers","2019-06-04",17
"Army of Lovers","2019-06-05",16
"Army of Lovers","2019-06-06",12
"Army of Lovers","2019-06-07",6
"Army of Lovers","2019-06-08",13
"Army of Lovers","2019-06-09",13
"Army of Lovers","2019-06-10",10
"Army of Lovers","2019-06-11",10
"Army of Lovers","2019-06-12",6
"Army of Lovers","2019-06-13",15
"Army of Lovers","2019-06-14",20
"Army of Lovers","2019-06-15",26
"Army of Lovers","2019-06-16",14
"Army of Lovers","2019-06-17",24
"Army of Lovers","2019-06-18",20
"Army of Lovers","2019-06-19",12
"Army of Lovers","2019-06-20",17
"Army of Lovers","2019-06-21",21
"Army of Lovers","2019-06-22",9
"Army of Lovers","2019-06-23",22
"Army of Lovers","2019-06-24",16
"Army of Lovers","2019-06-25",61
"Army of Lovers","2019-06-26",33
"Army of Lovers","2019-06-27",18
