"artista","fecha","visitas"
"Conchita Wurst","2019-03-25",817
"Conchita Wurst","2019-03-26",384
"Conchita Wurst","2019-03-27",241
"Conchita Wurst","2019-03-28",230
"Conchita Wurst","2019-03-29",228
"Conchita Wurst","2019-03-30",242
"Conchita Wurst","2019-03-31",212
"Conchita Wurst","2019-04-01",203
"Conchita Wurst","2019-04-02",191
"Conchita Wurst","2019-04-03",218
"Conchita Wurst","2019-04-04",202
"Conchita Wurst","2019-04-05",227
"Conchita Wurst","2019-04-06",310
"Conchita Wurst","2019-04-07",255
"Conchita Wurst","2019-04-08",257
"Conchita Wurst","2019-04-09",200
"Conchita Wurst","2019-04-10",393
"Conchita Wurst","2019-04-11",1525
"Conchita Wurst","2019-04-12",1075
"Conchita Wurst","2019-04-13",602
"Conchita Wurst","2019-04-14",464
"Conchita Wurst","2019-04-15",410
"Conchita Wurst","2019-04-16",444
"Conchita Wurst","2019-04-17",293
"Conchita Wurst","2019-04-18",279
"Conchita Wurst","2019-04-19",293
"Conchita Wurst","2019-04-20",431
"Conchita Wurst","2019-04-21",615
"Conchita Wurst","2019-04-22",673
"Conchita Wurst","2019-04-23",171
"Conchita Wurst","2019-04-24",331
"Conchita Wurst","2019-04-25",178
"Conchita Wurst","2019-04-26",189
"Conchita Wurst","2019-04-27",296
"Conchita Wurst","2019-04-28",194
"Conchita Wurst","2019-04-29",190
"Conchita Wurst","2019-04-30",174
"Conchita Wurst","2019-05-01",199
"Conchita Wurst","2019-05-02",142
"Conchita Wurst","2019-05-03",216
"Conchita Wurst","2019-05-04",245
"Conchita Wurst","2019-05-05",235
"Conchita Wurst","2019-05-06",157
"Conchita Wurst","2019-05-07",401
"Conchita Wurst","2019-05-08",168
"Conchita Wurst","2019-05-09",161
"Conchita Wurst","2019-05-10",233
"Conchita Wurst","2019-05-11",201
"Conchita Wurst","2019-05-12",302
"Conchita Wurst","2019-05-13",262
"Conchita Wurst","2019-05-14",522
"Conchita Wurst","2019-05-15",406
"Conchita Wurst","2019-05-16",903
"Conchita Wurst","2019-05-17",671
"Conchita Wurst","2019-05-18",15824
"Conchita Wurst","2019-05-19",3101
"Conchita Wurst","2019-05-20",960
"Conchita Wurst","2019-05-21",492
"Conchita Wurst","2019-05-22",514
"Conchita Wurst","2019-05-23",344
"Conchita Wurst","2019-05-24",318
"Conchita Wurst","2019-05-25",338
"Conchita Wurst","2019-05-26",233
"Conchita Wurst","2019-05-27",276
"Conchita Wurst","2019-05-28",189
"Conchita Wurst","2019-05-29",191
"Conchita Wurst","2019-05-30",228
"Conchita Wurst","2019-05-31",154
"Conchita Wurst","2019-06-01",276
"Conchita Wurst","2019-06-02",201
"Conchita Wurst","2019-06-03",153
"Conchita Wurst","2019-06-04",156
"Conchita Wurst","2019-06-05",148
"Conchita Wurst","2019-06-06",17744
"Conchita Wurst","2019-06-07",810
"Conchita Wurst","2019-06-08",354
"Conchita Wurst","2019-06-09",210
"Conchita Wurst","2019-06-10",253
"Conchita Wurst","2019-06-11",173
"Conchita Wurst","2019-06-12",154
"Conchita Wurst","2019-06-13",178
"Conchita Wurst","2019-06-14",152
"Conchita Wurst","2019-06-15",143
"Conchita Wurst","2019-06-16",145
"Conchita Wurst","2019-06-17",133
"Conchita Wurst","2019-06-18",114
"Conchita Wurst","2019-06-19",119
"Conchita Wurst","2019-06-20",145
"Conchita Wurst","2019-06-21",146
"Conchita Wurst","2019-06-22",161
"Conchita Wurst","2019-06-23",156
"Conchita Wurst","2019-06-24",144
"Conchita Wurst","2019-06-25",652
"Conchita Wurst","2019-06-26",194
"Conchita Wurst","2019-06-27",148
