"artista","fecha","visitas"
"Dana International","2019-03-25",25
"Dana International","2019-03-26",35
"Dana International","2019-03-27",30
"Dana International","2019-03-28",23
"Dana International","2019-03-29",20
"Dana International","2019-03-30",25
"Dana International","2019-03-31",18
"Dana International","2019-04-01",39
"Dana International","2019-04-02",24
"Dana International","2019-04-03",32
"Dana International","2019-04-04",24
"Dana International","2019-04-05",28
"Dana International","2019-04-06",28
"Dana International","2019-04-07",42
"Dana International","2019-04-08",33
"Dana International","2019-04-09",28
"Dana International","2019-04-10",24
"Dana International","2019-04-11",30
"Dana International","2019-04-12",23
"Dana International","2019-04-13",24
"Dana International","2019-04-14",25
"Dana International","2019-04-15",27
"Dana International","2019-04-16",46
"Dana International","2019-04-17",40
"Dana International","2019-04-18",43
"Dana International","2019-04-19",48
"Dana International","2019-04-20",39
"Dana International","2019-04-21",32
"Dana International","2019-04-22",32
"Dana International","2019-04-23",33
"Dana International","2019-04-24",55
"Dana International","2019-04-25",71
"Dana International","2019-04-26",55
"Dana International","2019-04-27",81
"Dana International","2019-04-28",31
"Dana International","2019-04-29",44
"Dana International","2019-04-30",52
"Dana International","2019-05-01",41
"Dana International","2019-05-02",37
"Dana International","2019-05-03",24
"Dana International","2019-05-04",35
"Dana International","2019-05-05",36
"Dana International","2019-05-06",38
"Dana International","2019-05-07",132
"Dana International","2019-05-08",64
"Dana International","2019-05-09",84
"Dana International","2019-05-10",3368
"Dana International","2019-05-11",102
"Dana International","2019-05-12",223
"Dana International","2019-05-13",171
"Dana International","2019-05-14",5467
"Dana International","2019-05-15",1038
"Dana International","2019-05-16",534
"Dana International","2019-05-17",342
"Dana International","2019-05-18",4353
"Dana International","2019-05-19",992
"Dana International","2019-05-20",323
"Dana International","2019-05-21",174
"Dana International","2019-05-22",139
"Dana International","2019-05-23",129
"Dana International","2019-05-24",112
"Dana International","2019-05-25",124
"Dana International","2019-05-26",82
"Dana International","2019-05-27",73
"Dana International","2019-05-28",61
"Dana International","2019-05-29",62
"Dana International","2019-05-30",56
"Dana International","2019-05-31",41
"Dana International","2019-06-01",70
"Dana International","2019-06-02",53
"Dana International","2019-06-03",55
"Dana International","2019-06-04",38
"Dana International","2019-06-05",35
"Dana International","2019-06-06",38
"Dana International","2019-06-07",44
"Dana International","2019-06-08",33
"Dana International","2019-06-09",29
"Dana International","2019-06-10",36
"Dana International","2019-06-11",25
"Dana International","2019-06-12",30
"Dana International","2019-06-13",27
"Dana International","2019-06-14",66
"Dana International","2019-06-15",34
"Dana International","2019-06-16",27
"Dana International","2019-06-17",44
"Dana International","2019-06-18",25
"Dana International","2019-06-19",30
"Dana International","2019-06-20",31
"Dana International","2019-06-21",46
"Dana International","2019-06-22",30
"Dana International","2019-06-23",41
"Dana International","2019-06-24",28
"Dana International","2019-06-25",108
"Dana International","2019-06-26",35
"Dana International","2019-06-27",98
