"artista","fecha","visitas"
"Divine","2019-03-25",161
"Divine","2019-03-26",134
"Divine","2019-03-27",136
"Divine","2019-03-28",107
"Divine","2019-03-29",133
"Divine","2019-03-30",169
"Divine","2019-03-31",162
"Divine","2019-04-01",132
"Divine","2019-04-02",91
"Divine","2019-04-03",119
"Divine","2019-04-04",99
"Divine","2019-04-05",116
"Divine","2019-04-06",132
"Divine","2019-04-07",135
"Divine","2019-04-08",168
"Divine","2019-04-09",132
"Divine","2019-04-10",107
"Divine","2019-04-11",116
"Divine","2019-04-12",113
"Divine","2019-04-13",126
"Divine","2019-04-14",150
"Divine","2019-04-15",140
"Divine","2019-04-16",117
"Divine","2019-04-17",129
"Divine","2019-04-18",134
"Divine","2019-04-19",159
"Divine","2019-04-20",141
"Divine","2019-04-21",150
"Divine","2019-04-22",139
"Divine","2019-04-23",133
"Divine","2019-04-24",215
"Divine","2019-04-25",140
"Divine","2019-04-26",178
"Divine","2019-04-27",117
"Divine","2019-04-28",147
"Divine","2019-04-29",115
"Divine","2019-04-30",101
"Divine","2019-05-01",120
"Divine","2019-05-02",106
"Divine","2019-05-03",121
"Divine","2019-05-04",117
"Divine","2019-05-05",131
"Divine","2019-05-06",148
"Divine","2019-05-07",155
"Divine","2019-05-08",118
"Divine","2019-05-09",146
"Divine","2019-05-10",135
"Divine","2019-05-11",197
"Divine","2019-05-12",229
"Divine","2019-05-13",182
"Divine","2019-05-14",165
"Divine","2019-05-15",156
"Divine","2019-05-16",133
"Divine","2019-05-17",110
"Divine","2019-05-18",121
"Divine","2019-05-19",144
"Divine","2019-05-20",103
"Divine","2019-05-21",96
"Divine","2019-05-22",114
"Divine","2019-05-23",143
"Divine","2019-05-24",122
"Divine","2019-05-25",139
"Divine","2019-05-26",127
"Divine","2019-05-27",109
"Divine","2019-05-28",98
"Divine","2019-05-29",121
"Divine","2019-05-30",100
"Divine","2019-05-31",111
"Divine","2019-06-01",177
"Divine","2019-06-02",185
"Divine","2019-06-03",153
"Divine","2019-06-04",117
"Divine","2019-06-05",122
"Divine","2019-06-06",129
"Divine","2019-06-07",140
"Divine","2019-06-08",140
"Divine","2019-06-09",116
"Divine","2019-06-10",164
"Divine","2019-06-11",105
"Divine","2019-06-12",118
"Divine","2019-06-13",95
"Divine","2019-06-14",114
"Divine","2019-06-15",103
"Divine","2019-06-16",149
"Divine","2019-06-17",151
"Divine","2019-06-18",133
"Divine","2019-06-19",132
"Divine","2019-06-20",145
"Divine","2019-06-21",121
"Divine","2019-06-22",138
"Divine","2019-06-23",159
"Divine","2019-06-24",145
"Divine","2019-06-25",403
"Divine","2019-06-26",249
"Divine","2019-06-27",236
