"artista","fecha","visitas"
"Electric Light Orchestra","2019-03-25",224
"Electric Light Orchestra","2019-03-26",232
"Electric Light Orchestra","2019-03-27",225
"Electric Light Orchestra","2019-03-28",234
"Electric Light Orchestra","2019-03-29",205
"Electric Light Orchestra","2019-03-30",204
"Electric Light Orchestra","2019-03-31",237
"Electric Light Orchestra","2019-04-01",213
"Electric Light Orchestra","2019-04-02",211
"Electric Light Orchestra","2019-04-03",201
"Electric Light Orchestra","2019-04-04",212
"Electric Light Orchestra","2019-04-05",222
"Electric Light Orchestra","2019-04-06",207
"Electric Light Orchestra","2019-04-07",204
"Electric Light Orchestra","2019-04-08",224
"Electric Light Orchestra","2019-04-09",220
"Electric Light Orchestra","2019-04-10",215
"Electric Light Orchestra","2019-04-11",190
"Electric Light Orchestra","2019-04-12",215
"Electric Light Orchestra","2019-04-13",233
"Electric Light Orchestra","2019-04-14",277
"Electric Light Orchestra","2019-04-15",226
"Electric Light Orchestra","2019-04-16",239
"Electric Light Orchestra","2019-04-17",231
"Electric Light Orchestra","2019-04-18",216
"Electric Light Orchestra","2019-04-19",264
"Electric Light Orchestra","2019-04-20",236
"Electric Light Orchestra","2019-04-21",267
"Electric Light Orchestra","2019-04-22",266
"Electric Light Orchestra","2019-04-23",236
"Electric Light Orchestra","2019-04-24",234
"Electric Light Orchestra","2019-04-25",240
"Electric Light Orchestra","2019-04-26",222
"Electric Light Orchestra","2019-04-27",184
"Electric Light Orchestra","2019-04-28",200
"Electric Light Orchestra","2019-04-29",206
"Electric Light Orchestra","2019-04-30",207
"Electric Light Orchestra","2019-05-01",239
"Electric Light Orchestra","2019-05-02",252
"Electric Light Orchestra","2019-05-03",242
"Electric Light Orchestra","2019-05-04",208
"Electric Light Orchestra","2019-05-05",301
"Electric Light Orchestra","2019-05-06",248
"Electric Light Orchestra","2019-05-07",221
"Electric Light Orchestra","2019-05-08",214
"Electric Light Orchestra","2019-05-09",239
"Electric Light Orchestra","2019-05-10",263
"Electric Light Orchestra","2019-05-11",260
"Electric Light Orchestra","2019-05-12",258
"Electric Light Orchestra","2019-05-13",213
"Electric Light Orchestra","2019-05-14",215
"Electric Light Orchestra","2019-05-15",211
"Electric Light Orchestra","2019-05-16",206
"Electric Light Orchestra","2019-05-17",211
"Electric Light Orchestra","2019-05-18",219
"Electric Light Orchestra","2019-05-19",260
"Electric Light Orchestra","2019-05-20",224
"Electric Light Orchestra","2019-05-21",242
"Electric Light Orchestra","2019-05-22",244
"Electric Light Orchestra","2019-05-23",199
"Electric Light Orchestra","2019-05-24",215
"Electric Light Orchestra","2019-05-25",267
"Electric Light Orchestra","2019-05-26",284
"Electric Light Orchestra","2019-05-27",240
"Electric Light Orchestra","2019-05-28",242
"Electric Light Orchestra","2019-05-29",260
"Electric Light Orchestra","2019-05-30",241
"Electric Light Orchestra","2019-05-31",254
"Electric Light Orchestra","2019-06-01",247
"Electric Light Orchestra","2019-06-02",295
"Electric Light Orchestra","2019-06-03",248
"Electric Light Orchestra","2019-06-04",254
"Electric Light Orchestra","2019-06-05",265
"Electric Light Orchestra","2019-06-06",279
"Electric Light Orchestra","2019-06-07",235
"Electric Light Orchestra","2019-06-08",248
"Electric Light Orchestra","2019-06-09",240
"Electric Light Orchestra","2019-06-10",207
"Electric Light Orchestra","2019-06-11",229
"Electric Light Orchestra","2019-06-12",264
"Electric Light Orchestra","2019-06-13",247
"Electric Light Orchestra","2019-06-14",240
"Electric Light Orchestra","2019-06-15",241
"Electric Light Orchestra","2019-06-16",299
"Electric Light Orchestra","2019-06-17",246
"Electric Light Orchestra","2019-06-18",206
"Electric Light Orchestra","2019-06-19",200
"Electric Light Orchestra","2019-06-20",203
"Electric Light Orchestra","2019-06-21",262
"Electric Light Orchestra","2019-06-22",278
"Electric Light Orchestra","2019-06-23",233
"Electric Light Orchestra","2019-06-24",257
"Electric Light Orchestra","2019-06-25",211
"Electric Light Orchestra","2019-06-26",205
"Electric Light Orchestra","2019-06-27",249
