"artista","fecha","visitas"
"Elton John","2019-03-25",3920
"Elton John","2019-03-26",2689
"Elton John","2019-03-27",1172
"Elton John","2019-03-28",996
"Elton John","2019-03-29",1001
"Elton John","2019-03-30",1201
"Elton John","2019-03-31",1471
"Elton John","2019-04-01",1035
"Elton John","2019-04-02",948
"Elton John","2019-04-03",902
"Elton John","2019-04-04",1111
"Elton John","2019-04-05",1001
"Elton John","2019-04-06",998
"Elton John","2019-04-07",1190
"Elton John","2019-04-08",1077
"Elton John","2019-04-09",918
"Elton John","2019-04-10",1031
"Elton John","2019-04-11",1048
"Elton John","2019-04-12",920
"Elton John","2019-04-13",1005
"Elton John","2019-04-14",1063
"Elton John","2019-04-15",967
"Elton John","2019-04-16",1105
"Elton John","2019-04-17",823
"Elton John","2019-04-18",948
"Elton John","2019-04-19",1019
"Elton John","2019-04-20",1042
"Elton John","2019-04-21",1349
"Elton John","2019-04-22",1035
"Elton John","2019-04-23",917
"Elton John","2019-04-24",857
"Elton John","2019-04-25",772
"Elton John","2019-04-26",1060
"Elton John","2019-04-27",1218
"Elton John","2019-04-28",1213
"Elton John","2019-04-29",1192
"Elton John","2019-04-30",1208
"Elton John","2019-05-01",1534
"Elton John","2019-05-02",1622
"Elton John","2019-05-03",1143
"Elton John","2019-05-04",1243
"Elton John","2019-05-05",1496
"Elton John","2019-05-06",1399
"Elton John","2019-05-07",1180
"Elton John","2019-05-08",1399
"Elton John","2019-05-09",1291
"Elton John","2019-05-10",1698
"Elton John","2019-05-11",1567
"Elton John","2019-05-12",1719
"Elton John","2019-05-13",1643
"Elton John","2019-05-14",1471
"Elton John","2019-05-15",1693
"Elton John","2019-05-16",2208
"Elton John","2019-05-17",3667
"Elton John","2019-05-18",3616
"Elton John","2019-05-19",2955
"Elton John","2019-05-20",2753
"Elton John","2019-05-21",2569
"Elton John","2019-05-22",2845
"Elton John","2019-05-23",3138
"Elton John","2019-05-24",3579
"Elton John","2019-05-25",4190
"Elton John","2019-05-26",5840
"Elton John","2019-05-27",4651
"Elton John","2019-05-28",4662
"Elton John","2019-05-29",5300
"Elton John","2019-05-30",7193
"Elton John","2019-05-31",11038
"Elton John","2019-06-01",14936
"Elton John","2019-06-02",17681
"Elton John","2019-06-03",15475
"Elton John","2019-06-04",12396
"Elton John","2019-06-05",13792
"Elton John","2019-06-06",10248
"Elton John","2019-06-07",7966
"Elton John","2019-06-08",9210
"Elton John","2019-06-09",11033
"Elton John","2019-06-10",8251
"Elton John","2019-06-11",5427
"Elton John","2019-06-12",5510
"Elton John","2019-06-13",5022
"Elton John","2019-06-14",4039
"Elton John","2019-06-15",4949
"Elton John","2019-06-16",6214
"Elton John","2019-06-17",4501
"Elton John","2019-06-18",3404
"Elton John","2019-06-19",3643
"Elton John","2019-06-20",3418
"Elton John","2019-06-21",3248
"Elton John","2019-06-22",3977
"Elton John","2019-06-23",4099
"Elton John","2019-06-24",3696
"Elton John","2019-06-25",2472
"Elton John","2019-06-26",6369
"Elton John","2019-06-27",4545
