"artista","fecha","visitas"
"George Michael","2019-03-25",1065
"George Michael","2019-03-26",845
"George Michael","2019-03-27",769
"George Michael","2019-03-28",805
"George Michael","2019-03-29",912
"George Michael","2019-03-30",1129
"George Michael","2019-03-31",1175
"George Michael","2019-04-01",818
"George Michael","2019-04-02",746
"George Michael","2019-04-03",673
"George Michael","2019-04-04",759
"George Michael","2019-04-05",985
"George Michael","2019-04-06",1040
"George Michael","2019-04-07",1138
"George Michael","2019-04-08",757
"George Michael","2019-04-09",728
"George Michael","2019-04-10",749
"George Michael","2019-04-11",735
"George Michael","2019-04-12",824
"George Michael","2019-04-13",1004
"George Michael","2019-04-14",1104
"George Michael","2019-04-15",808
"George Michael","2019-04-16",731
"George Michael","2019-04-17",780
"George Michael","2019-04-18",1064
"George Michael","2019-04-19",1594
"George Michael","2019-04-20",1146
"George Michael","2019-04-21",1488
"George Michael","2019-04-22",851
"George Michael","2019-04-23",847
"George Michael","2019-04-24",906
"George Michael","2019-04-25",799
"George Michael","2019-04-26",830
"George Michael","2019-04-27",1399
"George Michael","2019-04-28",974
"George Michael","2019-04-29",764
"George Michael","2019-04-30",733
"George Michael","2019-05-01",907
"George Michael","2019-05-02",789
"George Michael","2019-05-03",793
"George Michael","2019-05-04",1032
"George Michael","2019-05-05",1107
"George Michael","2019-05-06",782
"George Michael","2019-05-07",872
"George Michael","2019-05-08",712
"George Michael","2019-05-09",751
"George Michael","2019-05-10",918
"George Michael","2019-05-11",1010
"George Michael","2019-05-12",1135
"George Michael","2019-05-13",763
"George Michael","2019-05-14",781
"George Michael","2019-05-15",763
"George Michael","2019-05-16",823
"George Michael","2019-05-17",939
"George Michael","2019-05-18",1294
"George Michael","2019-05-19",1282
"George Michael","2019-05-20",842
"George Michael","2019-05-21",806
"George Michael","2019-05-22",1039
"George Michael","2019-05-23",781
"George Michael","2019-05-24",845
"George Michael","2019-05-25",1123
"George Michael","2019-05-26",1235
"George Michael","2019-05-27",1017
"George Michael","2019-05-28",1127
"George Michael","2019-05-29",1045
"George Michael","2019-05-30",1078
"George Michael","2019-05-31",1070
"George Michael","2019-06-01",1360
"George Michael","2019-06-02",1433
"George Michael","2019-06-03",1029
"George Michael","2019-06-04",1558
"George Michael","2019-06-05",2437
"George Michael","2019-06-06",1135
"George Michael","2019-06-07",1002
"George Michael","2019-06-08",1378
"George Michael","2019-06-09",1900
"George Michael","2019-06-10",1108
"George Michael","2019-06-11",869
"George Michael","2019-06-12",856
"George Michael","2019-06-13",819
"George Michael","2019-06-14",928
"George Michael","2019-06-15",1128
"George Michael","2019-06-16",1249
"George Michael","2019-06-17",1030
"George Michael","2019-06-18",867
"George Michael","2019-06-19",836
"George Michael","2019-06-20",932
"George Michael","2019-06-21",1256
"George Michael","2019-06-22",1238
"George Michael","2019-06-23",1388
"George Michael","2019-06-24",1130
"George Michael","2019-06-25",3682
"George Michael","2019-06-26",2169
"George Michael","2019-06-27",1118
