"artista","fecha","visitas"
"Gloria Gaynor","2019-03-25",184
"Gloria Gaynor","2019-03-26",152
"Gloria Gaynor","2019-03-27",157
"Gloria Gaynor","2019-03-28",139
"Gloria Gaynor","2019-03-29",140
"Gloria Gaynor","2019-03-30",145
"Gloria Gaynor","2019-03-31",206
"Gloria Gaynor","2019-04-01",137
"Gloria Gaynor","2019-04-02",152
"Gloria Gaynor","2019-04-03",138
"Gloria Gaynor","2019-04-04",169
"Gloria Gaynor","2019-04-05",194
"Gloria Gaynor","2019-04-06",196
"Gloria Gaynor","2019-04-07",284
"Gloria Gaynor","2019-04-08",157
"Gloria Gaynor","2019-04-09",131
"Gloria Gaynor","2019-04-10",133
"Gloria Gaynor","2019-04-11",140
"Gloria Gaynor","2019-04-12",182
"Gloria Gaynor","2019-04-13",211
"Gloria Gaynor","2019-04-14",177
"Gloria Gaynor","2019-04-15",161
"Gloria Gaynor","2019-04-16",146
"Gloria Gaynor","2019-04-17",136
"Gloria Gaynor","2019-04-18",145
"Gloria Gaynor","2019-04-19",208
"Gloria Gaynor","2019-04-20",150
"Gloria Gaynor","2019-04-21",172
"Gloria Gaynor","2019-04-22",155
"Gloria Gaynor","2019-04-23",125
"Gloria Gaynor","2019-04-24",120
"Gloria Gaynor","2019-04-25",99
"Gloria Gaynor","2019-04-26",125
"Gloria Gaynor","2019-04-27",149
"Gloria Gaynor","2019-04-28",186
"Gloria Gaynor","2019-04-29",159
"Gloria Gaynor","2019-04-30",139
"Gloria Gaynor","2019-05-01",154
"Gloria Gaynor","2019-05-02",125
"Gloria Gaynor","2019-05-03",126
"Gloria Gaynor","2019-05-04",152
"Gloria Gaynor","2019-05-05",188
"Gloria Gaynor","2019-05-06",149
"Gloria Gaynor","2019-05-07",147
"Gloria Gaynor","2019-05-08",130
"Gloria Gaynor","2019-05-09",125
"Gloria Gaynor","2019-05-10",138
"Gloria Gaynor","2019-05-11",164
"Gloria Gaynor","2019-05-12",194
"Gloria Gaynor","2019-05-13",163
"Gloria Gaynor","2019-05-14",126
"Gloria Gaynor","2019-05-15",115
"Gloria Gaynor","2019-05-16",110
"Gloria Gaynor","2019-05-17",117
"Gloria Gaynor","2019-05-18",169
"Gloria Gaynor","2019-05-19",174
"Gloria Gaynor","2019-05-20",102
"Gloria Gaynor","2019-05-21",119
"Gloria Gaynor","2019-05-22",91
"Gloria Gaynor","2019-05-23",133
"Gloria Gaynor","2019-05-24",159
"Gloria Gaynor","2019-05-25",158
"Gloria Gaynor","2019-05-26",180
"Gloria Gaynor","2019-05-27",122
"Gloria Gaynor","2019-05-28",120
"Gloria Gaynor","2019-05-29",470
"Gloria Gaynor","2019-05-30",155
"Gloria Gaynor","2019-05-31",170
"Gloria Gaynor","2019-06-01",161
"Gloria Gaynor","2019-06-02",191
"Gloria Gaynor","2019-06-03",160
"Gloria Gaynor","2019-06-04",160
"Gloria Gaynor","2019-06-05",137
"Gloria Gaynor","2019-06-06",170
"Gloria Gaynor","2019-06-07",199
"Gloria Gaynor","2019-06-08",189
"Gloria Gaynor","2019-06-09",264
"Gloria Gaynor","2019-06-10",155
"Gloria Gaynor","2019-06-11",163
"Gloria Gaynor","2019-06-12",158
"Gloria Gaynor","2019-06-13",132
"Gloria Gaynor","2019-06-14",150
"Gloria Gaynor","2019-06-15",200
"Gloria Gaynor","2019-06-16",212
"Gloria Gaynor","2019-06-17",124
"Gloria Gaynor","2019-06-18",133
"Gloria Gaynor","2019-06-19",107
"Gloria Gaynor","2019-06-20",107
"Gloria Gaynor","2019-06-21",178
"Gloria Gaynor","2019-06-22",146
"Gloria Gaynor","2019-06-23",192
"Gloria Gaynor","2019-06-24",148
"Gloria Gaynor","2019-06-25",233
"Gloria Gaynor","2019-06-26",128
"Gloria Gaynor","2019-06-27",126
