"artista","fecha","visitas"
"Gloria Trevi","2019-03-25",1877
"Gloria Trevi","2019-03-26",1481
"Gloria Trevi","2019-03-27",1674
"Gloria Trevi","2019-03-28",1587
"Gloria Trevi","2019-03-29",1579
"Gloria Trevi","2019-03-30",1827
"Gloria Trevi","2019-03-31",1954
"Gloria Trevi","2019-04-01",1491
"Gloria Trevi","2019-04-02",1471
"Gloria Trevi","2019-04-03",1386
"Gloria Trevi","2019-04-04",1606
"Gloria Trevi","2019-04-05",1563
"Gloria Trevi","2019-04-06",1736
"Gloria Trevi","2019-04-07",1768
"Gloria Trevi","2019-04-08",1427
"Gloria Trevi","2019-04-09",1701
"Gloria Trevi","2019-04-10",1539
"Gloria Trevi","2019-04-11",1458
"Gloria Trevi","2019-04-12",1528
"Gloria Trevi","2019-04-13",1693
"Gloria Trevi","2019-04-14",1711
"Gloria Trevi","2019-04-15",1507
"Gloria Trevi","2019-04-16",1358
"Gloria Trevi","2019-04-17",1384
"Gloria Trevi","2019-04-18",1595
"Gloria Trevi","2019-04-19",1559
"Gloria Trevi","2019-04-20",1580
"Gloria Trevi","2019-04-21",1541
"Gloria Trevi","2019-04-22",1291
"Gloria Trevi","2019-04-23",1430
"Gloria Trevi","2019-04-24",1642
"Gloria Trevi","2019-04-25",1514
"Gloria Trevi","2019-04-26",1436
"Gloria Trevi","2019-04-27",1480
"Gloria Trevi","2019-04-28",1583
"Gloria Trevi","2019-04-29",1216
"Gloria Trevi","2019-04-30",1646
"Gloria Trevi","2019-05-01",1594
"Gloria Trevi","2019-05-02",1256
"Gloria Trevi","2019-05-03",1858
"Gloria Trevi","2019-05-04",2219
"Gloria Trevi","2019-05-05",2464
"Gloria Trevi","2019-05-06",1949
"Gloria Trevi","2019-05-07",1711
"Gloria Trevi","2019-05-08",1757
"Gloria Trevi","2019-05-09",1981
"Gloria Trevi","2019-05-10",2001
"Gloria Trevi","2019-05-11",2220
"Gloria Trevi","2019-05-12",2073
"Gloria Trevi","2019-05-13",1470
"Gloria Trevi","2019-05-14",1564
"Gloria Trevi","2019-05-15",1373
"Gloria Trevi","2019-05-16",1627
"Gloria Trevi","2019-05-17",1620
"Gloria Trevi","2019-05-18",2001
"Gloria Trevi","2019-05-19",2031
"Gloria Trevi","2019-05-20",1492
"Gloria Trevi","2019-05-21",1412
"Gloria Trevi","2019-05-22",1377
"Gloria Trevi","2019-05-23",1700
"Gloria Trevi","2019-05-24",1676
"Gloria Trevi","2019-05-25",2067
"Gloria Trevi","2019-05-26",2149
"Gloria Trevi","2019-05-27",1560
"Gloria Trevi","2019-05-28",1614
"Gloria Trevi","2019-05-29",1740
"Gloria Trevi","2019-05-30",1424
"Gloria Trevi","2019-05-31",1882
"Gloria Trevi","2019-06-01",2326
"Gloria Trevi","2019-06-02",2125
"Gloria Trevi","2019-06-03",1979
"Gloria Trevi","2019-06-04",1601
"Gloria Trevi","2019-06-05",1706
"Gloria Trevi","2019-06-06",1879
"Gloria Trevi","2019-06-07",2828
"Gloria Trevi","2019-06-08",2251
"Gloria Trevi","2019-06-09",3362
"Gloria Trevi","2019-06-10",1638
"Gloria Trevi","2019-06-11",1422
"Gloria Trevi","2019-06-12",1378
"Gloria Trevi","2019-06-13",1542
"Gloria Trevi","2019-06-14",1531
"Gloria Trevi","2019-06-15",2027
"Gloria Trevi","2019-06-16",1712
"Gloria Trevi","2019-06-17",1589
"Gloria Trevi","2019-06-18",2981
"Gloria Trevi","2019-06-19",1897
"Gloria Trevi","2019-06-20",1844
"Gloria Trevi","2019-06-21",1690
"Gloria Trevi","2019-06-22",1880
"Gloria Trevi","2019-06-23",2101
"Gloria Trevi","2019-06-24",1706
"Gloria Trevi","2019-06-25",4369
"Gloria Trevi","2019-06-26",1820
"Gloria Trevi","2019-06-27",1642
