"artista","fecha","visitas"
"Grace Jones","2019-03-25",359
"Grace Jones","2019-03-26",302
"Grace Jones","2019-03-27",272
"Grace Jones","2019-03-28",285
"Grace Jones","2019-03-29",305
"Grace Jones","2019-03-30",246
"Grace Jones","2019-03-31",279
"Grace Jones","2019-04-01",215
"Grace Jones","2019-04-02",193
"Grace Jones","2019-04-03",253
"Grace Jones","2019-04-04",231
"Grace Jones","2019-04-05",212
"Grace Jones","2019-04-06",564
"Grace Jones","2019-04-07",285
"Grace Jones","2019-04-08",233
"Grace Jones","2019-04-09",217
"Grace Jones","2019-04-10",206
"Grace Jones","2019-04-11",244
"Grace Jones","2019-04-12",209
"Grace Jones","2019-04-13",186
"Grace Jones","2019-04-14",214
"Grace Jones","2019-04-15",148
"Grace Jones","2019-04-16",190
"Grace Jones","2019-04-17",188
"Grace Jones","2019-04-18",159
"Grace Jones","2019-04-19",421
"Grace Jones","2019-04-20",321
"Grace Jones","2019-04-21",489
"Grace Jones","2019-04-22",268
"Grace Jones","2019-04-23",181
"Grace Jones","2019-04-24",329
"Grace Jones","2019-04-25",205
"Grace Jones","2019-04-26",183
"Grace Jones","2019-04-27",401
"Grace Jones","2019-04-28",330
"Grace Jones","2019-04-29",214
"Grace Jones","2019-04-30",210
"Grace Jones","2019-05-01",255
"Grace Jones","2019-05-02",227
"Grace Jones","2019-05-03",221
"Grace Jones","2019-05-04",238
"Grace Jones","2019-05-05",254
"Grace Jones","2019-05-06",184
"Grace Jones","2019-05-07",188
"Grace Jones","2019-05-08",207
"Grace Jones","2019-05-09",142
"Grace Jones","2019-05-10",258
"Grace Jones","2019-05-11",413
"Grace Jones","2019-05-12",441
"Grace Jones","2019-05-13",290
"Grace Jones","2019-05-14",355
"Grace Jones","2019-05-15",285
"Grace Jones","2019-05-16",232
"Grace Jones","2019-05-17",277
"Grace Jones","2019-05-18",374
"Grace Jones","2019-05-19",844
"Grace Jones","2019-05-20",662
"Grace Jones","2019-05-21",387
"Grace Jones","2019-05-22",268
"Grace Jones","2019-05-23",267
"Grace Jones","2019-05-24",211
"Grace Jones","2019-05-25",316
"Grace Jones","2019-05-26",337
"Grace Jones","2019-05-27",337
"Grace Jones","2019-05-28",935
"Grace Jones","2019-05-29",356
"Grace Jones","2019-05-30",315
"Grace Jones","2019-05-31",295
"Grace Jones","2019-06-01",283
"Grace Jones","2019-06-02",471
"Grace Jones","2019-06-03",318
"Grace Jones","2019-06-04",230
"Grace Jones","2019-06-05",220
"Grace Jones","2019-06-06",199
"Grace Jones","2019-06-07",230
"Grace Jones","2019-06-08",354
"Grace Jones","2019-06-09",339
"Grace Jones","2019-06-10",303
"Grace Jones","2019-06-11",629
"Grace Jones","2019-06-12",260
"Grace Jones","2019-06-13",407
"Grace Jones","2019-06-14",490
"Grace Jones","2019-06-15",262
"Grace Jones","2019-06-16",275
"Grace Jones","2019-06-17",244
"Grace Jones","2019-06-18",354
"Grace Jones","2019-06-19",280
"Grace Jones","2019-06-20",229
"Grace Jones","2019-06-21",214
"Grace Jones","2019-06-22",504
"Grace Jones","2019-06-23",368
"Grace Jones","2019-06-24",376
"Grace Jones","2019-06-25",1419
"Grace Jones","2019-06-26",355
"Grace Jones","2019-06-27",382
