"artista","fecha","visitas"
"Hidrogenesse","2019-03-25",21
"Hidrogenesse","2019-03-26",34
"Hidrogenesse","2019-03-27",27
"Hidrogenesse","2019-03-28",14
"Hidrogenesse","2019-03-29",17
"Hidrogenesse","2019-03-30",31
"Hidrogenesse","2019-03-31",35
"Hidrogenesse","2019-04-01",26
"Hidrogenesse","2019-04-02",18
"Hidrogenesse","2019-04-03",16
"Hidrogenesse","2019-04-04",15
"Hidrogenesse","2019-04-05",19
"Hidrogenesse","2019-04-06",23
"Hidrogenesse","2019-04-07",12
"Hidrogenesse","2019-04-08",8
"Hidrogenesse","2019-04-09",16
"Hidrogenesse","2019-04-10",12
"Hidrogenesse","2019-04-11",11
"Hidrogenesse","2019-04-12",13
"Hidrogenesse","2019-04-13",13
"Hidrogenesse","2019-04-14",8
"Hidrogenesse","2019-04-15",8
"Hidrogenesse","2019-04-16",10
"Hidrogenesse","2019-04-17",9
"Hidrogenesse","2019-04-18",23
"Hidrogenesse","2019-04-19",26
"Hidrogenesse","2019-04-20",16
"Hidrogenesse","2019-04-21",8
"Hidrogenesse","2019-04-22",11
"Hidrogenesse","2019-04-23",26
"Hidrogenesse","2019-04-24",13
"Hidrogenesse","2019-04-25",11
"Hidrogenesse","2019-04-26",12
"Hidrogenesse","2019-04-27",10
"Hidrogenesse","2019-04-28",12
"Hidrogenesse","2019-04-29",20
"Hidrogenesse","2019-04-30",21
"Hidrogenesse","2019-05-01",21
"Hidrogenesse","2019-05-02",17
"Hidrogenesse","2019-05-03",19
"Hidrogenesse","2019-05-04",16
"Hidrogenesse","2019-05-05",11
"Hidrogenesse","2019-05-06",17
"Hidrogenesse","2019-05-07",17
"Hidrogenesse","2019-05-08",22
"Hidrogenesse","2019-05-09",16
"Hidrogenesse","2019-05-10",37
"Hidrogenesse","2019-05-11",27
"Hidrogenesse","2019-05-12",15
"Hidrogenesse","2019-05-13",21
"Hidrogenesse","2019-05-14",20
"Hidrogenesse","2019-05-15",23
"Hidrogenesse","2019-05-16",22
"Hidrogenesse","2019-05-17",104
"Hidrogenesse","2019-05-18",24
"Hidrogenesse","2019-05-19",29
"Hidrogenesse","2019-05-20",44
"Hidrogenesse","2019-05-21",56
"Hidrogenesse","2019-05-22",115
"Hidrogenesse","2019-05-23",49
"Hidrogenesse","2019-05-24",79
"Hidrogenesse","2019-05-25",58
"Hidrogenesse","2019-05-26",43
"Hidrogenesse","2019-05-27",42
"Hidrogenesse","2019-05-28",32
"Hidrogenesse","2019-05-29",28
"Hidrogenesse","2019-05-30",32
"Hidrogenesse","2019-05-31",45
"Hidrogenesse","2019-06-01",28
"Hidrogenesse","2019-06-02",24
"Hidrogenesse","2019-06-03",22
"Hidrogenesse","2019-06-04",39
"Hidrogenesse","2019-06-05",44
"Hidrogenesse","2019-06-06",26
"Hidrogenesse","2019-06-07",21
"Hidrogenesse","2019-06-08",17
"Hidrogenesse","2019-06-09",21
"Hidrogenesse","2019-06-10",17
"Hidrogenesse","2019-06-11",23
"Hidrogenesse","2019-06-12",21
"Hidrogenesse","2019-06-13",26
"Hidrogenesse","2019-06-14",102
"Hidrogenesse","2019-06-15",20
"Hidrogenesse","2019-06-16",15
"Hidrogenesse","2019-06-17",12
"Hidrogenesse","2019-06-18",12
"Hidrogenesse","2019-06-19",16
"Hidrogenesse","2019-06-20",12
"Hidrogenesse","2019-06-21",12
"Hidrogenesse","2019-06-22",16
"Hidrogenesse","2019-06-23",12
"Hidrogenesse","2019-06-24",15
"Hidrogenesse","2019-06-25",44
"Hidrogenesse","2019-06-26",17
"Hidrogenesse","2019-06-27",18
