"artista","fecha","visitas"
"Imagination ","2019-03-25",19
"Imagination ","2019-03-26",12
"Imagination ","2019-03-27",21
"Imagination ","2019-03-28",9
"Imagination ","2019-03-29",14
"Imagination ","2019-03-30",16
"Imagination ","2019-03-31",12
"Imagination ","2019-04-01",13
"Imagination ","2019-04-02",11
"Imagination ","2019-04-03",15
"Imagination ","2019-04-04",14
"Imagination ","2019-04-05",11
"Imagination ","2019-04-06",10
"Imagination ","2019-04-07",10
"Imagination ","2019-04-08",7
"Imagination ","2019-04-09",18
"Imagination ","2019-04-10",10
"Imagination ","2019-04-11",11
"Imagination ","2019-04-12",15
"Imagination ","2019-04-13",11
"Imagination ","2019-04-14",7
"Imagination ","2019-04-15",12
"Imagination ","2019-04-16",20
"Imagination ","2019-04-17",13
"Imagination ","2019-04-18",19
"Imagination ","2019-04-19",13
"Imagination ","2019-04-20",14
"Imagination ","2019-04-21",12
"Imagination ","2019-04-22",8
"Imagination ","2019-04-23",26
"Imagination ","2019-04-24",22
"Imagination ","2019-04-25",12
"Imagination ","2019-04-26",20
"Imagination ","2019-04-27",18
"Imagination ","2019-04-28",21
"Imagination ","2019-04-29",16
"Imagination ","2019-04-30",10
"Imagination ","2019-05-01",13
"Imagination ","2019-05-02",20
"Imagination ","2019-05-03",19
"Imagination ","2019-05-04",14
"Imagination ","2019-05-05",13
"Imagination ","2019-05-06",18
"Imagination ","2019-05-07",12
"Imagination ","2019-05-08",21
"Imagination ","2019-05-09",13
"Imagination ","2019-05-10",14
"Imagination ","2019-05-11",17
"Imagination ","2019-05-12",20
"Imagination ","2019-05-13",13
"Imagination ","2019-05-14",16
"Imagination ","2019-05-15",25
"Imagination ","2019-05-16",10
"Imagination ","2019-05-17",7
"Imagination ","2019-05-18",16
"Imagination ","2019-05-19",12
"Imagination ","2019-05-20",12
"Imagination ","2019-05-21",15
"Imagination ","2019-05-22",13
"Imagination ","2019-05-23",11
"Imagination ","2019-05-24",16
"Imagination ","2019-05-25",5
"Imagination ","2019-05-26",15
"Imagination ","2019-05-27",14
"Imagination ","2019-05-28",20
"Imagination ","2019-05-29",22
"Imagination ","2019-05-30",12
"Imagination ","2019-05-31",12
"Imagination ","2019-06-01",9
"Imagination ","2019-06-02",10
"Imagination ","2019-06-03",16
"Imagination ","2019-06-04",14
"Imagination ","2019-06-05",15
"Imagination ","2019-06-06",14
"Imagination ","2019-06-07",24
"Imagination ","2019-06-08",9
"Imagination ","2019-06-09",20
"Imagination ","2019-06-10",23
"Imagination ","2019-06-11",8
"Imagination ","2019-06-12",15
"Imagination ","2019-06-13",9
"Imagination ","2019-06-14",14
"Imagination ","2019-06-15",11
"Imagination ","2019-06-16",16
"Imagination ","2019-06-17",17
"Imagination ","2019-06-18",11
"Imagination ","2019-06-19",15
"Imagination ","2019-06-20",19
"Imagination ","2019-06-21",14
"Imagination ","2019-06-22",20
"Imagination ","2019-06-23",22
"Imagination ","2019-06-24",14
"Imagination ","2019-06-25",27
"Imagination ","2019-06-26",26
"Imagination ","2019-06-27",8
