"artista","fecha","visitas"
"Jimmy Somerville","2019-03-25",65
"Jimmy Somerville","2019-03-26",47
"Jimmy Somerville","2019-03-27",49
"Jimmy Somerville","2019-03-28",61
"Jimmy Somerville","2019-03-29",66
"Jimmy Somerville","2019-03-30",63
"Jimmy Somerville","2019-03-31",47
"Jimmy Somerville","2019-04-01",70
"Jimmy Somerville","2019-04-02",64
"Jimmy Somerville","2019-04-03",57
"Jimmy Somerville","2019-04-04",64
"Jimmy Somerville","2019-04-05",60
"Jimmy Somerville","2019-04-06",78
"Jimmy Somerville","2019-04-07",89
"Jimmy Somerville","2019-04-08",67
"Jimmy Somerville","2019-04-09",69
"Jimmy Somerville","2019-04-10",53
"Jimmy Somerville","2019-04-11",60
"Jimmy Somerville","2019-04-12",86
"Jimmy Somerville","2019-04-13",75
"Jimmy Somerville","2019-04-14",78
"Jimmy Somerville","2019-04-15",57
"Jimmy Somerville","2019-04-16",70
"Jimmy Somerville","2019-04-17",49
"Jimmy Somerville","2019-04-18",58
"Jimmy Somerville","2019-04-19",88
"Jimmy Somerville","2019-04-20",97
"Jimmy Somerville","2019-04-21",67
"Jimmy Somerville","2019-04-22",59
"Jimmy Somerville","2019-04-23",128
"Jimmy Somerville","2019-04-24",48
"Jimmy Somerville","2019-04-25",71
"Jimmy Somerville","2019-04-26",67
"Jimmy Somerville","2019-04-27",77
"Jimmy Somerville","2019-04-28",85
"Jimmy Somerville","2019-04-29",58
"Jimmy Somerville","2019-04-30",61
"Jimmy Somerville","2019-05-01",75
"Jimmy Somerville","2019-05-02",78
"Jimmy Somerville","2019-05-03",67
"Jimmy Somerville","2019-05-04",74
"Jimmy Somerville","2019-05-05",68
"Jimmy Somerville","2019-05-06",66
"Jimmy Somerville","2019-05-07",77
"Jimmy Somerville","2019-05-08",50
"Jimmy Somerville","2019-05-09",56
"Jimmy Somerville","2019-05-10",61
"Jimmy Somerville","2019-05-11",87
"Jimmy Somerville","2019-05-12",71
"Jimmy Somerville","2019-05-13",61
"Jimmy Somerville","2019-05-14",61
"Jimmy Somerville","2019-05-15",53
"Jimmy Somerville","2019-05-16",73
"Jimmy Somerville","2019-05-17",68
"Jimmy Somerville","2019-05-18",78
"Jimmy Somerville","2019-05-19",87
"Jimmy Somerville","2019-05-20",67
"Jimmy Somerville","2019-05-21",83
"Jimmy Somerville","2019-05-22",74
"Jimmy Somerville","2019-05-23",58
"Jimmy Somerville","2019-05-24",98
"Jimmy Somerville","2019-05-25",86
"Jimmy Somerville","2019-05-26",77
"Jimmy Somerville","2019-05-27",63
"Jimmy Somerville","2019-05-28",72
"Jimmy Somerville","2019-05-29",72
"Jimmy Somerville","2019-05-30",66
"Jimmy Somerville","2019-05-31",110
"Jimmy Somerville","2019-06-01",69
"Jimmy Somerville","2019-06-02",94
"Jimmy Somerville","2019-06-03",63
"Jimmy Somerville","2019-06-04",62
"Jimmy Somerville","2019-06-05",80
"Jimmy Somerville","2019-06-06",73
"Jimmy Somerville","2019-06-07",86
"Jimmy Somerville","2019-06-08",90
"Jimmy Somerville","2019-06-09",84
"Jimmy Somerville","2019-06-10",92
"Jimmy Somerville","2019-06-11",76
"Jimmy Somerville","2019-06-12",71
"Jimmy Somerville","2019-06-13",57
"Jimmy Somerville","2019-06-14",65
"Jimmy Somerville","2019-06-15",91
"Jimmy Somerville","2019-06-16",67
"Jimmy Somerville","2019-06-17",55
"Jimmy Somerville","2019-06-18",58
"Jimmy Somerville","2019-06-19",68
"Jimmy Somerville","2019-06-20",59
"Jimmy Somerville","2019-06-21",101
"Jimmy Somerville","2019-06-22",175
"Jimmy Somerville","2019-06-23",101
"Jimmy Somerville","2019-06-24",67
"Jimmy Somerville","2019-06-25",264
"Jimmy Somerville","2019-06-26",93
"Jimmy Somerville","2019-06-27",99
